zone,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
1,493.90478914184496,499.87396493926644,505.84312732564285,511.8122933036648,517.7814556900412,523.7506314874627,533.4380535320379,543.1254825061187,552.8129262467846,562.5003547440283,572.1877772654407,581.4375967322849,590.6874324860983,599.9372371714562,609.1870738789439,618.436892868951,626.7597467130981,635.0825953860767,643.4054459221661,651.7282936414704,660.0511479028501
2,1835.8743517483344,1858.6415772582113,1881.4087949155146,1904.17597168266,1926.943189336238,1949.7104148489088,1986.4067803969701,2023.103111967128,2059.799412112603,2096.4957432282754,2133.192108759573,2168.3629209019746,2203.533721184682,2238.704505091424,2273.8753091855688,2309.046119422019,2340.8544901076384,2372.662861792567,2404.4712644808023,2436.2796285270233,2468.0880068513507
3,2344.5171014666557,2343.6560744047165,2342.795061290264,2341.9340220093727,2341.0730088949203,2340.211981832981,2353.474335849285,2366.736692607403,2379.999031186104,2393.2613879442215,2406.5237419605255,2414.882209122181,2423.240680038929,2431.599152266979,2439.9576231837273,2448.3160903453827,2450.579623937607,2452.8430666923523,2455.1065697669983,2457.370012521744,2459.633546113968
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,210002.8054201284,213740.08889658345,217477.3730734062,221214.65587574162,224951.93987121736,228689.22347822547,232221.70606442765,235754.18788047883,239286.67013823145,242819.1517626615,246351.63448954123,249706.30295958227,253060.97183416804,256415.6397117613,259770.30882445467,263124.9769878661,266416.8455737781,269708.71385753446,273000.58266977925,276292.45112262253,279584.3196353997
6,185052.18472007895,189915.49283278332,194778.80020843685,199642.10890892768,204505.41624607326,209368.7244034658,214753.4452071339,220138.16611161636,225522.88654946996,230907.60723925987,236292.32797792158,241962.85448977392,247633.3805016352,253303.9067664522,258974.43202806445,264644.9590031492,270532.90035579586,276420.84127359634,282308.78206945164,288196.72308496543,294084.6645044705
7,411957.4977906721,423345.8294456181,434734.16227315133,446122.494453743,457510.8281806981,468899.1591301048,480268.817775675,491638.4772384191,503008.13543048233,514377.7951016689,525747.4534966073,537226.7100424748,548705.9668879771,560185.2230364905,571664.4796838923,583143.7366092271,594432.2074487898,605720.6773402253,617009.1473585956,628297.6179428217,639586.0885623518
8,19179.677684837785,19326.47481873867,19473.271847937067,19620.069051416278,19766.86615807464,19913.66327145849,20026.485093309293,20139.306863802925,20252.128646692956,20364.950411585614,20477.772221158328,20642.21564143101,20806.65899499864,20971.10241849053,21135.54580145955,21299.98922709106,21531.236028069347,21762.482893860113,21993.729650994785,22224.976467234635,22456.22329236578
9,107430.00018395069,107183.60343308798,106937.20658767894,106690.81010931358,106444.41328177677,106198.01653830038,105682.21352747768,105166.40992793735,104650.60662066255,104134.8030832297,103619.00008796237,103787.19381251158,103955.38777808247,104123.5813410828,104291.77537116208,104459.96913431404,105126.98120823796,105793.99296109362,106461.00518801295,107128.01697322205,107795.02905190327
10,10041.995156645775,10056.595928907394,10071.196844220161,10085.797729849815,10100.398648500443,10114.999415516853,10096.999546527863,10078.99957537651,10060.999645352364,10042.999673724174,10024.99980521202,10064.40042424202,10103.801076173782,10143.20170867443,10182.602330088615,10222.002949118614,10259.00226533413,10296.001632332802,10333.000990509987,10370.000391840935,10406.999688982964
11,52160.99788964,52140.39749895872,52119.79702762645,52099.19651940365,52078.59604492323,52057.99565817356,52131.996807975396,52205.9979868121,52279.999085784315,52354.000314683915,52428.0014018733,52541.00037486348,52653.9995107237,52766.99838746477,52879.99755898596,52992.99651785873,53046.998013859404,53100.999582775476,53155.00116406679,53209.00275628347,53263.004231889274
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
