iso3c,production,reported_by_fao,year,nutrient,nearest,country_application,method,gapfilled
CHN,2267414909.013471,Yes,2005,K2O,CHN,6915300.3319999995,none,0
USA,1685696968.1634908,Yes,2005,K2O,USA,3993193.7218400002,none,0
IND,1298334009.3600392,Yes,2005,K2O,IND,2413504,none,0
RUS,393538249.3994526,Yes,2005,K2O,RUS,219710.88,none,0
DEU,370973013.91670436,Yes,2005,K2O,DEU,365603.238,none,0
IDN,342701278.9558128,Yes,2005,K2O,IDN,564174,none,0
FRA,331406239.8252842,Yes,2005,K2O,FRA,630630,none,0
PAK,305394562.04671705,Yes,2005,K2O,PAK,35301,none,0
AUS,294279917.9619316,Yes,2005,K2O,AUS,149671.4056,none,0
EGY,276096501.37281895,Yes,2005,K2O,EGY,48000,none,0
BRA,265053819.25387812,Yes,2005,K2O,BRA,3331912.575,none,0
THA,250650979.07415372,Yes,2005,K2O,THA,358865.77,none,0
MEX,244714768.83693212,Yes,2005,K2O,MEX,187145,none,0
CAN,213816256.9340958,Yes,2005,K2O,CAN,328596,none,0
ARG,200824807.52287441,Yes,2005,K2O,ARG,43894,none,0
VNM,175531253.24923196,Yes,2005,K2O,VNM,304469.25,none,0
UKR,169486497.68667194,Yes,2005,K2O,UKR,77841.4,none,0
IRN,129910329.12320079,Yes,2005,K2O,IRN,152437.88,none,0
ITA,127819881.1273082,Yes,2005,K2O,ITA,214749.678,none,0
ESP,124586547.10772365,Yes,2005,K2O,ESP,341681.34,none,0
PHL,122448932.7718554,Yes,2005,K2O,PHL,102000,none,0
BGD,117668736.34127656,Yes,2005,K2O,BGD,244350,none,0
MYS,113914676.43505079,Yes,2005,K2O,MYS,710239.77,none,0
GBR,109019734.02652495,Yes,2005,K2O,GBR,302016,none,0
POL,107416258.81941463,Yes,2005,K2O,POL,452852.4,none,0
JPN,100319549.95629139,Yes,2005,K2O,JPN,333792.878,none,0
COL,79846359.37517765,Yes,2005,K2O,COL,227438.85,none,0
TUR,76049183.09535167,Yes,2005,K2O,TUR,93816,none,0
NLD,70788056.33485001,Yes,2005,K2O,NLD,40698.372,none,0
ROU,67355533.9592786,Yes,2005,K2O,ROU,20643.48,none,0
UZB,66272017.93972518,Yes,2005,K2O,UZB,23640,none,0
GTM,56733102.49160689,Yes,2005,K2O,GTM,6590,none,0
ZAF,56112834.05497494,Yes,2005,K2O,ZAF,112400.08,none,0
PER,51883022.74158923,Yes,2005,K2O,PER,55809,none,0
MMR,47367605.74191096,Yes,2005,K2O,MMR,3751,none,0
BLR,47182114.28745654,Yes,2005,K2O,BLR,364357.5,none,0
DNK,44849307.75908263,Yes,2005,K2O,DNK,84984.042,none,0
MAR,44230673.90954738,Yes,2005,K2O,MAR,66300,none,0
PRY,40807672.72664807,Yes,2005,K2O,PRY,81758,none,0
BEL,37881620.430979386,Yes,2005,K2O,BEL,73455.096,none,0
SWE,37143224.497521594,Yes,2005,K2O,SWE,34320,none,0
ECU,36358870.95008872,Yes,2005,K2O,ECU,40569,none,0
CHL,35358705.215926774,Yes,2005,K2O,CHL,91800,none,0
HUN,33193416.77833699,Yes,2005,K2O,HUN,60918,none,0
KOR,33154489.12534804,Yes,2005,K2O,KOR,206300,none,0
DZA,32143603.141003493,Yes,2005,K2O,DZA,19221,none,0
GRC,31918293.246788524,Yes,2005,K2O,GRC,42132.090000000004,none,0
KAZ,29929723.955679696,Yes,2005,K2O,KAZ,3400,none,0
CZE,29788124.38627481,Yes,2005,K2O,CZE,24782.472,none,0
PRT,28506095.278970405,Yes,2005,K2O,PRT,29172,none,0
NPL,26876323.37709631,Yes,2005,K2O,NPL,287,none,0
CUB,26294904.08919849,Yes,2005,K2O,CUB,31605.76,none,0
GHA,24756986.966226343,Yes,2005,K2O,GHA,6584,none,0
SRB,22487966.389169283,Yes,2005,K2O,SRB,58696.4861483402,none,0
NGA,22359247.217234705,Yes,2005,K2O,NGA,25185,none,0
ETH,22181941.102866244,Yes,2005,K2O,ETH,0,none,0
LVA,20371689.546484135,Yes,2005,K2O,LVA,16044.6,none,0
SDN,19222229.623063345,Yes,2005,K2O,SDN,150,none,0
TZA,19013640.007680494,Yes,2005,K2O,TZA,5463,none,0
