"rgn_id","rgn_type","type_w_ant","rgn_ant_id","rgn_name","mean","year"
1,"eez","eez",1,"Cocos Islands",NA,"2010"
2,"eez","eez",2,"Christmas Island",NA,"2010"
3,"eez","eez",3,"Norfolk Island",NA,"2010"
4,"eez","eez",4,"Macquarie Island",NA,"2010"
5,"eez","eez",5,"New Caledonia",0.00112509794411416,"2010"
6,"eez","eez",6,"Vanuatu",0.00202004205357362,"2010"
7,"eez","eez",7,"Solomon Islands",0.000441626615592937,"2010"
8,"eez","eez",8,"Palau",5.21196307131803e-05,"2010"
9,"eez","eez",9,"Micronesia",0.00168982273719797,"2010"
10,"eez","eez",10,"Nauru",3.39529882313474e-06,"2010"
11,"eez","eez",11,"Marshall Islands",NA,"2010"
12,"eez","eez",12,"Wake Island",NA,"2010"
13,"eez","eez",13,"Northern Mariana Islands and Guam",0.000143804612762163,"2010"
14,"eez","eez",14,"Taiwan",0.0514482078004846,"2010"
15,"eez","eez",15,"Philippines",0.0172358075773834,"2010"
16,"eez","eez",16,"Australia",0.0130051219675854,"2010"
17,"eez","eez",17,"Papua New Guinea",0.00285341291030718,"2010"
18,"eez","eez",18,"Fiji",0.0104824110414443,"2010"
19,"eez","eez",19,"Tuvalu",NA,"2010"
20,"eez","eez",20,"South Korea",0.0295771170906447,"2010"
21,"eez","eez",21,"North Korea",0.0485279169830331,"2010"
24,"eez","eez",24,"Cambodia",0.00546020490572314,"2010"
25,"eez","eez",25,"Thailand",0.0308005461974384,"2010"
26,"eez","eez",26,"Andaman and Nicobar",0.000728020537584661,"2010"
28,"eez","eez",28,"Comoro Islands",0.000414316749563176,"2010"
29,"eez","eez",29,"Mayotte",0.0104666147776973,"2010"
30,"eez","eez",30,"Glorioso Islands",NA,"2010"
31,"eez","eez",31,"Seychelles",0.0136564635700876,"2010"
32,"eez","eez",32,"Reunion",NA,"2010"
33,"eez","eez",33,"Juan de Nova Island",NA,"2010"
34,"eez","eez",34,"Bassas da India",NA,"2010"
35,"eez","eez",35,"Ile Europa",NA,"2010"
36,"eez","eez",36,"Ile Tromelin",NA,"2010"
37,"eez","eez",37,"Mauritius",NA,"2010"
38,"eez","eez",38,"British Indian Ocean Territory",NA,"2010"
39,"eez","eez",39,"Maldives",NA,"2010"
40,"eez","eez",40,"Sri Lanka",0.0279525029870373,"2010"
41,"eez","eez",41,"Mozambique",0.0481651417278871,"2010"
42,"eez","eez",42,"Madagascar",0.0331577323044586,"2010"
43,"eez","eez",43,"Kenya",0.100343875058814,"2010"
44,"eez","eez",44,"Somalia",0.0163244148943138,"2010"
45,"eez","eez",45,"Eritrea",0.00218606738808804,"2010"
46,"eez","eez",46,"Djibouti",0.00323307249997376,"2010"
47,"eez","eez",47,"Yemen",0.0116471407501331,"2010"
48,"eez","eez",48,"Oman",0.00290827262222392,"2010"
49,"eez","eez",49,"Sudan",0.01267796271549,"2010"
50,"eez","eez",50,"Saudi Arabia",0.0036902858875822,"2010"
