"forage_fish","TaxonKey","CommonName","stock","inSAUP"
"Acanthuridae",400412,"Surgeons, tangs, unicornfishes","Acanthuridae Surgeons, tangs, unicornfishes","yes"
"Acanthurus sohal",604740,"Sohal surgeonfish","Acanthurus sohal Sohal surgeonfish","yes"
"Alepes djedaba",601889,"Shrimp scad","Alepes djedaba Shrimp scad","yes"
"Alosa pseudoharengus",601583,"Alewife","Alosa pseudoharengus Alewife","yes"
"Amblygaster sirm",601501,"Spotted sardinella","Amblygaster sirm Spotted sardinella","yes"
"Ammodytes personatus",600487,"Pacific sandlance","Ammodytes personatus Pacific sandlance","yes"
"Ammodytes",500124,"Sand eels","Ammodytes Sand eels","yes"
"Amphichthys cryptocentrus",600967,"Bocon toadfish","Amphichthys cryptocentrus Bocon toadfish","yes"
"Anchoa nasus",601163,"Longnose anchovy","Anchoa nasus Longnose anchovy","yes"
"Anodontostoma chacunda",601619,"Chacunda gizzard shad","Anodontostoma chacunda Chacunda gizzard shad","yes"
"Aphia minuta",600039,"Transparent goby","Aphia minuta Transparent goby","yes"
"Aplodactylus punctatus",612909,"Aplodactylus punctatus","Aplodactylus punctatus Aplodactylus punctatus","yes"
"Apogonidae",400304,"Cardinalfishes","Apogonidae Cardinalfishes","yes"
"Archosargus rhomboidalis",601219,"Western Atlantic seabream","Archosargus rhomboidalis Western Atlantic seabream","yes"
"Arctoscopus japonicus",600463,"Japanese sandfish","Arctoscopus japonicus Japanese sandfish","yes"
"Argentina sphyraena",600020,"European argentine","Argentina sphyraena European argentine","yes"
"Ariomma indica",NA,NA,NA,NA
"Atherinidae",400218,"Silversides","Atherinidae Silversides","yes"
"Atule mate",601893,"Yellowtail scad","Atule mate Yellowtail scad","yes"
"Barbourisia rufa",604318,"Velvet whalefish","Barbourisia rufa Velvet whalefish","yes"
"Batrachoididae",400189,"Toadfishes","Batrachoididae Toadfishes","yes"
"Benthosema pterotum",610238,"Skinnycheek lanternfish","Benthosema pterotum Skinnycheek lanternfish","yes"
"Blicca bjoerkna",NA,NA,NA,NA
"Boops boops",600203,"Bogue","Boops boops Bogue","yes"
"Boreogadus saida",600319,"Polar cod","Boreogadus saida Polar cod","yes"
"Bothidae",400439,"Lefteye flounders","Bothidae Lefteye flounders","yes"
"Bothus pantherinus",601321,"Leopard flounder","Bothus pantherinus Leopard flounder","yes"
"Brachydeuterus auritus",600400,"Bigeye grunt","Brachydeuterus auritus Bigeye grunt","yes"
