iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
7862,global,"2003, 2018","EN, CR","0.6, 0.8",decreasing,0.01333
8010,global,"2008, 2016","LC, LC","0, 0",unknown,0
8097,global,"2008, 2018","LC, LC","0, 0",stable,0
8099,global,"2008, 2018","CR, EN","0.8, 0.6",increasing,-0.02
8153,global,"2008, 2013, 2018","LC, LC, LC","0, 0, 0",unknown,-0
8239,global,"2008, 2012, 2016","EN, NT, NT","0.6, 0.2, 0.2",increasing,-0.05
8951,global,"2008, 2010, 2013, 2015, 2019","LC, LC, LC, LC, LC","0, 0, 0, 0, 0",unknown,0
9266,global,"2012, 2017","LC, LC","0, 0",stable,0
9461,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
9660,global,"2008, 2016","LC, LC","0, 0",increasing,0
10030,global,"2009, 2020","NT, NT","0.2, 0.2",decreasing,0
10056,global,"2012, 2017","EN, EN","0.6, 0.6",decreasing,0
10066,global,"2003, 2017","VU, VU","0.4, 0.4",decreasing,0
10070,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
10072,global,"2003, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
10075,global,"2003, 2014","VU, VU","0.4, 0.4",decreasing,0
10083,global,"2010, 2017","LC, LC","0, 0",unknown,0
10087,global,"2003, 2015","VU, VU","0.4, 0.4",decreasing,0
10268,global,"2010, 2022","CR, CR","0.8, 0.8",decreasing,0
10269,global,"2010, 2022","CR, CR","0.8, 0.8",decreasing,0
10340,global,"2008, 2015","LC, LC","0, 0",unknown,0
10708,global,"2008, 2020","LC, LC","0, 0",unknown,0
11060,global,"2012, 2019","LC, LC","0, 0",stable,0
11140,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
11141,global,"2008, 2019","LC, LC","0, 0",unknown,0
11142,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
11144,global,"2008, 2018","LC, LC","0, 0",unknown,0
11145,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
11200,global,"2006, 2019","VU, VU","0.4, 0.4",decreasing,0
11696,global,"2008, 2015","LC, LC","0, 0",unknown,0
12125,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
12246,global,"2008, 2015","LC, LC","0, 0",unknown,0
12302,global,"2004, 2008, 2015, 2021","LC, LC, LC, LC","0, 0, 0, 0",stable,0
12303,global,"2004, 2008, 2015, 2021","EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6",decreasing,0
12305,global,"2004, 2008, 2015, 2021","EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6",decreasing,0
12419,global,"2004, 2008, 2015, 2021","NT, NT, NT, NT","0.2, 0.2, 0.2, 0.2",decreasing,0
12421,global,"2008, 2015, 2021","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
12427,global,"2004, 2008, 2015, 2021","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
13006,global,"2008, 2018","LC, LC","0, 0",increasing,0
13581,global,"2008, 2015","LC, LC","0, 0",increasing,0
13583,global,"2008, 2015","LC, LC","0, 0",stable,0
13653,global,"2008, 2013, 2015","CR, CR, EN","0.8, 0.8, 0.6",increasing,-0.02308
13654,global,"2008, 2015","CR, EN","0.8, 0.6",decreasing,-0.02857
13704,global,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
14049,global,"2007, 2008, 2018","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
14050,global,"2008, 2018","LC, VU","0, 0.4",decreasing,0.04
14051,global,"2007, 2008, 2015, 2018","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
14053,global,"2007, 2008, 2018","VU, VU, LC","0.4, 0.4, 0",decreasing,-0.03784
14054,global,"2008, 2018","LC, LC","0, 0",unknown,0
14214,global,"2008, 2010, 2013, 2018","LC, LC, LC, LC","0, 0, 0, 0",stable,0
14549,global,"2008, 2015","EN, EN","0.6, 0.6",decreasing,0
15269,global,"2008, 2015","LC, LC","0, 0",unknown,0
15419,global,"2008, 2017","VU, EN","0.4, 0.6",decreasing,0.02222
16238,global,"2004, 2016","VU, LC","0.4, 0",decreasing,-0.03333
16564,global,"2008, 2019","LC, LC","0, 0",unknown,0
16781,global,"2008, 2013","LC, LC","0, 0",stable,0
17013,global,"2008, 2016","LC, LC","0, 0",unknown,0
17026,global,"2008, 2015","VU, EN","0.4, 0.6",decreasing,0.02857
17027,global,"2008, 2020","LC, LC","0, 0",unknown,0
17028,global,"2007, 2008, 2017, 2022","CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8",decreasing,0
17032,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
17096,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17177,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17978,global,"2008, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
18175,global,"2006, 2013","CR, CR","0.8, 0.8",decreasing,0
18376,global,"2011, 2014","LC, LC","0, 0",unknown,0
18383,global,"2009, 2019","NT, VU","0.2, 0.4",decreasing,0.02
18878,global,"2008, 2013","LC, LC","0, 0",stable,0
19387,global,"2007, 2016","LC, LC","0, 0",unknown,0
19388,global,"2012, 2019","LC, LC","0, 0",stable,0
19488,global,"2005, 2016","VU, EN","0.4, 0.6",decreasing,0.01818
19735,global,"2014, 2019","LC, LC","0, 0",unknown,0
19896,global,"2015, 2020","VU, VU","0.4, 0.4",unknown,0
20425,global,"2008, 2012, 2017","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.0459
20729,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
20731,global,"2008, 2019","LC, LC","0, 0",unknown,0
20738,global,"2008, 2012, 2019","LC, LC, LC","0, 0, 0",unknown,-0
21257,global,"2008, 2016","LC, LC","0, 0",unknown,0
21856,global,"2011, 2021","NT, LC","0.2, 0",decreasing,-0.02
21857,global,"2011, 2021","NT, LC","0.2, 0",decreasing,-0.02
21858,global,"2011, 2021","CR, EN","0.8, 0.6",increasing,-0.02
21859,global,"2011, 2021","VU, VU","0.4, 0.4",decreasing,0
21860,global,"2011, 2021","EN, LC","0.6, 0",unknown,-0.06
22003,global,"2010, 2021","CR, VU","0.8, 0.4",decreasing,-0.03636
22103,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
22104,global,"2006, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
22105,global,"2007, 2008","EN, EN","0.6, 0.6",decreasing,0
22106,global,"2007, 2008","EN, EN","0.6, 0.6",stable,0
22563,global,"2008, 2012, 2019","LC, LC, LC","0, 0, 0",unknown,-0
22823,global,"2006, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
23148,global,"2011, 2022","LC, NT","0, 0.2",decreasing,0.01818
23211,global,"2008, 2020","LC, LC","0, 0",unknown,0
39327,global,"2003, 2016, 2020","LC, LC, LC","0, 0, 0",stable,-0
39328,global,"2005, 2016, 2020","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
39329,global,"2006, 2019","EN, CR","0.6, 0.8",decreasing,0.01538
39331,global,"2007, 2019","EN, CR","0.6, 0.8",decreasing,0.01667
39332,global,"2006, 2015, 2019","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
39334,global,"2005, 2015","LC, LC","0, 0",stable,0
39335,global,"2009, 2015","VU, VU","0.4, 0.4",decreasing,0
39337,global,"2009, 2019","NT, LC","0.2, 0",increasing,-0.02
39338,global,"2015, 2019","LC, LC","0, 0",unknown,0
39339,global,"2009, 2019","VU, VU","0.4, 0.4",decreasing,0
39341,global,"2009, 2019","VU, EN","0.4, 0.6",decreasing,0.02
39342,global,"2009, 2019","LC, LC","0, 0",stable,0
39345,global,"2009, 2020","NT, EN","0.2, 0.6",decreasing,0.03636
39346,global,"2009, 2020","VU, VU","0.4, 0.4",decreasing,0
39348,global,"2009, 2020","NT, LC","0.2, 0",increasing,-0.01818
39349,global,"2004, 2020","NT, NT","0.2, 0.2",decreasing,0
39350,global,"2009, 2021","NT, VU","0.2, 0.4",decreasing,0.01667
39351,global,"2003, 2016","LC, LC","0, 0",increasing,0
39352,global,"2006, 2020","VU, CR","0.4, 0.8",decreasing,0.02857
39353,global,"2006, 2021","EN, CR","0.6, 0.8",decreasing,0.01333
39354,global,"2005, 2016","NT, LC","0.2, 0",stable,-0.01818
39355,global,"2003, 2016","LC, LC","0, 0",stable,0
39356,global,"2003, 2018","LC, LC","0, 0",stable,0
39357,global,"2009, 2021","LC, NT","0, 0.2",decreasing,0.01667
39358,global,"2009, 2021","VU, EN","0.4, 0.6",decreasing,0.01667
39359,global,"2009, 2021","NT, NT","0.2, 0.2",decreasing,0
39360,global,"2009, 2019","VU, VU","0.4, 0.4",decreasing,0
39361,global,"2009, 2021","EN, EN","0.6, 0.6",decreasing,0
39362,global,"2009, 2020","NT, LC","0.2, 0",stable,-0.01818
39363,global,"2009, 2015","LC, LC","0, 0",unknown,0
39365,global,"2009, 2020","NT, EN","0.2, 0.6",decreasing,0.03636
39367,global,"2009, 2021","EN, CR","0.6, 0.8",decreasing,0.01667
39368,global,"2009, 2020","NT, VU","0.2, 0.4",decreasing,0.01818
39369,global,"2003, 2021","CR, CR","0.8, 0.8",unknown,0
39370,global,"2009, 2016, 2017","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.01579
39371,global,"2009, 2017","VU, EN","0.4, 0.6",decreasing,0.025
39372,global,"2009, 2021","NT, VU","0.2, 0.4",decreasing,0.01667
39374,global,"2006, 2015, 2019","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.02556
39375,global,"2009, 2020","NT, VU","0.2, 0.4",decreasing,0.01818
39378,global,"2009, 2019","NT, NT","0.2, 0.2",decreasing,0
39379,global,"2009, 2021","EN, VU","0.6, 0.4",decreasing,-0.01667
39380,global,"2009, 2015, 2021","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.01667
39381,global,"2009, 2019","NT, NT","0.2, 0.2",decreasing,0
39382,global,"2009, 2021","LC, LC","0, 0",increasing,0
39384,global,"2009, 2020","NT, VU","0.2, 0.4",decreasing,0.01818
39385,global,"2009, 2019","EN, CR","0.6, 0.8",decreasing,0.02
39386,global,"2007, 2019","EN, CR","0.6, 0.8",decreasing,0.01667
39387,global,"2005, 2016, 2020, 2021","LC, LC, EN, EN","0, 0, 0.6, 0.6",decreasing,0.03727
39388,global,"2009, 2019","VU, VU","0.4, 0.4",decreasing,0
39389,global,"2006, 2013","CR, EN","0.8, 0.6",decreasing,-0.02857
39390,global,"2006, 2013","CR, EN","0.8, 0.6",decreasing,-0.02857
39393,global,"2006, 2013","CR, CR","0.8, 0.8",decreasing,0
39394,global,"2006, 2019","VU, CR","0.4, 0.8",decreasing,0.03077
39396,global,"2005, 2015","LC, LC","0, 0",unknown,0
39399,global,"2005, 2016","NT, NT","0.2, 0.2",decreasing,0
39413,global,"2005, 2016","VU, VU","0.4, 0.4",decreasing,0
39414,global,"2009, 2016, 2021","EN, EN, CR","0.6, 0.6, 0.8",decreasing,0.0156
39416,global,"2006, 2015","LC, LC","0, 0",unknown,0
39771,global,"2003, 2020","EN, LC","0.6, 0",increasing,-0.03529
39773,global,"2008, 2018","LC, LC","0, 0",stable,0
39774,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
40797,global,"2009, 2021","NT, VU","0.2, 0.4",decreasing,0.01667
40802,global,"2002, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
41007,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
41008,global,"2002, 2015","VU, VU","0.4, 0.4",decreasing,0
41010,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
41030,global,"2010, 2017","CR, CR","0.8, 0.8",decreasing,0
41064,global,"2007, 2016, 2020","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
41664,global,"2008, 2015","LC, LC","0, 0",increasing,0
41665,global,"2008, 2014, 2016","LC, LC, LC","0, 0, 0",stable,-0
41666,global,"2008, 2015","LC, LC","0, 0",increasing,0
41668,global,"2008, 2015","EN, EN","0.6, 0.6",decreasing,0
41671,global,"2008, 2015","LC, LC","0, 0",increasing,0
41672,global,"2008, 2016","LC, LC","0, 0",unknown,0
41711,global,"2008, 2018","EN, EN","0.6, 0.6",unknown,0
41712,global,"2008, 2012, 2018, 2020","EN, EN, EN, CR","0.6, 0.6, 0.6, 0.8",decreasing,0.01209
41713,global,"2008, 2018","CR, CR","0.8, 0.8",increasing,0
41718,global,"2003, 2015","NT, LC","0.2, 0",unknown,-0.01667
41719,global,"2003, 2018","LC, LC","0, 0",unknown,0
41722,global,"2003, 2016","LC, LC","0, 0",unknown,0
41723,global,"2003, 2016","LC, LC","0, 0",unknown,0
41724,global,"2003, 2016","LC, LC","0, 0",unknown,0
41725,global,"2003, 2015","LC, LC","0, 0",unknown,0
41726,global,"2003, 2016","LC, LC","0, 0",unknown,0
41727,global,"2003, 2016","LC, LC","0, 0",unknown,0
41728,global,"2003, 2015","LC, LC","0, 0",unknown,0
41729,global,"2003, 2015","LC, LC","0, 0",unknown,0
41730,global,"2003, 2021","NT, NT","0.2, 0.2",decreasing,0
41731,global,"2003, 2015","LC, LC","0, 0",unknown,0
41732,global,"2003, 2015","LC, LC","0, 0",unknown,0
41735,global,"2003, 2019","LC, LC","0, 0",unknown,0
41736,global,"2003, 2019","NT, LC","0.2, 0",unknown,-0.0125
41737,global,"2003, 2021","NT, NT","0.2, 0.2",decreasing,0
41738,global,"2003, 2021","NT, VU","0.2, 0.4",decreasing,0.01111
41739,global,"2003, 2019","LC, LC","0, 0",stable,0
41740,global,"2003, 2013, 2020","CR, EN, EN","0.8, 0.6, 0.6",decreasing,-0.01233
41741,global,"2003, 2020","NT, VU","0.2, 0.4",decreasing,0.01176
41743,global,"2003, 2015","LC, LC","0, 0",stable,0
41747,global,"2003, 2020, 2021","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
41749,global,"2003, 2018","LC, VU","0, 0.4",unknown,0.02667
41752,global,"2003, 2018","LC, LC","0, 0",stable,0
41753,global,"2003, 2016","LC, LC","0, 0",stable,0
41754,global,"2011, 2012, 2017","VU, VU, EN","0.4, 0.4, 0.6",decreasing,0.03548
41761,global,"2003, 2012","VU, VU","0.4, 0.4",decreasing,0
41791,global,"2003, 2020","NT, VU","0.2, 0.4",decreasing,0.01176
41792,global,"2003, 2020","NT, VU","0.2, 0.4",decreasing,0.01176
41794,global,"2003, 2016","NT, LC","0.2, 0",unknown,-0.01538
41795,global,"2003, 2020","NT, LC","0.2, 0",stable,-0.01176
41797,global,"2003, 2016, 2021","VU, VU, NT","0.4, 0.4, 0.2",decreasing,-0.00888
41798,global,"2003, 2020","LC, NT","0, 0.2",decreasing,0.01176
41799,global,"2003, 2018","NT, LC","0.2, 0",stable,-0.01333
41800,global,"2003, 2018","LC, LC","0, 0",stable,0
41804,global,"2003, 2018","LC, LC","0, 0",unknown,0
41805,global,"2003, 2015","LC, LC","0, 0",unknown,0
41806,global,"2003, 2015","LC, LC","0, 0",unknown,0
41807,global,"2003, 2015","LC, LC","0, 0",unknown,0
41808,global,"2003, 2015","LC, LC","0, 0",unknown,0
41809,global,"2003, 2018","LC, LC","0, 0",unknown,0
41810,global,"2003, 2016","NT, EN","0.2, 0.6",decreasing,0.03077
41811,global,"2003, 2016","LC, LC","0, 0",unknown,0
41814,global,"2003, 2018","LC, LC","0, 0",unknown,0
41816,global,"2003, 2009, 2021","LC, VU, VU","0, 0.4, 0.4",decreasing,0.01905
41818,global,"2003, 2015","LC, LC","0, 0",stable,0
41819,global,"2003, 2020, 2021","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
41820,global,"2003, 2015","LC, LC","0, 0",unknown,0
41822,global,"2003, 2016","LC, LC","0, 0",unknown,0
41823,global,"2003, 2020","NT, NT","0.2, 0.2",decreasing,0
41824,global,"2003, 2016","LC, LC","0, 0",unknown,0
41825,global,"2003, 2020","LC, LC","0, 0",decreasing,0
41826,global,"2003, 2018","LC, LC","0, 0",stable,0
41827,global,"2003, 2018","LC, LC","0, 0",stable,0
41828,global,"2003, 2015","LC, LC","0, 0",unknown,0
41829,global,"2003, 2016","LC, LC","0, 0",unknown,0
41830,global,"2003, 2018","LC, LC","0, 0",unknown,0
41831,global,"2003, 2021","LC, NT","0, 0.2",decreasing,0.01111
41832,global,"2003, 2020","NT, EN","0.2, 0.6",decreasing,0.02353
41835,global,"2003, 2021","VU, VU","0.4, 0.4",decreasing,0
41836,global,"2003, 2021","VU, EN","0.4, 0.6",decreasing,0.01111
41837,global,"2003, 2009, 2015","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01667
41838,global,"2003, 2009, 2015","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01667
41839,global,"2003, 2015","LC, LC","0, 0",unknown,0
41841,global,"2003, 2016","LC, LC","0, 0",unknown,0
41842,global,"2003, 2016","LC, LC","0, 0",unknown,0
41844,global,"2003, 2016","LC, LC","0, 0",unknown,0
41846,global,"2003, 2016","LC, LC","0, 0",stable,0
41848,global,"2003, 2016, 2019","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.01751
41850,global,"2003, 2020","LC, VU","0, 0.4",decreasing,0.02353
41851,global,"2003, 2021","LC, NT","0, 0.2",decreasing,0.01111
41852,global,"2003, 2019","LC, LC","0, 0",unknown,0
41853,global,"2003, 2019","VU, CR","0.4, 0.8",decreasing,0.025
41854,global,"2003, 2016, 2019","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.01751
41858,global,"2003, 2015","LC, LC","0, 0",unknown,0
41861,global,"2003, 2018","NT, NT","0.2, 0.2",unknown,0
41862,global,"2003, 2016","LC, LC","0, 0",stable,0
41863,global,"2003, 2016","LC, LC","0, 0",stable,0
41864,global,"2003, 2015","LC, LC","0, 0",unknown,0
41871,global,"2003, 2020","VU, EN","0.4, 0.6",decreasing,0.01176
41872,global,"2003, 2016","NT, NT","0.2, 0.2",decreasing,0
41873,global,"2003, 2015","NT, LC","0.2, 0",unknown,-0.01667
41874,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
41875,global,"2003, 2016","VU, VU","0.4, 0.4",unknown,0
41876,global,"2009, 2016","VU, VU","0.4, 0.4",decreasing,0
41878,global,"2003, 2016, 2019","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01336
41880,global,"2003, 2021","CR, CR","0.8, 0.8",decreasing,0
42704,global,"2016, 2017","LC, LC","0, 0",unknown,0
42706,global,"2003, 2011, 2019","NT, NT, CR","0.2, 0.2, 0.8",decreasing,0.0375
42707,global,"2011, 2019","NT, NT","0.2, 0.2",decreasing,0
42712,global,"2003, 2021","CR, VU","0.8, 0.4",decreasing,-0.02222
42713,global,"2003, 2009, 2016","LC, LC, LC","0, 0, 0",unknown,-0
42716,global,"2003, 2011, 2019","LC, LC, LC","0, 0, 0",stable,-0
42717,global,"2003, 2015","LC, LC","0, 0",unknown,0
42720,global,"2003, 2015","LC, LC","0, 0",unknown,0
42721,global,"2003, 2015","LC, LC","0, 0",unknown,0
42727,global,"2003, 2019","NT, NT","0.2, 0.2",decreasing,0
42729,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
42730,global,"2003, 2019","NT, NT","0.2, 0.2",decreasing,0
43974,global,"2003, 2018","EN, EN","0.6, 0.6",decreasing,0
44166,global,"2004, 2008, 2015, 2021","NT, VU, VU, VU","0.2, 0.4, 0.4, 0.4",decreasing,0.00941
44168,global,"2003, 2006","EN, CR","0.6, 0.8",decreasing,0.06667
44169,global,"2003, 2006","VU, EN","0.4, 0.6",decreasing,0.06667
44175,global,"2004, 2020","VU, EN","0.4, 0.6",unknown,0.0125
44177,global,"2004, 2020","EN, CR","0.6, 0.8",unknown,0.0125
44178,global,"2004, 2020","VU, CR","0.4, 0.8",unknown,0.025
44183,global,"2005, 2016","NT, LC","0.2, 0",stable,-0.01818
44186,global,"2004, 2015","LC, LC","0, 0",unknown,0
44478,global,"2004, 2017","LC, LC","0, 0",unknown,0
44479,global,"2004, 2016","NT, LC","0.2, 0",unknown,-0.01667
44561,global,"2004, 2022","CR, VU","0.8, 0.4",decreasing,-0.02222
44565,global,"2004, 2018","LC, LC","0, 0",unknown,0
44575,global,"2004, 2020","EN, CR","0.6, 0.8",decreasing,0.0125
44577,global,"2004, 2020","VU, VU","0.4, 0.4",decreasing,0
44578,global,"2004, 2020","VU, VU","0.4, 0.4",decreasing,0
44581,global,"2004, 2020","CR, CR","0.8, 0.8",decreasing,0
44582,global,"2004, 2020","LC, LC","0, 0",stable,0
44583,global,"2004, 2020","LC, LC","0, 0",stable,0
44586,global,"2004, 2020","VU, VU","0.4, 0.4",decreasing,0
44591,global,"2004, 2020","NT, CR","0.2, 0.8",decreasing,0.0375
44595,global,"2004, 2020","EN, VU","0.6, 0.4",decreasing,-0.0125
44598,global,"2004, 2020","LC, CR","0, 0.8",decreasing,0.05
44599,global,"2004, 2019","LC, LC","0, 0",stable,0
44602,global,"2004, 2019","LC, LC","0, 0",stable,0
44606,global,"2004, 2020","LC, NT","0, 0.2",decreasing,0.0125
44607,global,"2004, 2020","NT, NT","0.2, 0.2",decreasing,0
44609,global,"2004, 2020","LC, LC","0, 0",increasing,0
44611,global,"2004, 2019","LC, LC","0, 0",stable,0
44617,global,"2004, 2019","VU, CR","0.4, 0.8",decreasing,0.02667
44618,global,"2004, 2019","NT, LC","0.2, 0",stable,-0.01333
44619,global,"2004, 2018, 2021","LC, LC, LC","0, 0, 0",stable,-0
44620,global,"2004, 2019","LC, LC","0, 0",stable,0
44642,global,"2004, 2020","VU, CR","0.4, 0.8",decreasing,0.025
44649,global,"2004, 2021","LC, VU","0, 0.4",decreasing,0.02353
44650,global,"2004, 2021","LC, LC","0, 0",stable,0
44651,global,"2004, 2021","LC, LC","0, 0",stable,0
44654,global,"2004, 2020","LC, LC","0, 0",stable,0
44655,global,"2004, 2020","LC, LC","0, 0",stable,0
44656,global,"2004, 2020","VU, VU","0.4, 0.4",decreasing,0
44657,global,"2004, 2019","LC, LC","0, 0",stable,0
44673,global,"2004, 2018","NT, VU","0.2, 0.4",decreasing,0.01429
44674,global,"2004, 2018","NT, LC","0.2, 0",decreasing,-0.01429
44675,global,"2004, 2018","NT, LC","0.2, 0",unknown,-0.01429
44676,global,"2004, 2018","LC, LC","0, 0",unknown,0
44677,global,"2004, 2018","VU, VU","0.4, 0.4",decreasing,0
44678,global,"2004, 2018","NT, NT","0.2, 0.2",decreasing,0
44681,global,"2004, 2018","NT, VU","0.2, 0.4",decreasing,0.01429
44683,global,"2004, 2018","NT, NT","0.2, 0.2",decreasing,0
44684,global,"2004, 2018","NT, LC","0.2, 0",decreasing,-0.01429
44686,global,"2008, 2018","NT, LC","0.2, 0",unknown,-0.02
44993,global,"2004, 2020","NT, LC","0.2, 0",stable,-0.0125
46864,global,"2003, 2020","LC, NT","0, 0.2",decreasing,0.01176
46865,global,"2003, 2018","NT, VU","0.2, 0.4",decreasing,0.01333
60081,global,"2006, 2019","NT, LC","0.2, 0",increasing,-0.01538
60082,global,"2006, 2019","LC, LC","0, 0",stable,0
60083,global,"2006, 2019","LC, LC","0, 0",stable,0
60084,global,"2006, 2019","LC, LC","0, 0",stable,0
60085,global,"2006, 2019","LC, NT","0, 0.2",decreasing,0.01538
60087,global,"2006, 2020","NT, VU","0.2, 0.4",decreasing,0.01429
60088,global,"2006, 2019","VU, VU","0.4, 0.4",decreasing,0
