"zone","row","species_id_no","pop_trend","gapfill","trend_score"
3,"11","169015","stable","none",0
5,"11","169015","stable","none",0
5,"22","173327","decreasing","none",-0.0767000019550323
5,"23","173328","stable","none",0
5,"26","173331","decreasing","none",-0.0767000019550323
5,"27","173332","stable","none",0
5,"47","173352","stable","none",0
5,"53","173358","stable","none",0
5,"59","173363","stable","none",0
5,"60","173364","stable","none",0
5,"61","173365","unknown","family",-0.0250466670840979
5,"72","173376","unknown","family",-0.0250466670840979
6,"11","169015","stable","none",0
6,"22","173327","decreasing","none",-0.0767000019550323
6,"23","173328","stable","none",0
6,"27","173332","stable","none",0
6,"47","173352","stable","none",0
6,"53","173358","stable","none",0
6,"59","173363","stable","none",0
6,"60","173364","stable","none",0
6,"71","173375","unknown","family",-0.00626363651826978
6,"72","173376","unknown","family",-0.0250466670840979
7,"11","169015","stable","none",0
7,"22","173327","decreasing","none",-0.0767000019550323
7,"23","173328","stable","none",0
7,"26","173331","decreasing","none",-0.0767000019550323
7,"27","173332","stable","none",0
7,"47","173352","stable","none",0
7,"53","173358","stable","none",0
7,"59","173363","stable","none",0
7,"60","173364","stable","none",0
7,"71","173375","unknown","family",-0.00626363651826978
7,"72","173376","unknown","family",-0.0250466670840979
8,"11","169015","stable","none",0
8,"22","173327","decreasing","none",-0.0767000019550323
8,"23","173328","stable","none",0
8,"26","173331","decreasing","none",-0.0767000019550323
8,"27","173332","stable","none",0
8,"47","173352","stable","none",0
8,"53","173358","stable","none",0
8,"59","173363","stable","none",0
8,"60","173364","stable","none",0
8,"71","173375","unknown","family",-0.00626363651826978
8,"72","173376","unknown","family",-0.0250466670840979
9,"11","169015","stable","none",0
9,"22","173327","decreasing","none",-0.0767000019550323
9,"23","173328","stable","none",0
9,"26","173331","decreasing","none",-0.0767000019550323
9,"27","173332","stable","none",0
9,"53","173358","stable","none",0
9,"59","173363","stable","none",0
9,"60","173364","stable","none",0
9,"71","173375","unknown","family",-0.00626363651826978
9,"72","173376","unknown","family",-0.0250466670840979
11,"53","173358","stable","none",0
11,"59","173363","stable","none",0
11,"60","173364","stable","none",0
13,"11","169015","stable","none",0
13,"22","173327","decreasing","none",-0.0767000019550323
13,"23","173328","stable","none",0
13,"26","173331","decreasing","none",-0.0767000019550323
