"","rgn_id","rgn","score_new","score_old","rgn_name","diff","abs_diff"
"1",38,"status",0,1,"British Indian Ocean Territory",-1,1
"2",48,"status",1,0.602,"Oman",0.398,0.398
"3",51,"status",0.75,0.612,"Kuwait",0.138,0.138
"4",62,"status",0.565,0.743,"Morocco",-0.178,0.178
"5",204,"status",0.773,0.593,"Bangladesh",0.18,0.18
"6",215,"status",0.181,0,"Jordan",0.181,0.181
