fishing_entity,rgn_id,rgn_name,notes
Albania,82,Albania,
Algeria,84,Algeria,
American Samoa,151,American Samoa,
Angola,200,Angola,
Anguilla (UK),118,Anguilla,
Antigua & Barbuda,120,Antigua and Barbuda,
Argentina,172,Argentina,
Aruba (Netherlands),250,Aruba,
Ascension Isl. (UK),85,Ascension,
Australia,16,Australia,
Azores Isl. (Portugal),55,Azores,
Bahamas,110,Bahamas,
Bahrain,52,Bahrain,
Bangladesh,204,Bangladesh,
Barbados,124,Barbados,
Belgium,59,Belgium,
Belize,164,Belize,
Benin,99,Benin,
Bermuda (UK),108,Bermuda,
Bonaire (Netherlands),245,Bonaire,
Bosnia & Herzegovina,232,Bosnia and Herzegovina,
Brazil,171,Brazil,
Brit. Indian Ocean Terr. (UK),38,British Indian Ocean Territory,
British Virgin Isl. (UK),117,British Virgin Islands,
Brunei Darussalam,247,Brunei,
Bulgaria,71,Bulgaria,
Cambodia,24,Cambodia,
Cameroon,197,Cameroon,
Canada,218,Canada,
Cape Verde,56,Cape Verde,
Cayman Isl. (UK),113,Cayman Islands,
Chile,224,Chile,
China,209,China,
Christmas Isl. (Australia),2,Christman Island,
Cocos (Keeling) Isl. (Australia),1,Cocos Islands ,
Colombia,132,Colombia,
Comoros,28,Comoro Islands,
Cook Islands,153,Cook Islands,
Costa Rica,130,Costa Rica,
Croatia,187,Croatia,
Cuba,112,Cuba,
Curacao,244,Curacao,
South Cyprus,81,Cyprus,
North Cyprus,81,Cyprus,
Congo (ex-Zaire),199,Democratic Republic of the Congo,
Denmark,175,Denmark,
Djibouti,46,Djibouti,
Dominica,123,Dominica,
Dominican Republic,115,Dominican Republic,
Timor Leste,231,East Timor,
Ecuador,137,Ecuador,
Egypt,214,Egypt,
El Salvador,134,El Salvador,
Equatorial Guinea,104,Equatorial Guinea,
Eritrea,45,Eritrea,
Estonia,70,Estonia,
Faeroe Isl. (Denmark),141,Faeroe�Islands,
Falkland Isl. (UK),95,Falkland Islands,
Fiji,18,Fiji,
Finland,174,Finland,
France,179,France,
French Guiana,169,French Guiana,
French Polynesia,147,French Polynesia,
Gabon,198,Gabon,
Gambia,65,Gambia,
Georgia,74,Georgia,
Germany,176,Germany,
Ghana,106,Ghana,
Greece,80,Greece,
Greenland,145,Greenland,
Grenada,125,Grenada,
Martinique (France),140,Guadeloupe and Martinique,
Guadeloupe  (France),140,Guadeloupe and Martinique,
Guatemala,136,Guatemala,
Guinea,194,Guinea,
Guinea-Bissau,193,Guinea Bissau,
Guyana,167,Guyana,
Haiti,114,Haiti,
Honduras,133,Honduras,
Iceland,143,Iceland,
India,203,India,
Indonesia,216,Indonesia,
Iran,191,Iran,
Iraq,192,Iraq,
Ireland,181,Ireland,
Israel,79,Israel,
Italy,184,Italy,
Côte d'Ivoire,195,Ivory Coast,
Jamaica,166,Jamaica,
Japan,210,Japan,
Jordan,215,Jordan,
Kenya,43,Kenya,
Kuwait,51,Kuwait,
Latvia,69,Latvia,
Lebanon,78,Lebanon,
Liberia,97,Liberia,
Libya,67,Libya,
Lithuania,189,Lithuania,
Madagascar,42,Madagascar,
Madeira Isl. (Portugal),42,Madeira,
Malaysia,206,Malaysia,
Maldives,39,Maldives,
Malta,68,Malta,
Marshall Isl.,11,Marshall Islands ,
Mauritania,64,Mauritania,
Mauritius,37,Mauritius,
Mayotte (France),29,Mayotte,
Mexico,135,Mexico,
Micronesia,9,Micronesia,
Montenegro,186,Montenegro,
Montserrat (UK),121,Montserrat,
Morocco,62,Morocco,
Mozambique,41,Mozambique,
Myanmar,205,Myanmar,
Unknown Fishing Country,NA,NA,Not an OHI region
Channel Isl. (UK),NA,NA,Need to split manually into Guernsey and Jersey
Kiribati,NA,NA,"Need to split manually into Line Islands (Kiribati), Phoenix Islands (Kiribati), and Gilbert Islands (Kiribati)"
St Barthelemy (France),NA,NA,Not an OHI region
St Martin,NA,NA,"Need to split manually into Northern Saint-Martin, Sint Maarten"
Saba and Saint Eustaius (Netherlands),NA,NA,"Need to split manually into Saba, Sint Eustatius"
Hong Kong,NA,NA,Not an OHI region
Gaza Strip,NA,NA,Not an OHI region
Namibia,101,Namibia,
Nauru,10,Nauru,
Netherlands,177,Netherlands,
New Caledonia (France),5,New Caledonia,
New Zealand,162,New Zealand,
Nicaragua,131,Nicaragua,
Nigeria,196,Nigeria,
Niue (New Zealand),154,Niue,
Norfolk Isl. (Australia),3,Norfolk Island,
Korea (North),21,North Korea,
Guam (USA),13,Northern Mariana Islands and Guam,
North Marianas (USA),13,Northern Mariana Islands and Guam,
Norway,223,Norway,
Oman,48,Oman,
Pakistan,53,Pakistan,
Palau,8,Palau,
Panama,129,Panama,
Papua New Guinea,17,Papua New Guinea,
Peru,138,Peru,
Philippines,15,Philippines,
Pitcairn (UK),146,Pitcairn,
