"country","year","km2","rgn_id"
"Comoros","1996",0.97,NA
"Comoros","2007",0.98,NA
"Comoros","2008",0.98,NA
"Comoros","2009",0.98,NA
"Comoros","2010",0.97,NA
"Comoros","2015",0.96,NA
"Comoros","2016",0.95,NA
"Comoros","2017",0.96,NA
"Comoros","2018",0.98,NA
"Comoros","2019",0.98,NA
"Comoros","2020",0.97,NA
"Djibouti","1996",8.89,46
"Djibouti","2007",7.41,46
"Djibouti","2008",6.92,46
"Djibouti","2009",6.82,46
"Djibouti","2010",6.84,46
"Djibouti","2015",7.18,46
"Djibouti","2016",7.35,46
"Djibouti","2017",7.32,46
"Djibouti","2018",7.38,46
"Djibouti","2019",7.42,46
"Djibouti","2020",7.5,46
"Egypt","1996",2.94,214
"Egypt","2007",2.18,214
"Egypt","2008",2.03,214
"Egypt","2009",2.02,214
"Egypt","2010",2.02,214
"Egypt","2015",1.99,214
"Egypt","2016",2,214
"Egypt","2017",2.02,214
"Egypt","2018",2.05,214
"Egypt","2019",2.07,214
"Egypt","2020",2.24,214
"Eritrea","1996",93.37,45
"Eritrea","2007",82.25,45
"Eritrea","2008",77.59,45
"Eritrea","2009",78.16,45
"Eritrea","2010",78.05,45
"Eritrea","2015",78.49,45
"Eritrea","2016",78.25,45
"Eritrea","2017",79.19,45
"Eritrea","2018",79.45,45
"Eritrea","2019",78.52,45
"Eritrea","2020",77.91,45
"French Southern Territories","1996",6.72,NA
"French Southern Territories","2007",6.72,NA
"French Southern Territories","2008",6.72,NA
"French Southern Territories","2009",6.72,NA
"French Southern Territories","2010",6.72,NA
"French Southern Territories","2015",6.72,NA
"French Southern Territories","2016",6.72,NA
"French Southern Territories","2017",6.72,NA
"French Southern Territories","2018",6.72,NA
"French Southern Territories","2019",6.72,NA
"French Southern Territories","2020",6.72,NA
"Kenya","1996",549.9,43
"Kenya","2007",543.8,43
"Kenya","2008",541,43
"Kenya","2009",543.45,43
"Kenya","2010",544.13,43
"Kenya","2015",541.35,43
"Kenya","2016",538.52,43
"Kenya","2017",539.55,43
"Kenya","2018",543.28,43
"Kenya","2019",545.24,43
"Kenya","2020",544.3,43
"Madagascar","1996",2826.44,42
"Madagascar","2007",2789.87,42
"Madagascar","2008",2773.93,42
"Madagascar","2009",2774,42
"Madagascar","2010",2769.98,42
"Madagascar","2015",2767.73,42
"Madagascar","2016",2761.18,42
"Madagascar","2017",2762.92,42
"Madagascar","2018",2772.21,42
"Madagascar","2019",2779.89,42
"Madagascar","2020",2775.67,42
"Mauritius","1996",5.53,37
"Mauritius","2007",4.57,37
"Mauritius","2008",4.4,37
"Mauritius","2009",4.33,37
"Mauritius","2010",4.27,37
"Mauritius","2015",4.24,37
"Mauritius","2016",4.22,37
"Mauritius","2017",4.15,37
"Mauritius","2018",4.18,37
"Mauritius","2019",4.27,37
"Mauritius","2020",4.32,37
"Mayotte","1996",6.77,29
"Mayotte","2007",6.86,29
"Mayotte","2008",6.92,29
"Mayotte","2009",6.92,29
"Mayotte","2010",6.9,29
"Mayotte","2015",6.8,29
"Mayotte","2016",6.75,29
"Mayotte","2017",6.76,29
"Mayotte","2018",6.81,29
"Mayotte","2019",6.83,29
"Mayotte","2020",6.76,29
"Mozambique","1996",3186.45,41
"Mozambique","2007",3165.43,41
"Mozambique","2008",3123.73,41
"Mozambique","2009",3107.92,41
"Mozambique","2010",3101.43,41
"Mozambique","2015",3099.83,41
"Mozambique","2016",3097.03,41
"Mozambique","2017",3102.08,41
"Mozambique","2018",3095.6,41
"Mozambique","2019",3071.52,41
"Mozambique","2020",3027.35,41
"Seychelles","1996",3.83,31
"Seychelles","2007",3.84,31
"Seychelles","2008",3.84,31
"Seychelles","2009",3.84,31
"Seychelles","2010",3.84,31
"Seychelles","2015",3.83,31
"Seychelles","2016",3.82,31
"Seychelles","2017",3.82,31
"Seychelles","2018",3.82,31
"Seychelles","2019",3.83,31
"Seychelles","2020",3.83,31
"Somalia","1996",36.79,44
"Somalia","2007",36.04,44
"Somalia","2008",35.74,44
"Somalia","2009",35.76,44
"Somalia","2010",35.68,44
"Somalia","2015",35.56,44
"Somalia","2016",35.56,44
"Somalia","2017",35.54,44
"Somalia","2018",35.54,44
"Somalia","2019",35.35,44
"Somalia","2020",35.15,44
"Sudan","1996",17.7,49
"Sudan","2007",13.41,49
"Sudan","2008",11.87,49
"Sudan","2009",11.51,49
"Sudan","2010",10.91,49
"Sudan","2015",10.1,49
"Sudan","2016",9.7,49
"Sudan","2017",9.97,49
"Sudan","2018",9.94,49
"Sudan","2019",9.51,49
"Sudan","2020",9.39,49
"Tanzania","1996",1136.96,202
"Tanzania","2007",1125.61,202
"Tanzania","2008",1117.87,202
"Tanzania","2009",1119.69,202
"Tanzania","2010",1116.84,202
"Tanzania","2015",1114.16,202
"Tanzania","2016",1109.45,202
"Tanzania","2017",1109.11,202
"Tanzania","2018",1115.42,202
"Tanzania","2019",1117.75,202
"Tanzania","2020",1107.87,202
"Angola","1996",293.25,200
"Angola","2007",289.81,200
"Angola","2008",288.36,200
"Angola","2009",288.69,200
"Angola","2010",288.45,200
"Angola","2015",287.93,200
"Angola","2016",285.55,200
"Angola","2017",285.67,200
"Angola","2018",283.58,200
"Angola","2019",284.39,200
"Angola","2020",283.57,200
"Cameroon","1996",1963.56,197
"Cameroon","2007",1970.85,197
"Cameroon","2008",1970.23,197
"Cameroon","2009",1970.34,197
"Cameroon","2010",1972.01,197
"Cameroon","2015",1975.68,197
"Cameroon","2016",1971.6,197
"Cameroon","2017",1968.93,197
"Cameroon","2018",1968.77,197
"Cameroon","2019",1972.52,197
"Cameroon","2020",1970.01,197
"Democratic Republic of the Congo","1996",238,199
"Democratic Republic of the Congo","2007",238.07,199
"Democratic Republic of the Congo","2008",237.37,199
"Democratic Republic of the Congo","2009",237.28,199
"Democratic Republic of the Congo","2010",236.46,199
"Democratic Republic of the Congo","2015",236.36,199
"Democratic Republic of the Congo","2016",236.16,199
