"rgn_id","rgn_type","type_w_ant","rgn_ant_id","rgn_name","mean","year"
303,NA,NA,NA,NA,NA,"2012"
304,NA,NA,NA,NA,NA,"2012"
305,NA,NA,NA,NA,NA,"2012"
306,NA,NA,NA,NA,NA,"2012"
307,NA,NA,NA,NA,NA,"2012"
308,NA,NA,NA,NA,NA,"2012"
309,NA,NA,NA,NA,NA,"2012"
310,NA,NA,NA,NA,NA,"2012"
311,NA,NA,NA,NA,NA,"2012"
312,NA,NA,NA,NA,NA,"2012"
313,NA,NA,NA,NA,NA,"2012"
314,NA,NA,NA,NA,NA,"2012"
315,NA,NA,NA,NA,NA,"2012"
316,NA,NA,NA,NA,NA,"2012"
317,NA,NA,NA,NA,NA,"2012"
318,NA,NA,NA,NA,NA,"2012"
319,NA,NA,NA,NA,NA,"2012"
320,NA,NA,NA,NA,NA,"2012"
321,NA,NA,NA,NA,NA,"2012"
322,NA,NA,NA,NA,NA,"2012"
323,NA,NA,NA,NA,NA,"2012"
324,NA,NA,NA,NA,NA,"2012"
325,NA,NA,NA,NA,NA,"2012"
326,NA,NA,NA,NA,NA,"2012"
327,NA,NA,NA,NA,NA,"2012"
328,NA,NA,NA,NA,NA,"2012"
329,NA,NA,NA,NA,NA,"2012"
330,NA,NA,NA,NA,NA,"2012"
331,NA,NA,NA,NA,NA,"2012"
332,NA,NA,NA,NA,NA,"2012"
333,NA,NA,NA,NA,NA,"2012"
334,NA,NA,NA,NA,NA,"2012"
335,NA,NA,NA,NA,NA,"2012"
336,NA,NA,NA,NA,NA,"2012"
337,NA,NA,NA,NA,NA,"2012"
248100,NA,NA,NA,NA,NA,"2012"
248200,NA,NA,NA,NA,NA,"2012"
248300,NA,NA,NA,NA,NA,"2012"
248400,NA,NA,NA,NA,NA,"2012"
248500,NA,NA,NA,NA,NA,"2012"
248600,NA,NA,NA,NA,NA,"2012"
258410,NA,NA,NA,NA,NA,"2012"
258420,NA,NA,NA,NA,NA,"2012"
258431,NA,NA,NA,NA,NA,"2012"
258432,NA,NA,NA,NA,NA,"2012"
258441,NA,NA,NA,NA,NA,"2012"
258442,NA,NA,NA,NA,NA,"2012"
258510,NA,NA,NA,NA,NA,"2012"
258520,NA,NA,NA,NA,NA,"2012"
258600,NA,NA,NA,NA,NA,"2012"
258700,NA,NA,NA,NA,NA,"2012"
288100,NA,NA,NA,NA,NA,"2012"
288200,NA,NA,NA,NA,NA,"2012"
288300,NA,NA,NA,NA,NA,"2012"
