"zone","uv_2005_2009.2005_2009_mol_1km","uv_2006_2010.2005_2009_mol_1km","uv_2007_2011.2005_2009_mol_1km","uv_2008_2012.2005_2009_mol_1km","uv_2009_2013.2005_2009_mol_1km","uv_2010_2014.2005_2009_mol_1km","uv_2011_2015.2005_2009_mol_1km","uv_2012_2016.2005_2009_mol_1km","uv_2013_2017.2005_2009_mol_1km","uv_2014_2018.2005_2009_mol_1km","uv_2015_2019.2005_2009_mol_1km","uv_2016_2020.2005_2009_mol_1km","uv_2017_2021.2005_2009_mol_1km"
1,0,0.0285617755279843,0.00406795255328274,0.00903151676616188,0.00147247048969159,0,0,0.00679897098227364,0.00187510968325131,0.00154338947654204,0.0743706706788566,0.0530065707964971,0.023527292274245
2,0,0.0195964804381103,0.00186946933140099,0,0,0,0.00162290485005718,0.00451770280936727,0.00162290485005718,0.00283056241091521,0.0156017415151187,0.00478901702154038,0.00350358173303458
3,0,0.026210677178958,0,0,0.00275018455303184,5.25586086643759e-05,0.00438179695653341,0.100158066117963,0.15861574551266,0.0772244659443251,0.165393073893965,0.223806585018941,0.0821822307325724
4,0,0.0708476048037081,0.139205370327875,0.154089783386726,0.202342091272531,0.123762884852976,0.184028997051005,0.175465418995135,0.165072545949513,0.125387743504832,0.232273486160132,0.286955944687831,0.367298617719023
5,0,0.0320661861617081,0.000492143717392003,0.00092353898274875,0.00864272713281638,0.0064667833271165,0.0204513168696158,0.230577096610266,0.26756812868318,0.16260783108373,0.262852562646725,0.187284618102066,0.0112810335719213
6,0,0.0629990295552363,0.0059217742367287,0.00110625644254236,0.00802985830749883,0.013596574544531,0.0393614464247941,0.375064909787679,0.351918996031607,0.346936281914444,0.462934996018657,0.326192534169089,0.0327379054133823
7,0,0.0646382358417025,0.128701267566871,0.147561636653589,0.126274283063823,0.0877303469855484,0.0555869593078804,0.160563953963832,0.116134805793944,0.132299738124068,0.200338071463494,0.181221017737607,0.0725261307383391
8,0,0.051914806439673,0.0431996616432712,0.015800763184308,0.0125139181605715,0.00806802552561642,0.0105228601761426,0.084610221041543,0.0950157430413567,0.26115830871656,0.308390432171566,0.247367552819161,0.142483024385985
9,0,0.0675730341596671,0.0703552404918952,0.060125086598922,0.0578861412600209,0.0501209733377516,0.0318883075601336,0.118724390095686,0.110179283204686,0.226335300950433,0.243549301121314,0.232483848190623,0.134431546925864
10,0,0.0511030884682745,0.113325894749366,0.0390637931200301,0.0133859380394576,0.010759418379956,0.00237665316331983,0.000785325985157815,0.00563484085513134,0.0539417074824728,0.0314071411997675,0.0834373035450236,0.237427308253285
