"rgn_id","pcgdp_cia"
5,31100
6,2800
7,2500
8,17600
9,3500
10,13500
11,4000
13,32781.8592334739
14,24502
15,8000
16,48700
17,4100
18,11000
19,4400
20,42300
21,1700
24,4200
25,17300
28,3100
31,24400
37,19500
39,13000
40,12500
41,1200
42,1500
43,4200
44,800
45,1600
46,5500
47,2500
48,27300
49,4000
50,44300
51,49900
52,40900
53,4600
54,67100
56,6000
59,48200
60,61700
61,9700
62,6900
64,5000
65,2200
66,3300
67,10300
68,39200
69,29900
70,35600
71,22400
72,28800
73,26500
74,14100
75,12400
77,2900
78,11600
79,38300
80,27300
81,37700
82,13300
84,10700
85,7800
86,7800
88,7800
95,70800
96,1600
97,1400
98,2100
99,3300
100,3400
101,8900
102,11500
103,4100
104,17000
106,5300
108,81800
110,30800
111,21100
112,12300
113,73600
114,2800
115,17000
116,33513.1138754231
117,34200
118,12200
119,23300
120,18000
121,34000
122,12300
123,9900
124,12900
125,15100
126,23700
127,12100
129,25400
130,19700
131,5300
132,13400
133,5100
134,8100
135,17900
136,8400
137,10300
138,11300
139,7704
141,40000
143,52300
145,41800
147,17000
151,11200
152,6300
153,16700
154,5800
155,6400
156,6004
161,3800
162,42400
163,60200
164,6100
166,8700
167,18700
168,16100
171,14100
172,19700
173,21600
174,47300
175,55900
176,50900
177,54200
178,32200
179,42000
180,41600
181,89700
182,36200
183,32200
184,39000
185,115700
186,18300
187,26500
188,36500
189,36700
190,85300
191,12400
192,9300
193,1800
194,2700
195,5200
196,4900
197,3600
198,14400
199,1100
200,6200
202,2600
203,6100
204,4800
205,4500
206,26400
207,8200
208,93400
209,16625.5114705845
210,41400
212,2300
214,12000
215,9800
216,11400
218,45900
219,46200
220,35300
221,19300
222,50700
223,63600
224,23300
227,56600
228,52500
231,3200
232,14300
244,24500
247,62200
250,37500
