rgn_id,fao_id,RAM_area_m2,stockid,stocklong,idtemp2
137,87,NA,CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,1
138,87,NA,CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,2
224,87,NA,CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,3
179,37,NA,RMULLMEDGSA7,Red mullet Gulf of Lions,4
182,37,NA,RMULLMEDGSA7,Red mullet Gulf of Lions,5
82,37,NA,SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",6
184,37,NA,SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",7
186,37,NA,SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",8
187,37,NA,SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",9
188,37,NA,SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",10
71,37,NA,SPRBLKGSA29,Sprat Black Sea,11
72,37,NA,SPRBLKGSA29,Sprat Black Sea,12
76,37,NA,SPRBLKGSA29,Sprat Black Sea,13
