x,TaxonKey
Abudefduf abdominalis Green damselfish,606652
Acanthostracion quadricornis Scrawled cowfish,600092
Acanthurus coeruleus Blue tang surgeonfish,600944
Acanthurus nigroris Bluelined surgeonfish,604738
Acetes sibogae Alamang shrimp,6925427
"Acipenseriformes Sturgeons, paddlefishes",300021
Actinopterygii Ray-finned fishes,200006
Actinopyga mauritiana Surf redfish,6983473
Amblycirrhitus pinos Redspotted hawkfish,603655
Amblyraja radiata Starry ray,602565
Ameghinomya antiqua Cancellated clam,69140783
Amphistichus koelzi Calico surfperch,603623
Amphistichus rhodoterus Redtail surfperch,603624
Anableps anableps Largescale foureyes,607379
Anadara tuberculosa Pustulose ark,6947322
Anarrhichthys ocellatus Wolf-eel,603813
Anisotremus davidsonii Xantic sargo,603568
Apogon maculatus Flamefish,603526
Apristurus brunneus Brown catshark,600763
Argyrosomus heinii Arabian sea meagre,614392
Ariopsis seemanni Tete sea catfish,613480
Aristaeopsis edwardsiana Scarlet shrimp,690343
Astrophyton muricatum Giant basket star,6949584
Atherinops affinis Topsmelt silverside,603235
Athyonidium chilensis Burrowing shaggy sea cucumber,69153528
Atractosteus spatula Alligator gar,601073
Aulacomya atra Chilean ribbed mussel,690081
Australostichopus mollis Brown mottled sea cucumber,6985166
Azurina cyanea Blue chromis,603642
Bairdiella chrysoura Goldtail croaker,601165
Bathyraja griseocauda Graytail skate,627229
Bathyraja scaphiops Cuphead skate,652472
Beringraja inornata California skate,602558
Bodianus bilunulatus Tarry hogfish,606580
Branchiostegus Indian and Pacific tilefishes,507893
Busycon carica Knobbed whelk,692913
Busycotypus canaliculatus Channeled whelk,695515
Callorhinchus callorynchus Plownose chimaera,608399
Cancer plebejus Chilean crab,69154468
Cancer porteri Boco,69153509
Cantherhines macrocerus American whitespotted filefish,604277
Cantherhines pullus Orangespotted filefish,601082
Canthigaster rostrata Caribbean sharpnose-puffer,604291
Caranx bartholomaei Yellow jack,601913
Caranx caninus Pacific crevalle jack,601901
Carcharhinus amboinensis Pigeye shark,600862
Carcharhinus signatus Night shark,600883
Catostylus perezi Banana jellyfish,6992695
Cebidichthys violaceus Monkeyface prickleback,603779
Centroselachus crepidater Longnose velvet dogfish,600663
Chaceon fenneri Golden deepsea crab,6919470
Chaetodon striatus Banded butterflyfish,603606
Charybdis anisodon Twospined arm swimming crab,6983582
Chasmodes saburrae Florida blenny,603755
Chelon ramada Thinlip grey mullet,604583
Chelon saliens Leaping mullet,601736
Chromis insolata Sunshinefish,603644
Chromis multilineata Brown chromis,601121
Chromis punctipinnis Blacksmith,603646
Chromis scotti Purple reeffish,603647
Clibanarius tricolor Tricolor hermit,6926711
Clibanarius vittatus Thinstripe hermit,6926708
Ctenochaetus strigosus Spotted surgeonfish,606015
Cucumaria frondosa Orange-footed sea cucumber,6950067
Cynoglossus senegalensis Senegalese tonguesole,604951
Cynoscion albus Whitefin weakfish,614024
Cyphoma gibbosum Flamingo tounge snail,694839
Dasyatis marmorata Marbled stingray,608964
Dicologlossa hexophthalma Ocellated wedge sole,604957
Dipturus trachyderma Ray,650858
Echinaster sentus Red spiny starfish,6949009
Echinometra lucunter Rock boring urchin,6950002
Elacatinus oceanops Neon goby,603876
Elops hawaiensis Hawaiian ladyfish,606415
Elysia crispata Lettuce seaslug,6900398
Embassichthys bathybius Deep-sea sole,604236
Embiotoca jacksoni Black perch,603628
Embiotoca lateralis Striped seaperch,603629
Emblemaria pandionis Sailfin blenny,603718
Emblemariopsis diaphana Glass blenny,603717
Enophrys bison Buffalo sculpin,604086
Enteroctopus megalocyathus Patagonian giant octopus,6957246
Epinephelus quinquefasciatus Pacific goliath grouper,666479
Eptatretus stoutii Pacific hagfish,602512
Eques lanceolatus Jack-knifefish,603584
Equetus punctatus Spotted drum,603585
Eriphia gonagra Warty crab,6926840
Eriphia verrucosa Yellow round crab,699337
Erythrocles scintillans Golden kali kali,613013
Etmopterus pusillus Smooth lanternshark,600684
Eucidaris tribuloides Slate pencil urchin,6949947
Eugerres plumieri Striped mojarra,601053
