"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Albania",82,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,137,156,316,57,21,33,54,126,29,29,0,136,120,0,160,89,66,24,180,359,28
"Albania",82,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,137,156,316,57,21,33,54,126,29,29,0,136,120,0,160,89,66,24,180,359,28
"Australia",16,"Coral and the like","corals",328,363,522,776,1366,729,780,1127,1183,1029,0,0,0,0,7301,4307,4339,3429,3832,3205,2304,2162,2934,1534,957,802,1863,676,921,1053,1846,1902,1814,1929,2668,2865,6403,7641,6331,9692,9591,9810
"Australia",16,"Z_TOTAL","corals",328,363,522,776,1366,729,780,1127,1183,1029,0,0,0,0,7301,4307,4339,3429,3832,3205,2304,2162,2934,1534,957,802,1863,676,921,1053,1846,1902,1814,1929,2668,2865,6403,7641,6331,9692,9591,9810
"Bonaire",245,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,1.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,1.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",171,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,14,12,6,1,1,2,3,34,94,55,64,54,47,29,3,8,16,68,5,4,1,3
"Brazil",171,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,14,12,6,1,1,2,3,34,94,55,64,54,47,29,3,8,16,68,5,4,1,3
"Canada",218,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,443,210,555,468,750,647,630,609,729,1124,1373,729,601,1215,486,501,514,576,290,600,3409,830,635,1522,536,819,571
"Canada",218,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,443,210,555,468,750,647,630,609,729,1124,1373,729,601,1215,486,501,514,576,290,600,3409,830,635,1522,536,819,571
"Chile",224,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,645,363,268,372,179,210,341,180,151,100,61,112,0,0,0,0,0,0,0,0,0,0,0
"Chile",224,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,645,363,268,372,179,210,341,180,151,100,61,112,0,0,0,0,0,0,0,0,0,0,0
"China",209,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,887,980,1023,1731,1388,639,1815,513,551,394,645,663,789,819,1667,2098,2422,1982,3559,4249,3779,3840,3982,4385,5983,5384,4833
