country,year,value,unit,sector,data_source
Albania,1984,588900,USD (1),mar,FAO aquaculture value
Albania,1985,586300,USD (1),mar,FAO aquaculture value
Albania,1986,1138800,USD (1),mar,FAO aquaculture value
Albania,1987,1175200,USD (1),mar,FAO aquaculture value
Albania,1988,1935009,USD (1),mar,FAO aquaculture value
Albania,1989,938400,USD (1),mar,FAO aquaculture value
Albania,1990,2221500,USD (1),mar,FAO aquaculture value
Albania,1991,397200,USD (1),mar,FAO aquaculture value
Albania,1992,182650,USD (1),mar,FAO aquaculture value
Albania,1993,191800,USD (1),mar,FAO aquaculture value
Albania,1994,190450,USD (1),mar,FAO aquaculture value
Albania,1995,195000,USD (1),mar,FAO aquaculture value
Albania,1996,175000,USD (1),mar,FAO aquaculture value
Albania,1997,205000,USD (1),mar,FAO aquaculture value
Albania,1998,151701,USD (1),mar,FAO aquaculture value
Albania,1999,204255.99999999997,USD (1),mar,FAO aquaculture value
Albania,2000,155994,USD (1),mar,FAO aquaculture value
Albania,2001,469014,USD (1),mar,FAO aquaculture value
Albania,2002,720655,USD (1),mar,FAO aquaculture value
Albania,2003,1530780,USD (1),mar,FAO aquaculture value
Albania,2004,2101572,USD (1),mar,FAO aquaculture value
Albania,2005,1862420,USD (1),mar,FAO aquaculture value
Albania,2006,2924339.9999999995,USD (1),mar,FAO aquaculture value
Albania,2007,4055095.0000000005,USD (1),mar,FAO aquaculture value
Albania,2008,4232902,USD (1),mar,FAO aquaculture value
Albania,2009,4469910,USD (1),mar,FAO aquaculture value
Albania,2010,4821205,USD (1),mar,FAO aquaculture value
Albania,2011,4497212,USD (1),mar,FAO aquaculture value
Albania,2012,11794702,USD (1),mar,FAO aquaculture value
Albania,2013,13248898.000000002,USD (1),mar,FAO aquaculture value
Albania,2014,13993173,USD (1),mar,FAO aquaculture value
Albania,2015,12183469.000000002,USD (1),mar,FAO aquaculture value
Albania,2016,13867128,USD (1),mar,FAO aquaculture value
Albania,2017,17381192,USD (1),mar,FAO aquaculture value
Albania,2018,15997530,USD (1),mar,FAO aquaculture value
Albania,2019,16769103,USD (1),mar,FAO aquaculture value
Albania,2020,33336400.999999996,USD (1),mar,FAO aquaculture value
Albania,2021,33803999,USD (1),mar,FAO aquaculture value
Algeria,1984,318994,USD (1),mar,FAO aquaculture value
Algeria,1985,327177,USD (1),mar,FAO aquaculture value
Algeria,1986,576092,USD (1),mar,FAO aquaculture value
Algeria,1987,631434,USD (1),mar,FAO aquaculture value
Algeria,1988,509854,USD (1),mar,FAO aquaculture value
Algeria,1989,330850,USD (1),mar,FAO aquaculture value
Algeria,1990,400960,USD (1),mar,FAO aquaculture value
Algeria,1991,393312,USD (1),mar,FAO aquaculture value
Algeria,1992,99244,USD (1),mar,FAO aquaculture value
Algeria,1993,323320,USD (1),mar,FAO aquaculture value
Algeria,1994,394600,USD (1),mar,FAO aquaculture value
Algeria,1995,376599.99999999994,USD (1),mar,FAO aquaculture value
Algeria,1996,329800,USD (1),mar,FAO aquaculture value
Algeria,1997,329800,USD (1),mar,FAO aquaculture value
Algeria,1998,313100,USD (1),mar,FAO aquaculture value
Algeria,1999,271300,USD (1),mar,FAO aquaculture value
Algeria,2000,388300,USD (1),mar,FAO aquaculture value
Algeria,2001,530000,USD (1),mar,FAO aquaculture value
Algeria,2002,543600,USD (1),mar,FAO aquaculture value
Algeria,2003,170200,USD (1),mar,FAO aquaculture value
Algeria,2004,137000,USD (1),mar,FAO aquaculture value
Algeria,2005,131000,USD (1),mar,FAO aquaculture value
Algeria,2006,181200,USD (1),mar,FAO aquaculture value
Algeria,2007,247000,USD (1),mar,FAO aquaculture value
Algeria,2008,2013916,USD (1),mar,FAO aquaculture value
Algeria,2009,2235368.9999999995,USD (1),mar,FAO aquaculture value
Algeria,2010,1688548,USD (1),mar,FAO aquaculture value
Algeria,2011,1858379,USD (1),mar,FAO aquaculture value
Algeria,2012,3017166,USD (1),mar,FAO aquaculture value
Algeria,2013,1639783.9999999998,USD (1),mar,FAO aquaculture value
Algeria,2014,9299088,USD (1),mar,FAO aquaculture value
Algeria,2015,3494712,USD (1),mar,FAO aquaculture value
Algeria,2016,2905571,USD (1),mar,FAO aquaculture value
Algeria,2017,16088273,USD (1),mar,FAO aquaculture value
Algeria,2018,12581254,USD (1),mar,FAO aquaculture value
Algeria,2019,15905122.000000002,USD (1),mar,FAO aquaculture value
Algeria,2020,28468345,USD (1),mar,FAO aquaculture value
Algeria,2021,18599834,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1984,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1985,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1986,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1987,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1988,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1989,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1990,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1991,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1992,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1993,0,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1994,18500,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1995,18500,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1996,18500,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1997,18500,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1998,18500,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,1999,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2000,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2001,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2002,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2003,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2004,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2005,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2006,18518,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2007,18519,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2008,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2009,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2010,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2011,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2012,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2013,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2014,29630,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2015,37037,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2016,37037,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2017,37037,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2018,48148,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2019,48148,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2020,48148,USD (1),mar,FAO aquaculture value
Antigua and Barbuda,2021,48148,USD (1),mar,FAO aquaculture value
Argentina,1984,0,USD (1),mar,FAO aquaculture value
Argentina,1985,10000,USD (1),mar,FAO aquaculture value
Argentina,1986,10000,USD (1),mar,FAO aquaculture value
Argentina,1987,1650,USD (1),mar,FAO aquaculture value
Argentina,1988,1800,USD (1),mar,FAO aquaculture value
Argentina,1989,100,USD (1),mar,FAO aquaculture value
Argentina,1990,100,USD (1),mar,FAO aquaculture value
Argentina,1991,100,USD (1),mar,FAO aquaculture value
Argentina,1992,100,USD (1),mar,FAO aquaculture value
Argentina,1993,100,USD (1),mar,FAO aquaculture value
Argentina,1994,0,USD (1),mar,FAO aquaculture value
Argentina,1995,0,USD (1),mar,FAO aquaculture value
Argentina,1996,0,USD (1),mar,FAO aquaculture value
Argentina,1997,0,USD (1),mar,FAO aquaculture value
Argentina,1998,0,USD (1),mar,FAO aquaculture value
Argentina,1999,14000,USD (1),mar,FAO aquaculture value
Argentina,2000,75000,USD (1),mar,FAO aquaculture value
Argentina,2001,75000,USD (1),mar,FAO aquaculture value
Argentina,2002,114000,USD (1),mar,FAO aquaculture value
Argentina,2003,74900,USD (1),mar,FAO aquaculture value
Argentina,2004,132120,USD (1),mar,FAO aquaculture value
Argentina,2005,309000,USD (1),mar,FAO aquaculture value
Argentina,2006,248400,USD (1),mar,FAO aquaculture value
Argentina,2007,270100,USD (1),mar,FAO aquaculture value
