iucn_sid,year,assess_year,cat,cat_txt,sciname,cat_score
10708,2020,2018,LC,Least Concern,Hyperoodon planifrons,0
10708,2008,2008,LC,Least Concern,Hyperoodon planifrons,0
10708,1996,1996,CD,Lower Risk/conservation dependent,Hyperoodon planifrons,0.3
10708,1994,1994,DD,Insufficiently Known,Hyperoodon planifrons,NA
11047,2020,2019,LC,Least Concern,Kogia breviceps,0
11047,2012,2008,DD,Data Deficient,Kogia breviceps,NA
11047,2008,2008,DD,Data Deficient,Kogia breviceps,NA
11047,1996,1996,LC,Lower Risk/least concern,Kogia breviceps,0
11047,1994,1994,DD,Insufficiently Known,Kogia breviceps,NA
11048,2020,2020,LC,Least Concern,Kogia sima,0
11048,2012,2008,DD,Data Deficient,Kogia sima,NA
11048,2008,2008,DD,Data Deficient,Kogia sima,NA
11048,1996,1996,LC,Lower Risk/least concern,Kogia sima,0
11048,1994,1994,DD,Insufficiently Known,Kogia sima,NA
11140,2018,2018,LC,Least Concern,Lagenodelphis hosei,0
11140,2012,2008,LC,Least Concern,Lagenodelphis hosei,0
11140,2008,2008,LC,Least Concern,Lagenodelphis hosei,0
11140,1996,1996,DD,Data Deficient,Lagenodelphis hosei,NA
11140,1994,1994,DD,Insufficiently Known,Lagenodelphis hosei,NA
11144,2018,2018,LC,Least Concern,Lagenorhynchus cruciger,0
11144,2008,2008,LC,Least Concern,Lagenorhynchus cruciger,0
11144,1996,1996,LC,Lower Risk/least concern,Lagenorhynchus cruciger,0
11144,1994,1994,DD,Insufficiently Known,Lagenorhynchus cruciger,NA
11146,2019,2018,LC,Least Concern,Lagenorhynchus obscurus,0
11146,2008,2008,DD,Data Deficient,Lagenorhynchus obscurus,NA
11146,1996,1996,DD,Data Deficient,Lagenorhynchus obscurus,NA
11146,1994,1994,DD,Insufficiently Known,Lagenorhynchus obscurus,NA
11200,2019,2018,VU,Vulnerable,Lamna nasus,0.4
11200,2006,2006,VU,Vulnerable,Lamna nasus,0.4
11200,2000,2000,NT,Lower Risk/near threatened,Lamna nasus,0.2
11200,1996,1996,VU,Vulnerable,Lamna nasus,0.4
11533,2019,2019,CR,Critically Endangered,Lepidochelys kempii,0.8
11533,1996,1996,CR,Critically Endangered,Lepidochelys kempii,0.8
11533,1994,1994,EN,Endangered,Lepidochelys kempii,0.6
11533,1990,1990,EN,Endangered,Lepidochelys kempii,0.6
11533,1988,1988,EN,Endangered,Lepidochelys kempii,0.6
11533,1986,1986,EN,Endangered,Lepidochelys kempii,0.6
11533,1982,1982,EN,Endangered,Lepidochelys kempii,0.6
11534,2008,2008,VU,Vulnerable,Lepidochelys olivacea,0.4
11534,1996,1996,EN,Endangered,Lepidochelys olivacea,0.6
11534,1994,1994,EN,Endangered,Lepidochelys olivacea,0.6
11534,1990,1990,EN,Endangered,Lepidochelys olivacea,0.6
11534,1988,1988,EN,Endangered,Lepidochelys olivacea,0.6
11534,1986,1986,EN,Endangered,Lepidochelys olivacea,0.6
11534,1982,1982,EN,Endangered,Lepidochelys olivacea,0.6
120868935,2019,2018,EN,Endangered,Monachus monachus,0.6
12126,2018,2018,LC,Least Concern,Lissodelphis peronii,0
12126,2012,2008,DD,Data Deficient,Lissodelphis peronii,NA
12126,2008,2008,DD,Data Deficient,Lissodelphis peronii,NA
12126,1996,1996,DD,Data Deficient,Lissodelphis peronii,NA
12126,1994,1994,DD,Insufficiently Known,Lissodelphis peronii,NA
123095978,2018,2018,CR,Critically Endangered,Orcaella brevirostris,0.8
12419,2021,2020,NT,Near Threatened,Lutra lutra,0.2
12419,2015,2014,NT,Near Threatened,Lutra lutra,0.2
12419,2008,2008,NT,Near Threatened,Lutra lutra,0.2
12419,2004,2004,NT,Near Threatened,Lutra lutra,0.2
12419,2000,2000,VU,Vulnerable,Lutra lutra,0.4
12419,1996,1996,LC,Lower Risk/least concern,Lutra lutra,0
12427,2021,2020,VU,Vulnerable,Lutrogale perspicillata,0.4
12427,2015,2014,VU,Vulnerable,Lutrogale perspicillata,0.4
12427,2008,2008,VU,Vulnerable,Lutrogale perspicillata,0.4
12427,2004,2004,VU,Vulnerable,Lutrogale perspicillata,0.4
12427,2000,2000,VU,Vulnerable,Lutrogale perspicillata,0.4
12427,1996,1996,VU,Vulnerable,Lutrogale perspicillata,0.4
12427,1994,1994,DD,Insufficiently Known,Lutrogale perspicillata,NA
12427,1990,1990,DD,Insufficiently Known,Lutrogale perspicillata,NA
12427,1988,1988,DD,Insufficiently Known,Lutrogale perspicillata,NA
127827012,2020,2020,DD,Data Deficient,Mesoplodon ginkgodens,NA
13006,2018,2018,LC,Least Concern,Megaptera novaeangliae,0
13006,2008,2008,LC,Least Concern,Megaptera novaeangliae,0
13006,1996,1996,VU,Vulnerable,Megaptera novaeangliae,0.4
13006,1994,1994,VU,Vulnerable,Megaptera novaeangliae,0.4
13006,1990,1990,VU,Vulnerable,Megaptera novaeangliae,0.4
13006,1988,1988,EN,Endangered,Megaptera novaeangliae,0.6
13006,1986,1986,EN,Endangered,Megaptera novaeangliae,0.6
13006,1965,1965,T,"""Less rare but believed to be threatened-requires watching""",Megaptera novaeangliae,0.6
13242,2020,2020,DD,Data Deficient,Mesoplodon bowdoini,NA
13242,2008,2008,DD,Data Deficient,Mesoplodon bowdoini,NA
13242,1996,1996,DD,Data Deficient,Mesoplodon bowdoini,NA
13242,1994,1994,DD,Insufficiently Known,Mesoplodon bowdoini,NA
13244,2020,2020,LC,Least Concern,Mesoplodon densirostris,0
13244,2008,2008,DD,Data Deficient,Mesoplodon densirostris,NA
13244,1996,1996,DD,Data Deficient,Mesoplodon densirostris,NA
13244,1994,1994,DD,Insufficiently Known,Mesoplodon densirostris,NA
13247,2020,2020,LC,Least Concern,Mesoplodon grayi,0
13247,2008,2008,DD,Data Deficient,Mesoplodon grayi,NA
13247,1996,1996,DD,Data Deficient,Mesoplodon grayi,NA
13247,1994,1994,DD,Insufficiently Known,Mesoplodon grayi,NA
13248,2020,2020,DD,Data Deficient,Mesoplodon hectori,NA
13248,2008,2008,DD,Data Deficient,Mesoplodon hectori,NA
13248,1996,1996,DD,Data Deficient,Mesoplodon hectori,NA
13248,1994,1994,DD,Insufficiently Known,Mesoplodon hectori,NA
13249,2020,2020,LC,Least Concern,Mesoplodon layardii,0
13249,2008,2008,DD,Data Deficient,Mesoplodon layardii,NA
13249,1996,1996,DD,Data Deficient,Mesoplodon layardii,NA
13249,1994,1994,DD,Insufficiently Known,Mesoplodon layardii,NA
13250,2022,2022,LC,Least Concern,Mesoplodon mirus,0
13250,2020,2020,LC,Least Concern,Mesoplodon mirus,0
13250,2008,2008,DD,Data Deficient,Mesoplodon mirus,NA
13250,1996,1996,DD,Data Deficient,Mesoplodon mirus,NA
13250,1994,1994,DD,Insufficiently Known,Mesoplodon mirus,NA
132832,2008,2008,EN,Endangered,Megaptera novaeangliae,0.6
132835,2008,2008,EN,Endangered,Megaptera novaeangliae,0.6
132948040,2019,2019,CR,Critically Endangered,Orcinus orca,0.8
133704,2018,2017,CR,Critically Endangered,Eubalaena australis,0.8
133704,2013,2008,CR,Critically Endangered,Eubalaena australis,0.8
133704,2008,2008,CR,Critically Endangered,Eubalaena australis,0.8
133706,2018,2017,CR,Critically Endangered,Eubalaena japonica,0.8
133706,2008,2008,CR,Critically Endangered,Eubalaena japonica,0.8
134817215,2021,2020,LC,Least Concern,Delphinus delphis,0
135301,2011,2010,LC,Least Concern,Oncorhynchus nerka,0
135301,2008,2008,LC,Least Concern,Oncorhynchus nerka,0
135302,2011,2010,DD,Data Deficient,Oncorhynchus nerka,NA
135302,2008,2008,DD,Data Deficient,Oncorhynchus nerka,NA
135303,2011,2010,LC,Least Concern,Oncorhynchus nerka,0
135303,2008,2008,LC,Least Concern,Oncorhynchus nerka,0
135306,2011,2010,DD,Data Deficient,Oncorhynchus nerka,NA
135306,2008,2008,DD,Data Deficient,Oncorhynchus nerka,NA
135308,2011,2010,DD,Data Deficient,Oncorhynchus nerka,NA
135308,2008,2008,DD,Data Deficient,Oncorhynchus nerka,NA
135309,2011,2010,CR,Critically Endangered,Oncorhynchus nerka,0.8
135309,2008,2008,CR,Critically Endangered,Oncorhynchus nerka,0.8
135310,2011,2010,LC,Least Concern,Oncorhynchus nerka,0
135310,2008,2008,LC,Least Concern,Oncorhynchus nerka,0
135311,2011,2010,LC,Least Concern,Oncorhynchus nerka,0
135311,2008,2008,LC,Least Concern,Oncorhynchus nerka,0
135312,2011,2010,LC,Least Concern,Oncorhynchus nerka,0
135312,2008,2008,LC,Least Concern,Oncorhynchus nerka,0
135313,2011,2010,DD,Data Deficient,Oncorhynchus nerka,NA
