"rgn_id","fao_id","RAM_area_m2","stockid","stocklong","idtemp2"
98,34,NA,"ANCHOCWACIV-BEN","Anchovy Central West Africa Cote Divoire-Benin",1
99,34,NA,"ANCHOCWACIV-BEN","Anchovy Central West Africa Cote Divoire-Benin",2
106,34,NA,"ANCHOCWACIV-BEN","Anchovy Central West Africa Cote Divoire-Benin",3
195,34,NA,"ANCHOCWACIV-BEN","Anchovy Central West Africa Cote Divoire-Benin",4
100,34,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",5
198,34,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",6
199,34,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",7
200,34,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",8
100,47,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",9
198,47,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",10
199,47,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",11
200,47,NA,"ANCHOCWAGAB-AGO","Anchovy Central West Africa Gabon-Angola",12
145,21,NA,"COD1F-XIV","Atlantic cod NAFO 1F and ICES 14",13
145,27,NA,"COD1F-XIV","Atlantic cod NAFO 1F and ICES 14",14
218,21,NA,"COD3Pn4RS","Atlantic cod Northern Gulf of St. Lawrence",15
218,21,NA,"COD4X5Yb","Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",16
163,21,NA,"MACK5YCHATT","Atlantic mackerel Gulf of Maine / Cape Hatteras",17
163,21,NA,"AWOLF5YZ","Atlantic wolffish Gulf of Maine / Georges Bank",18
200,47,NA,"BHAKECWAAGO","Benguela hake Central West Africa Angola",19
163,77,NA,"BOCACCSPCOAST","Bocaccio Southern Pacific Coast",20
100,34,NA,"BONGACWAGAB-COD","Bonga Central West Africa Gabon-Congo DR",21
198,34,NA,"BONGACWAGAB-COD","Bonga Central West Africa Gabon-Congo DR",22
199,34,NA,"BONGACWAGAB-COD","Bonga Central West Africa Gabon-Congo DR",23
100,34,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",24
198,34,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",25
199,34,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",26
200,34,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",27
100,47,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",28
198,47,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",29
199,47,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",30
200,47,NA,"CHMACKCWAGAB-AGO","Cunene horse mackerel Central West Africa Gabon-Angola",31
96,34,NA,"CHMACKCWAGNB-LBR","Cunene horse mackerel Central West Africa Guinea Bissau-Liberia",32
97,34,NA,"CHMACKCWAGNB-LBR","Cunene horse mackerel Central West Africa Guinea Bissau-Liberia",33
193,34,NA,"CHMACKCWAGNB-LBR","Cunene horse mackerel Central West Africa Guinea Bissau-Liberia",34
