"Resilience","sciname","SpecCode"
"Medium","Ablennes hians","972"
"Medium","Acanthistius brasilianus","351"
NA,NA,NA
"Medium","Acanthocybium solandri","89"
"Medium","Acanthopagrus berda","5526"
"Medium","Acanthopagrus bifasciatus","4543"
"Medium","Acanthopagrus schlegelii","6531"
"Medium","Acanthurus monroviae","1800"
"High","Achirus mazatlanus","10429"
"Very low","Aetobatus narinari","1250"
"Low","Aetomylaeus maculatus","12594"
NA,"Aetomylaeus nichofii","10120"
"Medium","Alectis alexandrina","1888"
"Low","Alopias superciliosus","2534"
"Low","Alopias vulpinus","2535"
NA,"Alosa fallax","5355"
"Medium","Alosa immaculata","105"
"Medium","Alosa pseudoharengus","1583"
"Low","Alosa sapidissima","1584"
"High","Amblygaster sirm","1501"
NA,"Ammodytes marinus","37"
"Medium","Ammodytes marinus","37"
"High","Ammodytes personatus","487"
"Low","Anarhichas denticulatus","3810"
"Low","Anarhichas lupus","2501"
"Low","Anarhichas minor","3811"
"High","Anchoa nasus","1163"
NA,"Anguilla anguilla","35"
"Low","Anguilla anguilla","35"
"High","Anodontostoma chacunda","1619"
"Very low","Anoplopoma fimbria","512"
NA,"Aphanopus carbo","646"
"Low","Aphanopus carbo","646"
"Medium","Aprion virescens","84"
"Medium","Apsilus fuscus","86"
"Medium","Archosargus probatocephalus","441"
"Medium","Arctoscopus japonicus","463"
NA,"Argentina silus","2700"
"Low","Argentina silus","2700"
NA,"Argyrops spinifer","442"
"Low","Argyrosomus japonicus","11979"
"Low","Argyrosomus regius","418"
"High","Ariomma indicum","1300"
"Medium","Arripis trutta","5048"
"Medium","Aspistor quadriscutis","956"
"Low","Atheresthes evermanni","518"
"Low","Atheresthes stomias","517"
"Medium","Atherina boyeri","1696"
"Medium","Atrobucca nibe","941"
"High","Atule mate","1893"
"Medium","Auxis rochei","93"
NA,"Auxis thazard","94"
"Low","Bagre bagre","958"
"Medium","Balistes capriscus","7327"
"Low","Balistes polylepis","4276"
"Medium","Belone belone","47"
"Low","Beryx splendens","1320"
"Medium","Boops boops","203"
"Medium","Boreogadus saida","319"
"Medium","Brachydeuterus auritus","400"
"Low","Brama australis","54793"
"Low","Brama brama","391"
"Medium","Branchiostegus japonicus","4593"
"High","Bregmaceros mcclellandi","8421"
"Medium","Brevoortia patronus","1589"
"High","Brevoortia pectinata","1590"
"Medium","Brevoortia tyrannus","1592"
NA,"Brosme brosme","51"
"Medium","Brosme brosme","51"
"Medium","Brotula barbata","486"
"High","Brotula clarkae","8275"
"Medium","Buglossidium luteum","53"
"Medium","Caesio cuning","919"
"Medium","Callionymus lyra","23"
"Low","Callorhinchus milii","4722"
"Low","Capros aper","54"
"Medium","Carangoides bajad","1923"
"Medium","Carangoides chrysophrys","4441"
"Medium","Caranx crysos","1933"
"Medium","Caranx hippos","71"
"Medium","Caranx ignobilis","1895"
"Low","Caranx latus","1935"
"Medium","Caranx melampygus","1906"
"Medium","Caranx rhonchus","1899"
"Medium","Caranx ruber","1918"
"Medium","Caranx sexfasciatus","1917"
"Very low","Carcharhinus amblyrhynchos","861"
"Low","Carcharhinus falciformis","868"
"Very low","Carcharhinus longimanus","875"
"Low","Carcharhinus melanopterus","877"
"Low","Carcharhinus sorrah","884"
"Low","Carlarius heudelotii","4928"
"Medium","Cathorops spixii","960"
"Low","Caulolatilus princeps","3539"
"Medium","Centroberyx affinis","14129"
"Medium","Centropomus undecimalis","345"
"Medium","Centropristis striata","361"
"Medium","Cephalopholis boenak","6444"
"Medium","Cetengraulis edentulus","547"
"High","Cetengraulis mysticetus","548"
NA,"Cetorhinus maximus","90"
"Very low","Cetorhinus maximus","90"
"Medium","Champsocephalus gunnari","474"
"Low","Chanos chanos","80"
"High","Cheilopogon melanurus","1030"
"Medium","Chelidonichthys cuculus","44"
"Medium","Chelidonichthys kumu","507"
"Low","Chelidonichthys lucerna","1366"
"Medium","Chelon auratus","1735"
"Low","Chiloscyllium arabicum","5901"
"Medium","Chirocentrus dorab","6358"
"Medium","Chirocentrus nudus","1452"
"Medium","Chloroscombrus chrysurus","385"
"High","Chloroscombrus orqueta","1937"
"Medium","Cilus gilberti","26675"
"High","Clupanodon thrissa","1608"
NA,"Clupea harengus","24"
"Low","Clupea harengus","24"
"Medium","Clupea harengus","24"
NA,"Clupea pallasii pallasii","1520"
"Medium","Clupea pallasii pallasii","1520"
"Medium","Clupeonella cultriventris","1470"
"High","Coilia dussumieri","625"
"High","Cololabis saira","303"
"Low","Conger conger","301"
"Medium","Conger myriaster","302"
"High","Congresox talabonoides","11713"
"Medium","Conodon nobilis","401"
"Medium","Coregonus albula","231"
"Low","Coregonus autumnalis","2669"
"Low","Coregonus muksun","12547"
"Medium","Coregonus sardinella","2678"
"High","Coryphaena hippurus","6"
NA,"Coryphaenoides rupestris","332"
"Low","Coryphaenoides rupestris","332"
"High","Cyclopsetta querna","13954"
"Low","Cyclopterus lumpus","62"
"Medium","Cynoglossus canariensis","4948"
"High","Cynoglossus cynoglossus","5456"
"Medium","Cynoglossus monodi","4950"
"Medium","Cynoscion acoupa","1169"
"Medium","Cynoscion analis","403"
"Medium","Cynoscion arenarius","1170"
"Medium","Cynoscion guatucupa","52918"
"High","Cynoscion jamaicensis","1171"
