x,TaxonKey
Acanthopagrus australis Yellowfin bream,608109
Achirus mazatlanus Mazatlan sole,610429
Acipenser oxyrinchus Atlantic sturgeon,602593
Aetomylaeus bovinus Bull ray,605011
Aetomylaeus maculatus Mottled eagle ray,612594
Aetomylaeus nichofii Banded eagle ray,610120
Aldrichetta forsteri Yellow-eye mullet,612938
Alepocephalus rostratus Risso's smooth-head,605071
Allosmerus elongatus Whitebait smelt,602694
Alloteuthis Atlantic common squids,5924834
Alloteuthis media Midsize squid,69140693
Alloteuthis subulata European common squid,6957073
Ammodytes tobianus Small sandeel,600038
Anadara tuberculosa pustulose ark,6947322
Aphanopus Scabbardfishes,500021
Apogon imberbis Cardinal fish,601693
Arbacia lixula Black sea urchin,6949978
Arca noae Noah's ark,6984569
Arca zebra Turkey wing,6947573
Argentina elongata Argentine,613142
Argyrops spinifer King soldier bream,600442
Argyrosomus japonicus Japanese meagre,611979
Arnoglossus imperialis Imperial scaldfish,600042
Arnoglossus kessleri Scaldback,601809
Arnoglossus thori Thor's scaldfish,600043
Atherinopsis californiensis Jack silverside,603236
Atractoscion aequidens Geelbek croaker,600420
Balistes polylepis Finescale triggerfish,604276
Balistes Triggerfish,504755
Bathyraja eatonii Eaton's skate,606948
Bathyraja maccaini McCain's skate,606950
Bathyraja murrayi Murray's skate,606952
Bathysolea profundicola Deepwater sole,608840
Branchiostegus japonicus Horsehead tilefish,604593
Caesio cuning Redbelly yellowtail fusilier,600919
Calappa granulata Shamfaced crab,699318
Callinectes arcuatus Arched swimming crab,6926799
Callinectes marginatus Marbled swimcrab,6926798
Callinectes toxotes Giant swimcrab,6983696
Cancer antennarius California red rock crab,6927122
Carangoides chrysophrys Longnose trevally,604441
Caranx latus Horse-eye jack,601935
Carcharhinus tilstoni Australian blacktip shark,615721
Carlarius heudelotii Smoothmouth sea catfish,604928
Catostylus mosaicus Mosaic sea jelly,6944751
Caulolatilus chrysops Atlantic goldeneye tilefish,600983
Caulolatilus Pacific and Atlantic tilefishes,501615
Centracanthus cirrus Curled picarel,601704
Centrophorus Gulper shark dogfishes,503871
Cepola Bandfish,501989
Cerastoderma glaucum Olive green cockle,6947088
Charybdis feriatus Crucifix crab,6983561
Cheilopogon heterurus Mediterranean flyingfish,601029
Chelidonichthys lastoviza Streaked gurnard,605081
Chelidonichthys Smallscaled gurnards,508565
Chelon auratus Golden grey mullet,601735
Chiloscyllium arabicum Arabian carpetshark,605901
Chiloscyllium punctatum Brownbanded bambooshark,605903
Chionoecetes bairdi Tanner crab,6926935
Chiroteuthis veranii Verany's long-armed squid,6958137
"Chondrichthyes Sharks, rays, chimaeras",200538
Chrysaora plocamia South American sea nettle,6944398
Clupeonella cultriventris Black and Caspian Sea sprat,601470
Coris julis Rainbow wrasse,600058
Crenidens crenidens Karanteen seabream,607931
Cryodraco antarcticus Long-fingered icefish,607111
Cynoglossus cynoglossus Bengal tongue sole,605456
Cynoglossus monodi Guinean tonguesole,604950
Cynoscion stolzmanni Stolzmann's weakfish,611002
Deltentosteus quadrimaculatus Four-spotted goby,616282
Dentex angolensis Angolan dentex,600440
Dermatolepis dermatolepis Leather bass,609185
Diodon hystrix Spotted porcupinefish,601022
Diplodus bellottii Senegal seabream,608062
Donax trunculus Truncate donax,6984579
Doryteuthis gahi Patagonian squid,690296
Doryteuthis opalescens California market squid,690658
Drepane africana African sicklefish,600455
Echelus myrus Painted eel,601713
Elops machnata Tenpounder,605512
Encrasicholina devisi Devis' anchovy,600555
Enoplolambrus validus Strong elbow crab,690914
Epinephelus itajara Atlantic goliath grouper,600016
Epinephelus labriformis Starry grouper,608196
Equulites klunzingeri Klunzinger's ponyfish,627024
Escualosa thoracata White sardine,601522
Etelis carbunculus Deep-water red snapper,600087
Etrumeus whiteheadi Whitehead's round herring,601456
Exocoetus volitans Tropical two-wing flyingfish,601032
Genyagnus monopterygius Spotted stargazer,605321
Gephyroberyx darwinii Darwin's slimehead,604962
Gerres oblongus Slender silver-biddy,605801
Glaucosoma hebraicum West Australian dhufish,614956
Glaucosoma scapulare Pearl perch,614958
Glaucostegus granulatus Granulated guitarfish,608731
Gobius cruentatus Red-mouthed goby,607648
Grammatorcynus bilineatus Double-lined mackerel,600104
Gymnammodytes cicerelus Mediterranean sand eel,601717
Gymnocranius euanus Japanese large-eye bream,601837
Gymnocranius grandoculis Blue-lined large-eye bream,601834
Haemulon steindachneri Chere-chere grunt,601142
Haliotis fulgens Green abalone,692573
