"area_name","rgn_num","rgn_id","rgn_name_2"
"Kenya",404,43,"Kenya"
"Kerguelen Isl. (France)",897,NA,NA
"Kermadec Isl. (New Zealand)",555,NA,NA
"Kiribati (Gilbert Islands)",941,NA,NA
"Kiribati (Line Islands)",942,NA,NA
"Kiribati (Phoenix Islands)",943,NA,NA
"Korea (North, Sea of Japan)",973,NA,NA
"Korea (North, Yellow Sea)",974,NA,NA
"Korea (South)",410,NA,NA
"Kuwait",414,51,"Kuwait"
"Latvia",428,69,"Latvia"
"Lebanon",422,78,"Lebanon"
"Liberia",430,97,"Liberia"
"Libya",434,67,"Libya"
"Lithuania",440,189,"Lithuania"
"Lord Howe Isl. (Australia)",38,NA,NA
"Macquarie Isl. (Australia)",37,NA,NA
"Madagascar",450,42,"Madagascar"
"Madeira Isl. (Portugal)",621,NA,NA
"Malaysia (Peninsula East)",460,NA,NA
"Malaysia (Peninsula West)",459,NA,NA
"Malaysia (Sabah)",461,NA,NA
"Malaysia (Sarawak)",463,NA,NA
"Maldives",462,39,"Maldives"
"Malta",470,68,"Malta"
"Marshall Isl.",584,NA,NA
"Martinique (France)",474,NA,NA
"Mauritania",478,64,"Mauritania"
"Mauritius",480,37,"Mauritius"
"Mayotte (France)",175,NA,NA
"Mexico (Atlantic)",944,NA,NA
"Mexico (Pacific)",945,NA,NA
"Micronesia (Federated States of)",583,NA,NA
"Montenegro",891,186,"Montenegro"
"Montserrat (UK)",500,NA,NA
"Morocco (Central)",946,NA,NA
"Morocco (Mediterranean)",947,NA,NA
"Morocco (South)",948,NA,NA
"Mozambique",508,41,"Mozambique"
"Mozambique Channel Isl. (France)",251,NA,NA
"Myanmar",104,205,"Myanmar"
"Namibia",516,101,"Namibia"
"Nauru",520,10,"Nauru"
"Netherlands",528,177,"Netherlands"
"New Caledonia (France)",540,NA,NA
"New Zealand",554,162,"New Zealand"
"Nicaragua (Caribbean)",949,NA,NA
"Nicaragua (Pacific)",950,NA,NA
"Nigeria",566,196,"Nigeria"
"Niue (New Zealand)",570,NA,NA
"Norfolk Isl. (Australia)",574,NA,NA
"Northern Marianas (USA)",580,NA,NA
"Norway",578,223,"Norway"
"Oman",512,48,"Oman"
"Oman (Musandam)",911,NA,NA
"Pakistan",586,53,"Pakistan"
"Palau",585,8,"Palau"
"Palmyra Atoll & Kingman Reef (USA)",844,NA,NA
"Panama (Caribbean)",951,NA,NA
"Panama (Pacific)",952,NA,NA
"Papua New Guinea",598,17,"Papua New Guinea"
"Peru",604,138,"Peru"
"Philippines",608,15,"Philippines"
"Pitcairn (UK)",612,NA,NA
"Poland",616,178,"Poland"
"Portugal (mainland)",620,NA,NA
"Prince Edward Isl. (South Africa)",711,NA,NA
"Puerto Rico (USA)",630,NA,NA
"Qatar",634,190,"Qatar"
"Réunion (France)",638,NA,NA
"Romania",642,72,"Romania"
"Russia (Baltic Sea)",648,NA,NA
"Russia (Barents Sea)",645,NA,NA
"Russia (Black Sea)",647,NA,NA
"Russia (Far East)",649,NA,NA
"Russia (Kara Sea)",912,NA,NA
"Russia (Laptev to Chukchi Sea)",913,NA,NA
"Saba and Sint Eustatius (Netherlands)",908,NA,NA
"Saint Helena (UK)",654,NA,NA
"Saint Kitts & Nevis",659,NA,NA
"Saint Lucia",662,122,"Saint Lucia"
"Saint Pierre & Miquelon (France)",666,NA,NA
"Saint Vincent & the Grenadines",670,NA,NA
"Samoa",882,152,"Samoa"
"Sao Tome & Principe",678,NA,NA
"Sardinia (Italy)",902,NA,NA
"Saudi Arabia (Persian Gulf)",684,NA,NA
"Saudi Arabia (Red Sea)",683,NA,NA
"Senegal",686,66,"Senegal"
"Seychelles",690,31,"Seychelles"
"Sicily (Italy)",901,NA,NA
"Sierra Leone",694,96,"Sierra Leone"
"Singapore",702,208,"Singapore"
"Sint Maarten (Netherlands)",909,NA,NA
"Slovenia",705,188,"Slovenia"
"Solomon Isl.",90,NA,NA
"Somalia",706,44,"Somalia"
"South Africa (Atlantic and Cape)",953,NA,NA
"South Africa (Indian Ocean Coast)",954,NA,NA
"South Georgia & Sandwich Isl. (UK)",239,NA,NA
"South Orkney Islands (UK)",910,NA,NA
"Spain (mainland, Med and Gulf of Cadiz)",962,NA,NA
"Spain (Northwest)",963,NA,NA
"Sri Lanka",144,40,"Sri Lanka"
"St Barthelemy (France)",904,NA,NA
"St Martin (France)",905,NA,NA
"St Paul & Amsterdam Isl. (France)",895,NA,NA
"St Paul and St. Peter Archipelago (Brazil)",970,NA,NA
"Sudan",736,49,"Sudan"
"Suriname",740,168,"Suriname"
"Svalbard Isl. (Norway)",744,NA,NA
"Sweden (Baltic)",914,NA,NA
"Sweden (West Coast)",915,NA,NA
"Syria",760,77,"Syria"
"Taiwan",157,14,"Taiwan"
"Tanzania",834,202,"Tanzania"
"Thailand (Andaman Sea)",956,NA,NA
"Thailand (Gulf of Thailand)",957,NA,NA
"Timor Leste",626,NA,NA
"Togo",768,98,"Togo"
"Tokelau (New Zealand)",772,NA,NA
"Tonga",776,155,"Tonga"
"Trindade & Martim Vaz Isl. (Brazil)",77,NA,NA
"Trinidad & Tobago",780,NA,NA
"Tristan da Cunha Isl. (UK)",856,NA,NA
"Tromelin Isl. (France)",252,NA,NA
"Tunisia",788,61,"Tunisia"
"Turkey (Black Sea)",794,NA,NA
"Turkey (Marmara Sea)",966,NA,NA
"Turkey (Mediterranean Sea)",793,NA,NA
"Turks & Caicos Isl. (UK)",796,NA,NA
"Tuvalu",798,19,"Tuvalu"
"Ukraine",804,75,"Ukraine"
"United Arab Emirates",784,54,"United Arab Emirates"
"United Arab Emirates (Fujairah)",968,NA,NA
"United Kingdom (UK)",826,NA,NA
"Uruguay",858,173,"Uruguay"
"US Virgin Isl.",850,NA,NA
"USA (Alaska, Arctic)",958,NA,NA
"USA (Alaska, Subarctic)",959,NA,NA
"USA (East Coast)",851,NA,NA
"USA (Gulf of Mexico)",852,NA,NA
"USA (West Coast)",848,NA,NA
"Vanuatu",548,6,"Vanuatu"
"Venezuela",862,139,"Venezuela"
"Viet Nam",704,NA,NA
"Wake Isl. (USA)",872,NA,NA
"Wallis & Futuna Isl. (France)",876,NA,NA
"Yemen (Arabian Sea)",917,NA,NA
"Yemen (Red Sea)",916,NA,NA
