"TaxonKey","TaxonName","CommonName","stock"
100000,"Marine animals","Marine animals","Marine animals Marine animals"
100035,"Clupeoids","Herrings sardines anchovies","Clupeoids Herrings sardines anchovies"
100036,"Scombroids","Tunas bonitos billfishes","Scombroids Tunas bonitos billfishes"
100038,"Sharks rays chimaeras","Sharks rays skates etc","Sharks rays chimaeras Sharks rays skates etc"
100043,"Homaridae/Palinuridae","Lobsters spiny-rock lobsters","Homaridae/Palinuridae Lobsters spiny-rock lobsters"
100044,"King crabs squat-lobsters","Craylets squat lobsters","King crabs squat-lobsters Craylets squat lobsters"
100056,"Clams cockles arkshells","Clams cockles arkshells","Clams cockles arkshells Clams cockles arkshells"
100058,"Miscellaneous marine molluscs","Marine molluscs","Miscellaneous marine molluscs Marine molluscs"
100176,"Starfish and other echinoderms","Starfishes","Starfish and other echinoderms Starfishes"
100276,"Sea-urchins and other echinoderms","Sea urchins","Sea-urchins and other echinoderms Sea urchins"
100338,"Sharks rays chimaeras","Cartilaginous fishes","Sharks rays chimaeras Cartilaginous fishes"
100345,"Shrimps prawns","Natantian decapods","Shrimps prawns Natantian decapods"
100538,"Sharks rays chimaeras","Various sharks","Sharks rays chimaeras Various sharks"
290004,"Bivalvia","Clams","Bivalvia Clams"
290005,"Ascidiacea","Sea squirts","Ascidiacea Sea squirts"
290010,"Asteroidea","Sea stars","Asteroidea Sea stars"
290012,"Holothuroidea","Sea cucumbers","Holothuroidea Sea cucumbers"
300003,"Chimaeriformes","Chimaeras","Chimaeriformes Chimaeras"
300007,"Lamniformes","Mackerel sharks","Lamniformes Mackerel sharks"
300008,"Carcharhiniformes","Ground sharks","Carcharhiniformes Ground sharks"
300014,"Rajiformes","Skates and rays","Rajiformes Skates and rays"
300044,"Gadiformes","Cods","Gadiformes Cods"
300060,"Perciformes","Perch-likes","Perciformes Perch-likes"
300061,"Pleuronectiformes","Flatfishes","Pleuronectiformes Flatfishes"
390002,"Teuthida","Squids","Teuthida Squids"
390017,"Stomatopoda","Mantis shrimps","Stomatopoda Mantis shrimps"
400002,"Myxinidae","Hagfishes","Myxinidae Hagfishes"
