"rgn_id","fao_id","RAM_area_m2","stockid","stocklong"
1,57,22190928463,"SBT","Southern bluefin tuna Southern Oceans"
1,57,467246000000,"ALBAIO","Albacore tuna Indian Ocean"
1,57,467246000000,"BIGEYEIO","Bigeye tuna Indian Ocean"
1,57,467246000000,"BLKMARLINIO","Black marlin Indian Ocean"
1,57,467246000000,"BMARLINIO","Indo-Pacific blue marlin Indian Ocean"
1,57,467246000000,"SKJCIO","Skipjack tuna Indian Ocean"
1,57,467246000000,"STMARLINIO","Striped marlin Indian Ocean"
1,57,467246000000,"SWORDIO","Swordfish Indian Ocean"
1,57,467246000000,"YFINEIO","Yellowfin tuna Indian Ocean"
2,57,328011000000,"SBT","Southern bluefin tuna Southern Oceans"
2,57,328011000000,"ALBAIO","Albacore tuna Indian Ocean"
2,57,328011000000,"BIGEYEIO","Bigeye tuna Indian Ocean"
2,57,328011000000,"BLKMARLINIO","Black marlin Indian Ocean"
2,57,328011000000,"BMARLINIO","Indo-Pacific blue marlin Indian Ocean"
2,57,328011000000,"SKJCIO","Skipjack tuna Indian Ocean"
2,57,328011000000,"STMARLINIO","Striped marlin Indian Ocean"
2,57,328011000000,"SWORDIO","Swordfish Indian Ocean"
2,57,328011000000,"YFINEIO","Yellowfin tuna Indian Ocean"
3,81,281681000000,"SBT","Southern bluefin tuna Southern Oceans"
3,81,431062000000,"BMARLINPAC","Blue marlin Pacific Ocean"
3,81,431062000000,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
3,81,144076461,"HOKIWNZ","Hoki Western New Zealand"
3,81,144076860.9,"BNSNZ","Bluenose New Zealand"
3,81,144076461,"NZSNAPNZ8","New Zealand snapper New Zealand Area 8"
3,81,144076461,"GEMFISHNZ","common gemfish New Zealand"
3,81,431062000000,"ALBASPAC","Albacore tuna South Pacific Ocean"
3,81,431062000000,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
3,81,431062000000,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
3,81,431062000000,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
4,81,31989999752,"SBT","Southern bluefin tuna Southern Oceans"
4,81,475572000000,"PTOOTHFISHMI","Patagonian toothfish Macquarie Island"
5,71,1275670000000,"BMARLINPAC","Blue marlin Pacific Ocean"
5,71,1275670000000,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
5,71,1275670000000,"ALBASPAC","Albacore tuna South Pacific Ocean"
5,71,1275670000000,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
5,71,562826000000,"SKJCWPAC","Skipjack tuna Central Western Pacific"
5,71,1275670000000,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
5,71,1275670000000,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
5,81,93728142960,"BMARLINPAC","Blue marlin Pacific Ocean"
5,81,93728142960,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
5,81,93728142960,"ALBASPAC","Albacore tuna South Pacific Ocean"
5,81,93728142960,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
5,81,93728142960,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
5,81,93728142960,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
6,71,618924000000,"BMARLINPAC","Blue marlin Pacific Ocean"
