x
Bathysaurus ferox Deep-sea lizardfish
Benthosema glaciale Glacier lantern fish
Charybdis hellerii Spiny hands
Eubleekeria splendens Splendid ponyfish
Evibacus princeps Shield fan lobster
Gobius paganellus Rock goby
Guentherus altivela Jellynose
Ixa monodi Red Sea pebble crab
Microchirus ocellatus Foureyed sole
Nematocarcinus africanus African spider shrimp
Ophichthus rufus Rufus snake-eel
Ophidion barbatum Snake blenny
Palaemon elegans Rockpool prawn
Pegusa impar Adriatic sole
Portunus xantusii Xantus swimcrab
Serranus hepatus Brown comber
Sicyonia carinata Mediterranean rock shrimp
Sicyonia disdorsalis Keeled rock shrimp
Squilla panamensis Panama mantis shrimp
Squilla parva Small mantis shrimp
Stomias affinis Gunther's boafish
Trachinus radiatus Starry weever
Acanthopagrus australis Yellowfin bream
Achirus mazatlanus Mazatlan sole
Acipenser oxyrinchus Atlantic sturgeon
Aetomylaeus bovinus Bull ray
Aetomylaeus maculatus Mottled eagle ray
Aetomylaeus nichofii Banded eagle ray
Aldrichetta forsteri Yellow-eye mullet
Alepocephalus rostratus Risso's smooth-head
Allosmerus elongatus Whitebait smelt
Alloteuthis Atlantic common squids
Alloteuthis media Midsize squid
Alloteuthis subulata European common squid
Ammodytes tobianus Small sandeel
Anadara tuberculosa pustulose ark
Aphanopus Scabbardfishes
Apogon imberbis Cardinal fish
Arbacia lixula Black sea urchin
Arca noae Noah's ark
Arca zebra Turkey wing
Argentina elongata Argentine
Argyrops spinifer King soldier bream
Argyrosomus japonicus Japanese meagre
Arnoglossus imperialis Imperial scaldfish
Arnoglossus kessleri Scaldback
Arnoglossus thori Thor's scaldfish
Atherinopsis californiensis Jack silverside
Atractoscion aequidens Geelbek croaker
Balistes polylepis Finescale triggerfish
Balistes Triggerfish
Bathyraja eatonii Eaton's skate
Bathyraja maccaini McCain's skate
Bathyraja murrayi Murray's skate
Bathysolea profundicola Deepwater sole
Branchiostegus japonicus Horsehead tilefish
Caesio cuning Redbelly yellowtail fusilier
Calappa granulata Shamfaced crab
Callinectes arcuatus Arched swimming crab
Callinectes marginatus Marbled swimcrab
Callinectes toxotes Giant swimcrab
Cancer antennarius California red rock crab
Carangoides chrysophrys Longnose trevally
Caranx latus Horse-eye jack
Carcharhinus tilstoni Australian blacktip shark
Carlarius heudelotii Smoothmouth sea catfish
Catostylus mosaicus Mosaic sea jelly
Caulolatilus chrysops Atlantic goldeneye tilefish
Caulolatilus Pacific and Atlantic tilefishes
Centracanthus cirrus Curled picarel
Centrophorus Gulper shark dogfishes
Cepola Bandfish
Cerastoderma glaucum Olive green cockle
Charybdis feriatus Crucifix crab
Cheilopogon heterurus Mediterranean flyingfish
Chelidonichthys lastoviza Streaked gurnard
Chelidonichthys Smallscaled gurnards
Chelon auratus Golden grey mullet
Chiloscyllium arabicum Arabian carpetshark
Chiloscyllium punctatum Brownbanded bambooshark
Chionoecetes bairdi Tanner crab
Chiroteuthis veranii Verany's long-armed squid
"Chondrichthyes Sharks, rays, chimaeras"
Chrysaora plocamia South American sea nettle
Clupeonella cultriventris Black and Caspian Sea sprat
Coris julis Rainbow wrasse
Crenidens crenidens Karanteen seabream
Cryodraco antarcticus Long-fingered icefish
Cynoglossus cynoglossus Bengal tongue sole
Cynoglossus monodi Guinean tonguesole
Cynoscion stolzmanni Stolzmann's weakfish
Deltentosteus quadrimaculatus Four-spotted goby
Dentex angolensis Angolan dentex
Dermatolepis dermatolepis Leather bass
Diodon hystrix Spotted porcupinefish
Diplodus bellottii Senegal seabream
Donax trunculus Truncate donax
Doryteuthis gahi Patagonian squid
Doryteuthis opalescens California market squid
Drepane africana African sicklefish
Echelus myrus Painted eel
Elops machnata Tenpounder
Encrasicholina devisi Devis' anchovy
Enoplolambrus validus Strong elbow crab
Epinephelus itajara Atlantic goliath grouper
Epinephelus labriformis Starry grouper
Equulites klunzingeri Klunzinger's ponyfish
Escualosa thoracata White sardine
Etelis carbunculus Deep-water red snapper
Etrumeus whiteheadi Whitehead's round herring
Exocoetus volitans Tropical two-wing flyingfish
Genyagnus monopterygius Spotted stargazer
Gephyroberyx darwinii Darwin's slimehead
Gerres oblongus Slender silver-biddy
Glaucosoma hebraicum West Australian dhufish
Glaucosoma scapulare Pearl perch
Glaucostegus granulatus Granulated guitarfish
Gobius cruentatus Red-mouthed goby
Grammatorcynus bilineatus Double-lined mackerel
Gymnammodytes cicerelus Mediterranean sand eel
Gymnocranius euanus Japanese large-eye bream
Gymnocranius grandoculis Blue-lined large-eye bream
Haemulon steindachneri Chere-chere grunt
Haliotis fulgens Green abalone
Harpadon nehereus Bombay-duck
Harriotta raleighana Pacific longnose chimaera
Helicolenus percoides Red gurnard perch
Hexagrammos otakii Fat grrenling
Hexaplex trunculus Banded dye-murex
Himantura uarnak Honeycomb stingray
Hirundichthys rondeletii Black wing flyingfish
Holothuria leucospilota White threads fish
Hypoptychus dybowskii Korean sandlance
Illex Shortfin squid
Jacquinotia edwardsi Southern spider crab
Kyphosus cinerascens Blue sea chub
Labrus Wrasse
Lampanyctodes hectoris Hector's lanternfish
Lateolabrax japonicus Japanese seabass
Latris lineata Striped trumpeter
Leiognathus berbis Berbis ponyfish
Lepidorhombus boscii Four-spot megrim
Leptomelanosoma indicum Indian threadfin
Lethrinus laticaudis Grass emperor
Leukoma staminea Pacific littleneck clam
Liocarcinus Flying and swimcrabs
Liza klunzingeri Klunzinger's mullet
Lunarca ovalis Oval blood ark
Lutjanus johnii John's snapper
Lutjanus monostigma One-spot snapper
Megastraea undosa Wavy turban
Melicertus canaliculatus Witch prawn
Melicertus plebejus Eastern king prawn
Menticirrhus saxatilis Northern kingfish
Merlucciidae Merluccid hakes
Mesocentrotus franciscanus red sea urchin
Metacarcinus magister Dungeness crab
Metapenaeus affinis Jinga shrimp
Metapenaeus brevicornis Yellow shrimp
Metapenaeus tenuipes Stork shrimp
