RAM_species,SAUP_species
Ammodytes spp,Ammodytes
Bathyraja parmifera,NA
Caulolatilus microps,NA
Centroberyx gerrardi,NA
Chrysophrys auratus,Pagrus auratus
Cleisthenes herzensteini,NA
Eopsetta grigorjewi,NA
Epinephelus flavolimbatus,NA
Epinephelus niveatus,Hyporthodus niveatus
Etrumeus teres,NA
Haliotis iris,Haliotis
Hexagrammos decagrammus,NA
Lepidopsetta polyxystra,NA
Lepidorhombus spp,Lepidorhombus
Loligo pealeii,NA
Loligo reynaudii,Loligo vulgaris
Merluccius gayi,Merluccius gayi gayi
Merluccius paradoxus,NA
Merluccius spp,Merluccius
Neoplatycephalus richardsoni,NA
Penaeus esculentus,NA
Platycephalus conatus,NA
Sardinops melanostictus,Sardinops sagax
Scorpaena guttata,NA
Sebastes aleutianus,NA
Sebastes auriculatus,NA
Sebastes aurora,NA
Sebastes caurinus,NA
Sebastes chlorostictus,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes fasciatus,Sebastes viviparus
Sebastes levis,NA
Sebastes melanostomus,NA
Sebastes nebulosus,NA
Sebastes polyspinis,NA
Sebastes proriger,NA
Sebastes ruberrimus,NA
Sebastes spp,Sebastes viviparus
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Sebastolobus macrochir,NA
Seriola quinqueradiata,NA
Sillago flindersi,NA
Takifugu rubripes,NA
Tanakius kitaharae,NA
Tetrapturus albidus,Tetrapturus albidus
