name,identifier,spp_count,version
Western Africa,western_africa,965,2024-1
Pan-Africa,pan-africa,5061,2024-1
Northern Africa,northern_africa,354,2024-1
Northeastern Africa,northeastern_africa,303,2024-1
Eastern Africa,eastern_africa,1573,2024-1
Central Africa,central_africa,1948,2024-1
Southern Africa,southern_africa,803,2024-1
Mediterranean,mediterranean,5145,2024-1
Europe,europe,16357,2024-1
