name,identifier,spp_count,version
Northeastern Africa,northeastern_africa,305,2020-3
Eastern Africa,eastern_africa,1597,2020-3
Western Africa,western_africa,966,2020-3
Northern Africa,northern_africa,359,2020-3
Central Africa,central_africa,1949,2020-3
Pan-Africa,pan-africa,5089,2020-3
Southern Africa,southern_africa,801,2020-3
Mediterranean,mediterranean,4794,2020-3
Europe,europe,15266,2020-3
