iucn_sid,poly_range_km2
907,136669.365
908,354972.834
1086,4724.888
2467,3232248.01
2474,136060676.847
2475,168762748.491
2476,225096725.987
2477,207908026.9
2478,194660377.714
2480,171661499.705
2636,1433661.52
2762,104013511.971
2763,22589548.954
3764,71258.028
3778,72347636.066
3851,9993755.378
3852,13957199.054
3853,8381107.901
3854,8017583.412
3855,200289417.847
3897,153530878.972
3898,241334.84
4131,34849.599
4159,339803.304
4161,144991.014
4162,70759.484
4292,223337466.533
4360,95810.044
4361,37653.521
4362,303933.982
4363,30482.498
4364,853754.053
4615,177186727.785
4982,8743.402
5269,20913.853
5270,5433.175
5272,1085.877
5273,35344.13
5325,1656.132
5659,1466956.176
5668,1209974.491
6229,6914955.676
6335,9691441.876
6494,86040056.275
6814,14422147.155
6909,6183832.035
7778,775549.223
7854,717008.86
7855,670774.526
7858,20438326.036
7859,4718680.075
7860,1692062.68
7861,3114078.236
7862,2623033.236
8005,307329877.134
8097,2187311.173
8153,86853023.869
8551,208135368.89
9249,228614868.975
9250,133046654.154
9461,236390599.362
10030,9871492.565
10056,302.544
10057,988114.306
10060,7277031.226
10063,659108.342
10064,524144.823
10065,478166.247
10066,15824272.43
10069,3350295.851
10070,14550832.914
10072,1443116.525
10074,584367.447
10077,77918.101
10082,3198649.413
10083,9810.483
10087,13330020.337
10088,129016.982
10089,750057.169
10707,24421371.058
10708,91323410.685
10939,186243.7
11047,254489752.267
11048,238621966.741
11130,3355619.267
11140,176015521.717
11141,10327851.4
11142,12456550.698
11143,1670845.78
11144,62373335.804
11145,15292544.631
11146,4206397.523
11150,9766166.368
11200,107235788.565
11533,11322428.292
11534,79913232.515
12125,10431934.397
12126,86196027.178
12137,227633.352
12695,116194.195
13006,137032543.049
13241,14473718.684
13244,241514340.357
13245,45912565.478
13247,92510252.106
13249,86986565.822
13250,36413346.194
13251,21976519.153
13252,7768774.438
13704,3473855.211
14048,284494.158
14049,301343.988
14050,1038713.117
14051,235979.646
14052,234611.58
14053,293400.133
14054,1550318.571
15421,129501677.749
15873,5292541.74
16503,253953.467
16564,176155488.408
17027,10213239.863
17028,8408.12
17029,951513.639
17032,21517116.678
17096,509220.737
17177,726032.964
17978,281119.102
18374,19457.425
18596,194599621.058
19488,171596283.689
19950,2302317.967
20047,285011.502
20314,185618.839
20315,3617910.09
20316,2429843.572
20317,48814.978
20318,680381.814
20729,209877065.751
20730,29669470.479
20731,252079685.634
20732,48546485.905
20733,197673167.375
20738,209507959.705
21257,2178271.172
21341,2055419.445
21342,1208010.321
21343,1681437.44
21500,57116074.178
21689,34849.599
21856,198892458.957
21857,210133369.583
21858,66269270.942
21859,219148072.203
21860,34523950.373
21994,3437157.948
22563,254238789.227
23148,268008182.596
23211,291692193.058
31382,6767371.904
33705,5371204.662
34364,3910095.869
39303,2369744.267
39324,4487893.604
39327,822195.94
39328,735119.321
39329,411932.033
39331,580736.423
39332,1765792.26
39333,479638.902
39334,1324887.048
39335,154612.432
39336,4358123.977
39337,154057577.739
39338,201492782.272
39339,18051420.725
39341,222991009.818
39342,31316460.229
39345,61581.363
39346,4262.549
39347,1088584.226
39348,43807.062
39349,303249.29
39350,246844.875
39351,782213.016
39352,5756182.085
39353,64885.433
39354,3881090.615
39355,848655.8
39356,816596.463
39357,1425045.625
39358,1701123.588
39359,2679555.395
39360,9668.578
39361,4834.536
39362,19509.22
39363,534576.395
39365,5939665.181
39366,4128512.949
39367,80734.146
39368,6230602.329
39369,1572173.759
39370,175677690.371
39371,527936.358
39372,9018406.081
39374,201875779.573
39375,5899794.757
39378,30121855.138
39379,238207.238
39380,2165480.948
39381,282702637.464
39382,1243057.089
39384,7786226.608
39385,31181693.392
39386,31444173.45
39387,1879082.268
39388,17880659.239
39389,4155331.393
39390,2305404.525
39393,3619152.647
39394,522767.731
39396,429934.165
39399,5249318.709
39400,598780.869
39413,12963819.769
39414,115173.134
39416,534343.292
39771,578245.318
39773,12976639.267
39774,10978218.986
40635,107042398.734
40715,10866335.26
40773,74833.467
40797,3013963.875
40802,2156923.398
41006,3024641.97
41007,836845.766
41008,2600818.853
41009,191186.149
41010,12368650.127
41030,5561.126
41064,498760.137
41670,8048433.422
41671,9513331.132
41711,5990003.221
41712,16181808.719
41714,21799196.364
41715,36181118.961
41716,7846133.387
41718,202730.063
41719,1275143.867
41720,137538.8
41721,12501.321
41722,406186.473
41723,473400.276
41724,490728.446
41725,294798.93
41726,213001.777
41727,809446.922
41728,137011.608
41729,519038.101
41730,2307607.531
41731,171220.269
41732,85770.452
41733,410308.767
41735,1382652.498
41736,5793116.26
41737,5893650.039
41738,1200300.713
41739,1487187.746
41740,25936.328
41741,3017713.909
41743,1188840.28
41745,1028076.587
41746,820702.352
41747,10919038.13
41749,3769529.548
41752,790603.715
41753,702176.844
41755,135354593.396
41759,2328162.388
41791,3350854.219
41792,709270.883
41793,15013.824
41794,3644682.261
41795,38946.386
41797,591270.185
41798,3583830.161
41799,683120.633
41800,810169.784
41801,4527557.363
41802,1884448.606
41804,44997.662
41805,52796.524
41806,553123.994
41807,376491.213
41808,124345.978
41809,55264.969
41810,9607300.886
41811,1248925.214
41812,281631.064
41814,505755.332
41816,3029324.492
41818,2857413.596
41819,1269.845
41820,1447893.453
41821,276239.109
41822,194325.07
41823,10589446.271
41824,106877.391
41825,1341430.366
41826,1380547.596
41827,659127.612
41828,1078959.488
41829,2175856.075
41830,2127602.469
41831,5219752.176
41832,2776020.502
41835,4753666.866
41836,5391981.74
41837,890417.494
41838,360275.968
41839,581445.785
41840,1191598.969
41841,127259.002
41842,643198.444
41843,32215.671
41844,642376.734
41845,129020.297
41846,540963.929
41848,5182340.986
41850,7178991.375
41851,1361777.563
41852,1718601.89
41853,4194844.477
41854,618292.508
41855,843941.047
41856,534686.848
41857,1362144.466
41858,2522544.403
41860,3854.353
41861,16032.731
41862,779715.174
41863,382563.472
41864,449219.074
41866,115864.102
41870,17427.056
41871,3981702.978
41872,7418433.8
41873,1421202.136
41874,9208371.723
41875,125181.834
41876,7834328.072
41880,235777.645
42700,5236569.703
42701,586890.682
42703,10172.309
42704,855072.048
42706,366611.831
42707,316100.411
42709,18310.156
42710,165665.191
42711,198351.231
42712,205430.498
42713,472935.271
42716,202130.293
42717,222315.151
42718,6064.409
42720,281938.397
42721,543884.601
42722,281594.152
42723,311043.072
42725,493964.795
42726,410557.682
42727,362749.827
42728,419580.995
42729,613699.368
42730,16970.507
42838,439268.399
43974,1345674.579
44170,778219.776
44171,14129.193
44183,1265571.044
44186,751330.995
44205,61246.638
44206,6311.797
44207,467486.462
44209,1130353.827
44210,47702.696
44211,10462.464
44212,63526.497
44214,5538.246
44215,435477.295
44216,1068925.351
44217,2520304.833
44218,55134.024
44219,261975.756
44221,124884.838
44222,767207.029
44223,647112.165
44224,191850.785
44225,1081366.377
44226,535167.329
44227,8914.279
44228,48457.299
44229,8127.923
44514,380831.902
44515,33863.763
44563,35271.627
44564,217.943
44565,2214736.503
44566,4890041.871
44567,15877.706
44568,129221.13
44570,110369.509
44571,183188.185
44572,20069.517
44573,101764.266
44574,247.25
44575,661911.349
44577,6055.132
44578,34525.841
44579,12741.868
44580,123859.914
44581,460576.021
44582,423491.057
44583,819808.546
44584,46061.869
44585,10000.571
44586,70910.761
44587,89716.431
44590,7092.518
44591,188252.81
44592,864881.522
44595,510681.242
44596,36159.006
44597,1094815.861
44598,230298.92
44599,28618.793
44600,7346.898
44601,8574.001
44602,103548.92
44603,233555.652
44604,51.403
44606,121804.348
44607,19967.788
44608,17196.356
44609,229290.243
44610,8308.97
44611,45125.23
44612,81239.051
44613,92049.251
44614,134336.043
44615,125229.836
44617,90749.206
44618,263993.802
44619,880885.123
44620,143851.982
44621,414341.416
44639,299344.011
44641,950651.181
44642,479106.845
44643,2003.962
44644,216495.133
44645,25735.037
44647,100961.268
44649,330062.186
44650,897720.907
44651,555608.074
44652,157366.889
44653,84261.787
44654,67883.289
44655,48291.04
44656,22592.535
44657,109352.174
44666,626529.905
44671,204947.836
44672,1364515.966
44673,16382449.459
44674,14288819.865
44675,412794.982
44676,129407.437
44677,158843.9
44678,201538.934
44681,3258885.568
44682,2984141.376
44683,3530050.683
44684,9874312.548
44686,585821.268
44993,1066642.045
44996,1483257.481
45925,107815.609
46864,2697977.888
46865,962199.986
60080,122343.147
60081,146002.885
60082,116284.531
60083,76592.368
60084,43993.645
60085,49887.481
60087,237610.291
60088,416189.65
60089,45642.138
60090,111139.058
60091,37221.358
60092,200589.603
60093,229216.502
60094,149399.764
60097,18166.164
60098,2811.223
60099,57879.004
60100,38374.83
60101,41329.725
60102,437307.604
60103,31884.846
60104,35586.31
60105,394259.484
60106,150776.043
60107,57050.553
60108,968785.493
60109,791782.882
60110,18213.673
60111,1189113.603
60112,385342.22
60113,1358848.87
60116,43075.654
60117,3332588.433
60118,5183.766
60120,866539.716
60121,5655149.478
60123,27620.612
60124,411746.068
60125,103685.855
60126,7028.151
60127,1064142.657
60128,1422570.735
60129,1954596.566
60130,140078.631
60131,10600.2
60132,270737.528
60135,824558.825
60136,709335.693
60138,260619.47
60139,2351085.654
60140,5102379.933
60141,82812.501
60142,144535.382
60143,373851.477
60144,1330604.486
60145,1233329.508
60146,4068477.345
60147,370019.183
60148,950644.273
60150,522244.451
60151,40279.169
60152,197445.502
60153,104748.102
60154,276081.586
60155,7769.082
60156,187946.865
60157,118767.246
60158,292361.477
60159,1182017.598
60161,669136.872
60162,12682724.302
60163,31056.484
60164,892.143
60166,685736.757
60167,169389.537
60168,73929.88
60169,6308.064
60170,278339.709
60171,432101.509
60172,259496.724
60175,1293706.031
60176,5864.21
60177,419952.614
60178,176221.946
60179,3306.455
60180,126142.069
60181,17239.733
60182,275026.296
60183,99181.239
60184,1621.018
60185,872043.293
60186,58118.029
60187,2420852.681
60188,139431.126
60189,383161.148
60190,374772.445
60191,905440.694
60193,197816.581
60194,151884.521
60196,74175.859
60197,1269202.323
60198,9516953.198
60199,205118890.878
60200,192890103.986
60201,1036418.892
60202,720095.385
60203,979124.383
60204,1370959.182
60205,16666.604
60206,104820.404
60208,75151.516
60209,457262.565
60210,230219207.812
60211,241696.911
60212,576738.862
60213,9169103.352
60214,1117086.869
60215,4170170.458
60217,2311061.386
60218,188330.383
60219,3259846.319
60225,186582964.802
60226,20796.482
60227,880739.802
60228,36319.163
60229,1442.2
60231,771459.579
60232,46870.84
60233,355999.122
60234,239836.037
60235,89389.365
60236,3267330.435
60237,192205.547
60238,258.927
60239,182829.293
60240,2962.799
60241,137730.932
60242,2101667.94
60243,39505.138
60244,76615.766
60245,555449.785
60246,206097.529
60247,299821.392
61207,4642866.523
61314,27229.255
61336,1715738.364
61337,638485.064
61338,15262318.218
61339,16995088.08
61398,552468.744
61400,136848.772
61401,8989.022
61402,52444.996
61403,117170.041
61404,320798.929
61405,306690.232
61406,248669.865
61407,1790747.175
61408,3271658.531
61416,960642.322
61417,867546.395
61418,1102330.651
61419,505847.696
61743,516046.632
62256,2373393.855
63100,1778582.509
63101,461487.397
63102,1151621.363
63103,974001.33
63104,1302595.098
63106,516489.493
63107,1399647.171
63108,3599756.345
63109,649139.759
63110,738204.158
63111,1058332.979
63112,33184.777
63113,1255378.678
63114,1878979.369
63115,4651.791
63116,1176521.125
63117,846527.529
63119,10336447.724
63120,1518794.431
63121,567045.181
63122,893282.011
63123,1942654.812
63124,51435.515
63125,201210.482
63126,1133296.508
63127,2871520.381
63128,28044.749
63129,64389.639
63130,69460.617
63131,971245.034
63133,2453.224
63135,17710.941
63137,65704.374
63140,102110.065
63141,2218479.713
63142,1463740.575
63143,650793.61
63144,1115234.036
63145,499716.947
63146,2468597.77
63148,82995.609
63149,44777.732
63151,5690.418
63153,1684271.398
63154,6316.363
63155,109190.135
63156,1236.559
63157,184227.598
63158,63396.373
63159,2902.427
63160,3313.951
63161,105725.374
63162,44.752
63164,920.072
63165,492474.906
63166,4387.531
63167,11575.105
63571,14366816.25
63852,50539.369
64397,59314.089
64398,170014.721
64399,9523.531
64400,2446462.332
64401,270327.351
64402,137193.188
64404,8751.862
64405,8681.001
64406,430096.492
64407,1197422.465
64408,339279.11
64409,537567.127
64410,3382463.823
64411,10583329.149
64412,14117763.989
64442,354.413
132722,2518502.117
132723,10082212.427
132724,3552781.603
132725,9611838.479
132726,3872323.733
132727,3483550.742
132728,728043.195
132729,1251246.72
132730,1108638.769
132731,3621179.285
132732,16564504.842
