"db","query","family"
"itis","Abalones",NA
"itis","American bull frog",NA
"itis","American cupped oyster",NA
"itis","Anadara clams",NA
"itis","Aquatic invertebrates",NA
"itis","Aquatic plants",NA
"itis","Australian mussel",NA
"itis","Babberlocks",NA
"itis","Banded carpet shell",NA
"itis","Barramundi",NA
"itis","Bastard halibuts",NA
"itis","Bear paw clam",NA
"itis","Beluga",NA
"itis","Big-scale sand smelt",NA
"itis","Black ark",NA
"itis","Black catfishes",NA
"itis","Black seabass",NA
"itis","Blackhead seabream",NA
"itis","Blacklip abalone",NA
"itis","Blacklip pearl oyster",NA
"itis","Blackspot seabream",NA
"itis","Blood cockle",NA
"itis","Blue swimming crab",NA
"itis","Bluespotted seabream",NA
"itis","Bright green nori",NA
"itis","Brine shrimp",NA
"itis","Broad geloina",NA
"itis","Brown meagre",NA
"itis","Brown seaweeds",NA
"itis","Butter clam",NA
"itis","Callinectes swimcrabs",NA
"itis","Carpet shells",NA
"itis","Caulerpa seaweeds",NA
"itis","Chilean flat oyster",NA
"itis","Cholga mussel",NA
"itis","Chondracanthus chamissoi",NA
"itis","Choro mussel",NA
"itis","Clams, etc.",NA
"itis","Coarse seagrape",NA
"itis","Cockles",NA
"itis","Common cuttlefish",NA
"itis","Common dentex",NA
"itis","Common edible cockle",NA
"itis","Common pandora",NA
"itis","Common sole",NA
"itis","Common two-banded seabream",NA
"itis","Constricted tagelus",NA
"itis","Cortez oyster",NA
"itis","Crimson seabream",NA
"itis","Croakers, drums",NA
"itis","Crocus giant clam",NA
"itis","Cupped oysters",NA
"itis","Cyprinids",NA
"itis","Dark green nori",NA
"itis","Diphos sanguin",NA
"itis","Donax clams",NA
"itis","Dotted gizzard shad",NA
"itis","Dulse",NA
"itis","Elkhorn sea moss",NA
"itis","Elongate giant clam",NA
"itis","Emperor red snapper",NA
"itis","Eucheuma seaweeds",NA
"itis","European flat oyster",NA
"itis","European whitefish",NA
"itis","False abalone",NA
"itis","Filefishes, leatherjackets",NA
"itis","Flat and cupped oysters",NA
"itis","Flat oysters",NA
"itis","Flathead grey mullet",NA
"itis","Fluted giant clam",NA
"itis","Fourfinger threadfin",NA
"itis","Fragile codium",NA
"itis","Freshwater fishes",NA
"itis","Freshwater siluroids",NA
"itis","Fusiform sargassum",NA
"itis","Gasar cupped oyster",NA
"itis","Gastropods",NA
"itis","Gazami crab",NA
"itis","Gelidium seaweeds",NA
"itis","Giant clam",NA
"itis","Giant clams",NA
"itis","Giant grouper",NA
"itis","Giant kelps",NA
"itis","Giant trevally",NA
"itis","Gilthead seabream",NA
"itis","Globose clam",NA
"itis","Golden carpet shell",NA
"itis","Goldlined seabream",NA
"itis","Goldsilk seabream",NA
"itis","Gracilaria seaweeds",NA
"itis","Grand ark",NA
"itis","Great Atlantic scallop",NA
"itis","Great blue spotted mudskipper",NA
"itis","Great Mediterranean scallop",NA
"itis","Green humphead parrotfish",NA
"itis","Green laver",NA
"itis","Green mud crab",NA
"itis","Green seaweeds",NA
"itis","Green turtle",NA
"itis","Grooved carpet shell",NA
"itis","Groundfishes",NA
"itis","Groupers, seabasses",NA
"itis","Gudgeons, sleepers",NA
"itis","Half-crenated ark",NA
"itis","Harpoon seaweeds",NA
"itis","Hooded oyster",NA
"itis","Horned turban",NA
"itis","Horse mussels",NA
"itis","Humpback grouper",NA
"itis","Indian backwater oyster",NA
"itis","Indo-Pacific swamp crab",NA
"itis","Indonesian snakehead",NA
"itis","Inflated ark",NA
"itis","Jack and horse mackerels",NA
"itis","Jacks, crevalles",NA
"itis","Japanese abalone",NA
"itis","Japanese amberjack",NA
"itis","Japanese carpet shell",NA
"itis","Japanese hard clam",NA
"itis","Japanese isinglass",NA
"itis","Japanese jack mackerel",NA
"itis","Japanese kelp",NA
"itis","Japanese meagre",NA
"itis","Japanese sea cucumber",NA
"itis","Japanese seabass",NA
"itis","Japanese seabream",NA
"itis","Korean mussel",NA
"itis","Korean rockfish",NA
"itis","Large yellow croaker",NA
"itis","Largemouth black bass",NA
"itis","Lebranche mullet",NA
"itis","Longfin yellowtail",NA
"itis","Longrayed whiptail",NA
"itis","Malabar trevally",NA
"itis","Mangrove cupped oyster",NA
"itis","Marble goby",NA
"itis","Marbled spinefoot",NA
"itis","Marine crabs",NA
"itis","Marine crustaceans",NA
"itis","Marine fishes",NA
"itis","Marine molluscs",NA
"itis","Mediterranean shore crab",NA
"itis","Meristotheca senegalense",NA
"itis","Metapenaeus shrimps",NA
"itis","Mi-iuy  croaker",NA
"itis","Mozuku",NA
"itis","Mugil spp",NA
"itis","Natantian decapods",NA
"itis","New Zealand mussel",NA
"itis","Nori",NA
"itis","North African catfish",NA
"itis","Octopuses, etc.",NA
"itis","Octopuses",NA
"itis","Okhotsk atka mackerel",NA
"itis","Olive green cockle",NA
"itis","Orange mud crab",NA
"itis","Orbicular batfish",NA
"itis","Oriental cyclina",NA
"itis","Pacific asaphis",NA
"itis","Pacific cupped oyster",NA
"itis","Pacific horse clam",NA
"itis","Pacific lion's paw",NA
"itis","Pacific littleneck clam",NA
"itis","Palaemonid shrimps",NA
"itis","Palinurid spiny lobsters",NA
"itis","Pangas catfishes",NA
"itis","Pargo breams",NA
"itis","Pearl oyster shells",NA
"itis","Pen shells",NA
"itis","Penaeus shrimps",NA
"itis","Penguin wing oyster",NA
"itis","Peppery furrow",NA
"itis","Percoids",NA
"itis","Periwinkles",NA
"itis","Perlemoen abalone",NA
"itis","Peruvian calico scallop",NA
"itis","Pink dentex",NA
"itis","Pod razor shell",NA
"itis","Porgies, seabreams",NA
"itis","Porphyra columbina",NA
"itis","Portunus swimcrabs",NA
"itis","Pufferfishes",NA
"itis","Pullet carpet shell",NA
"itis","Queen scallop",NA
"itis","Rainbow abalone",NA
"itis","Red bait",NA
"itis","Red drum",NA
"itis","Red oyas",NA
"itis","Red seaweeds",NA
"itis","Redbanded seabream",NA
"itis","River eels",NA
"itis","River Plata mussel",NA
"itis","Rooster venus",NA
"itis","Rough turban",NA
"itis","Russell's snapper",NA
"itis","Sabaki tilapia",NA
"itis","Salmonoids",NA
"itis","Sand gaper",NA
"itis","Sargassum spp",NA
"itis","Sargo breams",NA
"itis","Scallops",NA
"itis","Sciaenas",NA
"itis","Scorpionfishes, redfishes",NA
"itis","Sea belt",NA
"itis","Sea cucumbers",NA
"itis","Sea lettuces",NA
"itis","Sea mussels",NA
"itis","Sea squirts",NA
"itis","Sea urchins",NA
"itis","Seabasses",NA
"itis","Seaweeds",NA
"itis","Senegalese sole",NA
"itis","Sharpsnout seabream",NA
"itis","Shi drum",NA
"itis","Silver barb",NA
"itis","Silver seabream",NA
"itis","Sixfinger threadfin",NA
"itis","Slender wart weed",NA
"itis","Slipper cupped oyster",NA
"itis","Smooth giant clam",NA
"itis","Smooth mactra",NA
"itis","Snappers, jobfishes",NA
"itis","Snubnose pompano",NA
"itis","So-iuy mullet",NA
"itis","Sobaity seabream",NA
"itis","Solea spp",NA
"itis","Solen razor clams",NA
"itis","South American rock mussel",NA
"itis","Southern Australia scallop",NA
"itis","Speckled longfin eel",NA
"itis","Spinefeet",NA
"itis","Spinous spider crab",NA
"itis","Spiny eucheuma",NA
"itis","Spirulina maxima",NA
"itis","Starry sturgeon",NA
"itis","Stony sea urchin",NA
"itis","Streaked spinefoot",NA
"itis","Striped bass, hybrid",NA
"itis","Striped venus",NA
"itis","Stromboid conchs",NA
"itis","Swimming crabs, etc.",NA
"itis","Sydney cupped oyster",NA
"itis","Tangle",NA
"itis","Thinlip grey mullet",NA
"itis","Tiger pufferfish",NA
"itis","Tiger-dragon grouper, hybrid",NA
"itis","Torpedo-shaped catfishes",NA
"itis","Trochita spp",NA
"itis","Tropical spiny lobsters",NA
"itis","Tuberculate abalone",NA
"itis","Two-spot red snapper",NA
"itis","Twobar seabream",NA
"itis","Variegated scallop",NA
"itis","Venus clams",NA
"itis","Waigieu seaperch",NA
"itis","Wakame",NA
"itis","Warty gracilaria",NA
"itis","Warty venus",NA
"itis","White seabream",NA
"itis","White trevally",NA
"itis","White-spotted spinefoot",NA
"itis","Whitemouth croaker",NA
"itis","Yellowback seabream",NA
"itis","Yellowfin seabream",NA
"itis","Yellowtail amberjack",NA
"itis","Yesso scallop",NA
