"rgn_id","pressure_score","year"
206,0.0107177559992098,"2014"
207,0.149013042028227,"2014"
208,0.0181339657007962,"2014"
209,0.194364096668437,"2014"
210,0.0333858267597368,"2014"
212,0.00970656879761048,"2014"
213,NA,"2014"
214,0.051514779658391,"2014"
215,0.00969501538939529,"2014"
216,0.0391237784403371,"2014"
218,0.00239272469140641,"2014"
219,0.00691231882437697,"2014"
220,4.56163644984337e-06,"2014"
221,2.41176072666948e-06,"2014"
222,0.0257948709627908,"2014"
223,0.00847993856523221,"2014"
224,0.0119249618456638,"2014"
227,4.05424644971593e-05,"2014"
228,NA,"2014"
231,0.00777749860889,"2014"
232,0.0537276279099067,"2014"
237,0.0129613688293714,"2014"
244,3.01303686993257e-06,"2014"
245,0.000104370657523834,"2014"
247,0.0101394181954758,"2014"
248,NA,"2014"
249,3.08570255135186e-06,"2014"
250,7.7234124654769e-07,"2014"
