shp_iucn_sid,sciname,shp_subpop,api_iucn_sid,api_subpop
2055,Arctocephalus australis,Peruvian/Northern Chilean,72050476,Peruvian/Northern Chilean subpopulation
9660,Halichoerus grypus,Baltic sea subpopulation,74491261,Baltic Sea subpopulation
2467,Balaena mysticetus,East Greenland-Svalbard-Barents Sea,2472,East Greenland-Svalbard-Barents Sea subpopulation
2467,Balaena mysticetus,Bering-Chukchi-Beaufort Sea,2468,Bering-Chukchi-Beaufort Sea subpopulation
2467,Balaena mysticetus,Okhotsk Sea,2469,Okhotsk Sea subpopulation
6335,Delphinapterus leucas,Cook Inlet,61442,Cook Inlet subpopulation
6909,Dugong dugon,Nansei,157011948,Nansei subpopulation
8097,Eschrichtius robustus,Western,8099,western subpopulation
17027,Phocoena phocoena,Baltic Sea,17031,Baltic Sea subpopulation
17978,Pontoporia blainvillei,Rio Grande do Sul/Uruguay,41761,Rio Grande do Sul/Uruguay subpopulation
22563,Tursiops truncatus,Fiordland,194300,Fiordland subpopulation
134817215,Delphinus delphis,Mediterranean,41762,Mediterranean subpopulation
222,Acipenser brevirostrum,Connecticut subpopulation,97436417,Connecticut subpopulation
222,Acipenser brevirostrum,N to S Carolina subpopulation,97436466,N to S Carolina subpopulation
222,Acipenser brevirostrum,Hudson subpopulation,97436427,Hudson subpopulation
222,Acipenser brevirostrum,Gulf of Maine subpopulation,97436413,Gulf of Maine subpopulation
222,Acipenser brevirostrum,Delaware/Chesapeake Bay subpopulation,97436447,Delaware/Chesapeake Bay subpopulation
222,Acipenser brevirostrum,Canada subpopulation,97436355,Canada subpopulation
222,Acipenser brevirostrum,Southeast subpopulation,97436475,Southeast subpopulation
10269,Huso huso,Black Sea and Sea of Azov,182586509,Black Sea and Sea of Azov subpopulation
10269,Huso huso,Adriatic Sea,10273,Adriatic Sea subpopulation
10269,Huso huso,Caspian Sea subpopulation,10272,Caspian Sea subpopulation
225,Acipenser nudiventris,Aral Sea subpopulation,251,Aral Sea subpopulation
225,Acipenser nudiventris,Black Sea and Sea of Azov subpopulation,249,Black Sea and Sea of Azov subpopulation
225,Acipenser nudiventris,Caspian Sea subpopulation,250,Caspian Sea subpopulation
229,Acipenser stellatus,Black Sea and Sea of Azov subpopulation,182583188,Black Sea and Sea of Azov subpopulation
229,Acipenser stellatus,Caspian Sea subpopulation,254,Caspian Sea subpopulation
