"product","commodity"
"fish_oil","Selaroides leptolepis"
"fish_oil","Engraulis anchoita"
"fish_oil","Sardinella gibbosa"
"fish_oil","Trachurus spp"
"fish_oil","Rastrelliger kanagurta"
"fish_oil","Pennahia argentata"
"fish_oil","Sardinella lemuru"
"fish_oil","Ilisha elongata"
"fish_oil","Sardinella longiceps"
"fish_oil","Etrumeus whiteheadi"
"fish_oil","Sprattus sprattus"
"fish_oil","Rastrelliger brachysoma"
"fish_oil","Opisthonema libertate"
"fish_oil","Sardinella maderensis"
"fish_oil","Cetengraulis mysticetus"
"fish_oil","Tenualosa ilisha"
"fish_oil","Engraulis encrasicolus"
"fish_oil","Ethmalosa fimbriata"
"fish_oil","Ammodytes personatus"
"fish_oil","Larimichthys polyactis"
"fish_oil","Merluccius productus"
"fish_oil","Sardina pilchardus"
"fish_oil","Strangomera bentincki"
"fish_oil","Cololabis saira"
"fish_oil","Micromesistius poutassou"
"fish_oil","Engraulis japonicus"
"fish_oil","Engraulis ringens"
"fish_oil","Sardinops sagax"
"fish_oil","Sardinops melanostictus"
"fish_oil","Mallotus villosus"
"fish_oil","Clupea harengus"
"fish_oil","Sardinops ocellatus"
"fish_oil","Brevoortia patronus"
"fish_oil","Trisopterus esmarkii"
"fish_oil","Anchoa nasus"
"fish_oil","Trachurus japonicus"
"fish_oil","Stephanolepis cirrhifer"
"fish_oil","Pseudopentaceros wheeleri"
"fish_oil","Clupeonella cultriventris"
"fish_oil","Decapterus maruadsi"
"fish_oil","Electrona carlsbergi"
"fish_oil","Moridae"
"fish_oil","Arctoscopus japonicus"
"fish_oil","Alosa pseudoharengus"
"fish_oil","Lampanyctodes hectoris"
"fish_oil","Gerreidae"
"fish_oil","Patagonotothen brevicauda"
"fish_oil","Synagrops japonicus"
"fish_oil","Sardinella zunasi"
"fish_oil","Hypoptychus dybowskii"
"fish_oil","Psenopsis anomala"
"fish_oil","Chlorophthalmidae"
"fish_oil","Gasterosteus aculeatus"
"fish_oil","Caranx rhonchus"
"fish_oil","Zoarces viviparus"
"fish_oil","Nemipterus virgatus"
"fish_oil","Peprilus triacanthus"
"fish_oil","Pagellus bellottii"
"fish_oil","Trachurus trachurus"
"fish_oil","Brevoortia tyrannus"
"fish_oil","Trachurus murphyi"
"seaweeds","[Chondracanthus chamissoi]"
"seaweeds","[Porphyra columbina]"
"seaweeds","[Spirulina maxima]"
"seaweeds","Aquatic plants nei"
"seaweeds","Babberlocks"
"seaweeds","Bright green nori"
"seaweeds","Dark green nori"
"seaweeds","Sea lettuces nei"
"seaweeds","Brown seaweeds"
"seaweeds","Caulerpa seaweeds"
"seaweeds","[Meristotheca senegalense]"
"seaweeds","Dulse"
"seaweeds","Elkhorn sea moss"
"seaweeds","Eucheuma seaweeds nei"
"seaweeds","Fragile codium"
"seaweeds","Fusiform sargassum"
"seaweeds","Gelidium seaweeds"
"seaweeds","Giant kelp"
"seaweeds","Gracilaria seaweeds"
"seaweeds","Green laver"
"seaweeds","Harpoon seaweeds"
"seaweeds","Japanese isinglass"
"seaweeds","Japanese kelp"
"seaweeds","Kelp nei"
"seaweeds","Laver (Nori)"
"seaweeds","Mozuku"
"seaweeds","Nori nei"
"seaweeds","Red seaweeds"
"seaweeds","Sea belt"
"seaweeds","Seaweeds nei"
"seaweeds","Spiny eucheuma"
"seaweeds","Tangle"
"seaweeds","Wakame"
"seaweeds","Wakame nei"
"seaweeds","Warty gracilaria"
"seaweeds","Giant kelps nei"
"seaweeds","Green seaweeds"
"seaweeds","Coarse seagrape"
"seaweeds","[Sargassum spp]"
"seaweeds","Spirulina nei"
"seaweeds","[Dunaliella salina]"
"seaweeds","[Capsosiphon fulvescens]"
"seaweeds","Slender wart weed"
