Ocean,Region,Species,Response,Reference
Atlantic,Norway (65–68°N),Laminaria hyperborea,Increased abundance,Rinde et al. (2014)
Atlantic,Norway (58–43°N),Saccharina latissima,Decreased abundance,Moy & Christie (2012)
Atlantic,Ireland (54°N),Alaria esculenta,Decreased abundance,Simkanin et al. (2005)
Atlantic,Ireland (54°N),Laminaria ochroleuca,"Increased abundance, range expansion",Schoenrock et al. (2019)
Atlantic,UK (50°N),Laminaria ochroleuca,"Increased abundance, range expansion",Smale et al. (2015)
Atlantic,UK (50°N),Laminaria ochroleuca,"Increased abundance, range expansion",Teagle & Smale (2018)
Atlantic,Spain/Portugal (36–43°N),"Saccharina latissima, Laminaria hyperborea, Laminaria ochroleuca, Saccorhiza polyschides","Decreased abundances, range contractions",Casado‐Amezúa et al. (2019)
Atlantic,Spain (43°N),"Laminaria hyperborea, Laminaria ochroleuca",Decreased abundances,Piñeiro‐Corbeira et al. (2016)
Atlantic,Spain (43°N),"Laminaria ochroleuca, Saccorhiza polyschides","Decreased abundances, local extinctions",Diez et al. (2012)
Atlantic,Spain (43°N),"Laminaria hyperborea, Laminaria ochroleuca, Saccorhiza polyschides","Decreased abundances, local extinctions",Voerman et al. (2013)
Atlantic,Spain (43°N),"Laminaria ochroleuca, Saccorhiza polyschides","Decreased abundances, local extinctions",Fernandez (2011)
Atlantic,Portugal (36–41°N),"Saccharina latissima, Laminaria hyperborea",Stable abundances,Lima et al. (2007)
Atlantic,Norway (37–39°N),Saccorhiza polyschides,"Decreased abundance, range contraction",Assis et al. (2013)
Atlantic,Northwest Atlantic (42–52°N),"Alaria esculenta, Laminaria digitata, Saccharina longicruris, Saccharina latissima",Stable abundances,Merzouk & Johnson (2011)
Atlantic,Nova Scotia (45°N),"Laminaria digitata, Saccharina latissima, Agarum clathratum",Decreased abundances,Filbee‐Dexter et al. (2016)
Atlantic,Gulf of Maine (43°N),Saccharina latissimi,Decreased abundances,Witman & Lamb (2018)
Atlantic,Rhode Island (41°N),Saccharina latissimi,Decreased abundances,Feehan et al. (2019)
Pacific,Japan (41°N),"Laminaria japonica, Kjellmaniella crassifolia, Costaria costata, Undaria peterseniana, Ecklonia stolonifera, Undaria pinnatifida","Decreased biomass & occurrence of cold water kelps, increased biomass & occurrence of warm water kelps",Kirihara et al. (2006)
Pacific,Japan (32°N),Ecklonia spp.,"Decreased abundance, range contraction",Kumagai et al. (2018)
Pacific,Japan (32°N),Ecklonia spp.,Decreased abundance,Tanaka et al. (2012)
Pacific,East Australia (30°S),Ecklonia radiata,"Decreased abundance, local extinction",Vergés et al. (2016)
Pacific,Southeast Australia (38°S),Ecklonia radiata,Decreased abundance,Carnell & Keough (2019)
Pacific,Tasmania (42°S),Macrocystis pyrifera,Decreased abundance,Johnson et al. (2011)
Pacific,Tasmania (42°S),Ecklonia radiata,Decreased abundance,Ling (2008)
Pacific,New Zealand (43°S),Durvillaea spp.,"Decreased abundance, local extinction",Thomsen et al. (2019)
Pacific,British Columbia (49°N),"Alaria marginata, Costaria costata, Ecklonia arborea, Laminaria setchellii, Nereocystis luetkeana, Lessoniopsis littoralis, Saccharina sessilis, Egregia menziesi","Decreased abundances of most kelps (not at all survey sites), stable abundance of stress tolerant kelps",Starko et al. (2019)
Pacific,Washington State (48°N),"Nereocystis luetkeana, Macrocystis pyrifera",Stable abundances,Pfister et al. (2018)
Pacific,California (34°N),Macrocystis pyrifera,Stable abundance,Reed et al. (2016)
Pacific,Baja California (30–32°N),Macrocystis pyrifera,Decreased abundance,Arafeh‐Dalmau et al. (2019)
Indian,West Australia (30°S),Scytothalia dorycarpa,"Decreased abundance, range contraction",Smale & Wernberg (2013)
Indian,West Australia (28–32°S),Ecklonia radiata,"Decreased abundance, range contraction",Wernberg et al. (2016)
Arctic,Greenland (74°N),"Saccharina latissima, Saccharina longicruris","Increased abundances, Increased biomass",Krause‐Jensen et al. (2012)
Arctic,Svalbard (78°N),Laminaria digitate,"Increased abundance, Increased biomass",Bartsch et al. (2016)
