"","rgn_id","rgn_nam","nutrient","gapfilled","method","country_application"
"1",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",661393.5
"2",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",732960.5
"3",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",743803.5
"4",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",796037.5
"5",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",904794
"6",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",865881
"7",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",953057
"8",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",968404.5
"9",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",934608
"10",1,"Cocos Islands","N","1","UN_geopolitical region avg, r2",894796.5
"11",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",542821.195
"12",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",585682.315
"13",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",586342.795
"14",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",556684.755
"15",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",604641.13
"16",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",609527.24
"17",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",608600.14
"18",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",641993.325
"19",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",632415.375
"20",1,"Cocos Islands","P2O5","1","UN_geopolitical region avg, r2",631751.555
"21",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",131244.785
"22",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",142811.955
"23",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",151235.12
"24",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",158377.195
"25",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",185017.525
"26",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",186802.745
"27",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",193334.685
"28",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",210043.695
"29",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",223338.865
"30",1,"Cocos Islands","K2O","1","UN_geopolitical region avg, r2",222909.425
"31",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",661393.5
"32",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",732960.5
"33",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",743803.5
"34",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",796037.5
"35",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",904794
"36",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",865881
"37",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",953057
"38",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",968404.5
"39",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",934608
"40",2,"Christmas Island","N","1","UN_geopolitical region avg, r2",894796.5
"41",2,"Christmas Island","P2O5","1","UN_geopolitical region avg, r2",542821.195
"42",2,"Christmas Island","P2O5","1","UN_geopolitical region avg, r2",585682.315
"43",2,"Christmas Island","P2O5","1","UN_geopolitical region avg, r2",586342.795
"44",2,"Christmas Island","P2O5","1","UN_geopolitical region avg, r2",556684.755
"45",2,"Christmas Island","P2O5","1","UN_geopolitical region avg, r2",604641.13
"46",2,"Christmas Island","P2O5","1","UN_geopolitical region avg, r2",609527.24
