country,year,value,unit,sector,data_source,Country,rgn_id,rgn_name
Albania,1984,588900,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1985,586300,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1986,1138800,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1987,1175200,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1988,1935010,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1989,938400,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1990,2221500,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1991,397200,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1992,182650,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1993,191800,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1994,190450,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1995,195000,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1996,175000,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1997,205000,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1998,151700,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,1999,204260,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2000,155990,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2001,469010,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2002,720660.0000000001,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2003,1530780,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2004,2101570,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2005,1862420,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2006,2924339.9999999995,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2007,4055089.9999999995,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2008,4232900,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2009,4469910,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2010,4821210,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2011,4497210,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2012,11794710.000000002,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2013,13248900,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2014,13993170,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2015,12183470.000000002,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2016,13867130,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2017,17381190,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2018,15997529.999999998,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2019,16769110,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2020,33336400,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2021,33804010,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Albania,2022,36408170,USD (1),mar,FAO aquaculture value,Albania,82,Albania
Algeria,1984,319010,USD (1),mar,FAO aquaculture value,Algeria,84,Algeria
Algeria,1985,327170,USD (1),mar,FAO aquaculture value,Algeria,84,Algeria
Algeria,1986,576110,USD (1),mar,FAO aquaculture value,Algeria,84,Algeria
