"rgn_id","taxa_code","taxa_group","family","year","tonnes"
14,"Abalones_1","GAST","Haliotidae",1976,"0"
14,"Abalones_1","GAST","Haliotidae",1977,"0"
14,"Abalones_1","GAST","Haliotidae",1978,"0"
14,"Abalones_1","GAST","Haliotidae",1979,"0"
14,"Abalones_1","GAST","Haliotidae",1980,"0"
14,"Abalones_1","GAST","Haliotidae",1981,"0"
14,"Abalones_1","GAST","Haliotidae",1982,"0"
14,"Abalones_1","GAST","Haliotidae",1983,"0"
14,"Abalones_1","GAST","Haliotidae",1984,"0"
14,"Abalones_1","GAST","Haliotidae",1985,"0"
163,"Abalones_2","GAST","Haliotidae",1985,"0"
14,"Abalones_1","GAST","Haliotidae",1986,"0"
163,"Abalones_2","GAST","Haliotidae",1986,"0"
14,"Abalones_1","GAST","Haliotidae",1987,"0"
163,"Abalones_2","GAST","Haliotidae",1987,"NA_to_zero"
14,"Abalones_1","GAST","Haliotidae",1988,"0"
163,"Abalones_2","GAST","Haliotidae",1988,"0"
14,"Abalones_1","GAST","Haliotidae",1989,"0"
163,"Abalones_2","GAST","Haliotidae",1989,"0"
14,"Abalones_1","GAST","Haliotidae",1990,"0"
163,"Abalones_2","GAST","Haliotidae",1990,"0"
14,"Abalones_1","GAST","Haliotidae",1991,"0"
163,"Abalones_2","GAST","Haliotidae",1991,"0"
14,"Abalones_1","GAST","Haliotidae",1992,"0"
163,"Abalones_2","GAST","Haliotidae",1992,"0"
14,"Abalones_1","GAST","Haliotidae",1993,"0"
163,"Abalones_2","GAST","Haliotidae",1993,"0"
14,"Abalones_1","GAST","Haliotidae",1994,"0"
163,"Abalones_2","GAST","Haliotidae",1994,"0"
14,"Abalones_1","GAST","Haliotidae",1995,"0"
163,"Abalones_2","GAST","Haliotidae",1995,"0"
14,"Abalones_1","GAST","Haliotidae",1996,"0"
163,"Abalones_2","GAST","Haliotidae",1996,"0"
14,"Abalones_1","GAST","Haliotidae",1997,"0"
163,"Abalones_2","GAST","Haliotidae",1997,"0"
14,"Abalones_1","GAST","Haliotidae",1998,"0"
163,"Abalones_2","GAST","Haliotidae",1998,"NA_to_zero"
14,"Abalones_1","GAST","Haliotidae",1999,"0"
