iucn_sid,pop_trend,iucn_version
222,decreasing,2020-3
224,decreasing,2020-3
225,decreasing,2020-3
229,decreasing,2020-3
230,decreasing,2020-3
232,decreasing,2020-3
233,stable,2020-3
234,stable,2020-3
235,decreasing,2020-3
236,decreasing,2020-3
241,decreasing,2020-3
242,decreasing,2020-3
243,increasing,2020-3
245,increasing,2020-3
678,NA,2020-3
907,decreasing,2020-3
908,decreasing,2020-3
1086,decreasing,2020-3
1308,unknown,2020-3
1615,unknown,2020-3
1793,decreasing,2020-3
1866,NA,2020-3
2055,increasing,2020-3
2057,decreasing,2020-3
2058,decreasing,2020-3
2059,increasing,2020-3
2060,increasing,2020-3
2061,increasing,2020-3
2062,stable,2020-3
2064,unknown,2020-3
2066,increasing,2020-3
2067,increasing,2020-3
2113,unknown,2020-3
2179,NA,2020-3
2181,NA,2020-3
2182,NA,2020-3
2218,NA,2020-3
2352,unknown,2020-3
2467,increasing,2020-3
2468,NA,2020-3
2469,decreasing,2020-3
2472,unknown,2020-3
2474,unknown,2020-3
2475,increasing,2020-3
2476,unknown,2020-3
2477,increasing,2020-3
2478,increasing,2020-3
2480,unknown,2020-3
2539,decreasing,2020-3
2621,unknown,2020-3
2636,unknown,2020-3
2637,NA,2020-3
2644,unknown,2020-3
2762,unknown,2020-3
2763,unknown,2020-3
2811,decreasing,2020-3
2895,unknown,2020-3
2958,decreasing,2020-3
3381,stable,2020-3
3565,NA,2020-3
3590,decreasing,2020-3
3764,unknown,2020-3
3778,unknown,2020-3
3851,unknown,2020-3
3852,decreasing,2020-3
3853,decreasing,2020-3
3854,unknown,2020-3
3855,decreasing,2020-3
3856,NA,2020-3
3897,decreasing,2020-3
3898,decreasing,2020-3
4131,stable,2020-3
4159,unknown,2020-3
4160,decreasing,2020-3
4161,unknown,2020-3
4162,decreasing,2020-3
4292,decreasing,2020-3
4360,stable,2020-3
4361,stable,2020-3
4362,stable,2020-3
4363,unknown,2020-3
4364,stable,2020-3
4592,decreasing,2020-3
4615,decreasing,2020-3
4805,unknown,2020-3
4982,decreasing,2020-3
5119,NA,2020-3
5216,NA,2020-3
5269,unknown,2020-3
5270,NA,2020-3
5271,NA,2020-3
5272,unknown,2020-3
5273,unknown,2020-3
5325,unknown,2020-3
5362,NA,2020-3
5486,NA,2020-3
5659,increasing,2020-3
5668,NA,2020-3
5675,unknown,2020-3
6069,NA,2020-3
6202,NA,2020-3
6203,NA,2020-3
6204,unknown,2020-3
6229,decreasing,2020-3
6335,unknown,2020-3
6336,unknown,2020-3
6337,unknown,2020-3
6494,decreasing,2020-3
6814,decreasing,2020-3
6909,decreasing,2020-3
7011,NA,2020-3
7035,NA,2020-3
7134,unknown,2020-3
7135,unknown,2020-3
7750,decreasing,2020-3
7778,stable,2020-3
7854,decreasing,2020-3
7855,unknown,2020-3
7858,decreasing,2020-3
7859,decreasing,2020-3
7860,unknown,2020-3
7861,decreasing,2020-3
7862,decreasing,2020-3
8005,decreasing,2020-3
8010,unknown,2020-3
8012,unknown,2020-3
8013,unknown,2020-3
8097,stable,2020-3
8099,increasing,2020-3
8153,unknown,2020-3
8239,increasing,2020-3
8261,NA,2020-3
8262,NA,2020-3
8407,unknown,2020-3
8408,unknown,2020-3
8409,decreasing,2020-3
8551,unknown,2020-3
8784,NA,2020-3
8817,decreasing,2020-3
8951,unknown,2020-3
9175,NA,2020-3
9176,NA,2020-3
9177,NA,2020-3
9249,unknown,2020-3
9250,unknown,2020-3
9266,stable,2020-3
9281,decreasing,2020-3
9461,unknown,2020-3
9463,NA,2020-3
9660,increasing,2020-3
10016,NA,2020-3
10017,NA,2020-3
10018,NA,2020-3
10019,NA,2020-3
10020,NA,2020-3
10021,NA,2020-3
10030,decreasing,2020-3
10056,decreasing,2020-3
10057,unknown,2020-3
10060,unknown,2020-3
10063,unknown,2020-3
10064,unknown,2020-3
10065,unknown,2020-3
10066,decreasing,2020-3
10069,unknown,2020-3
10070,decreasing,2020-3
10072,decreasing,2020-3
10074,unknown,2020-3
10075,decreasing,2020-3
10077,unknown,2020-3
10082,decreasing,2020-3
10083,unknown,2020-3
10087,decreasing,2020-3
10088,decreasing,2020-3
10089,stable,2020-3
10097,NA,2020-3
10105,NA,2020-3
10106,NA,2020-3
10268,decreasing,2020-3
10269,decreasing,2020-3
10273,NA,2020-3
10303,NA,2020-3
10340,unknown,2020-3
10707,unknown,2020-3
10708,unknown,2020-3
10724,unknown,2020-3
10939,unknown,2020-3
11030,unknown,2020-3
11047,unknown,2020-3
11048,unknown,2020-3
11060,stable,2020-3
11130,decreasing,2020-3
11140,unknown,2020-3
11141,unknown,2020-3
11142,unknown,2020-3
11143,unknown,2020-3
11144,unknown,2020-3
11145,unknown,2020-3
11146,unknown,2020-3
11150,decreasing,2020-3
11191,NA,2020-3
11200,decreasing,2020-3
11368,NA,2020-3
11375,unknown,2020-3
11501,NA,2020-3
11502,unknown,2020-3
11533,unknown,2020-3
11534,decreasing,2020-3
11696,unknown,2020-3
11987,decreasing,2020-3
12103,NA,2020-3
12125,unknown,2020-3
12126,unknown,2020-3
12137,decreasing,2020-3
12242,NA,2020-3
12244,NA,2020-3
12246,unknown,2020-3
12302,stable,2020-3
12303,decreasing,2020-3
12305,decreasing,2020-3
12382,NA,2020-3
12404,NA,2020-3
12416,decreasing,2020-3
12417,decreasing,2020-3
12419,decreasing,2020-3
12421,decreasing,2020-3
12427,decreasing,2020-3
12695,decreasing,2020-3
12807,NA,2020-3
12808,NA,2020-3
12809,NA,2020-3
12810,NA,2020-3
13006,increasing,2020-3
13045,NA,2020-3
13145,decreasing,2020-3
13232,unknown,2020-3
13238,NA,2020-3
13241,unknown,2020-3
13242,unknown,2020-3
13243,unknown,2020-3
13244,unknown,2020-3
13245,unknown,2020-3
13247,unknown,2020-3
13248,unknown,2020-3
13249,unknown,2020-3
13250,unknown,2020-3
13251,unknown,2020-3
13252,decreasing,2020-3
13581,increasing,2020-3
13583,stable,2020-3
13653,increasing,2020-3
13654,decreasing,2020-3
13655,NA,2020-3
13704,unknown,2020-3
13852,NA,2020-3
13932,NA,2020-3
13933,NA,2020-3
13934,NA,2020-3
14048,unknown,2020-3
14049,decreasing,2020-3
14050,decreasing,2020-3
14051,decreasing,2020-3
14052,unknown,2020-3
14053,decreasing,2020-3
14054,unknown,2020-3
14214,stable,2020-3
14264,decreasing,2020-3
14363,NA,2020-3
14500,NA,2020-3
14549,decreasing,2020-3
14561,NA,2020-3
14562,decreasing,2020-3
14831,NA,2020-3
15106,unknown,2020-3
15108,unknown,2020-3
15184,unknown,2020-3
15239,unknown,2020-3
15269,unknown,2020-3
