"x"
"Acanthocardia tuberculata"
"Acetes japonicus"
"Aequipecten opercularis"
"Aetomylaeus nichofii"
"Alosa fallax"
"Anadara tuberculosa"
"Apostichopus japonicus"
"Arca zebra"
"Arctica islandica"
"Argopecten gibbus"
"Argopecten irradians"
"Argopecten purpuratus"
"Argyrops spinifer"
"Aristaeopsis edwardsiana"
"Aristeus antennatus"
"Aristeus varidens"
"Artemesia longinaris"
"Asterias rubens"
"Aulacomya atra"
"Auxis thazard"
"Buccinum undatum"
"Callinectes arcuatus"
"Callinectes sapidus"
"Callinectes toxotes"
"Cancer borealis"
"Cancer irroratus"
"Cancer pagurus"
"Carcinus maenas"
"Cardium edule"
"Cerastoderma edule"
"Cervimunida johni"
"Chaceon maritae"
"Chaceon notialis"
"Chamelea gallina"
"Chionoecetes japonicus"
"Chionoecetes opilio"
"Chlamys islandica"
"Concholepas concholepas"
"Crangon crangon"
"Crassostrea gigas"
"Crassostrea rhizophorae"
"Crassostrea virginica"
"Diplodus sargus sargus"
"Doryteuthis gahi"
"Doryteuthis opalescens"
"Doryteuthis pealeii"
"Dosidicus gigas"
"Eledone cirrhosa"
"Erimacrus isenbeckii"
"Euphausia superba"
"Evibacus princeps"
"Farfantepenaeus aztecus"
"Farfantepenaeus brasiliensis"
"Farfantepenaeus brevirostris"
"Farfantepenaeus californiensis"
"Farfantepenaeus duorarum"
"Farfantepenaeus notialis"
"Farfantepenaeus paulensis"
"Farfantepenaeus subtilis"
"Fenneropenaeus chinensis"
"Fenneropenaeus indicus"
"Fenneropenaeus merguiensis"
"Fistularia corneta"
"Glycymeris glycymeris"
"Haliotis fulgens"
"Haliotis midae"
"Haliotis rubra"
"Haliporoides triarthrus"
"Heterocarpus reedi"
"Hippospongia lachne"
"Homarus americanus"
"Homarus gammarus"
"Illex argentinus"
"Illex illecebrosus"
"Jasus edwardsii"
"Jasus lalandii"
"Kajikia audax"
"Leiognathus equulus"
"Lithodes aequispinus"
"Litopenaeus occidentalis"
"Litopenaeus schmitti"
"Litopenaeus setiferus"
"Litopenaeus stylirostris"
"Litopenaeus vannamei"
"Littorina littorea"
"Liza haematocheila"
"Liza klunzingeri"
"Lobatus gigas"
"Loxechinus albus"
"Marsupenaeus japonicus"
"Martialia hyadesi"
"Megastraea undosa"
"Melicertus latisulcatus"
"Melicertus plebejus"
"Menippe mercenaria"
"Mercenaria mercenaria"
"Meretrix lusoria"
"Mesocentrotus franciscanus"
"Mesodesma donacium"
"Metacarcinus magister"
"Metapenaeus affinis"
"Metapenaeus brevicornis"
"Metapenaeus joyneri"
"Metapenaeus monoceros"
"Metapenaeus tenuipes"
"Mizuhopecten yessoensis"
"Moolgarda seheli"
"Mullus barbatus barbatus"
"Mytilus chilensis"
"Mytilus coruscus"
"Mytilus edulis"
"Mytilus galloprovincialis"
"Mytilus platensis"
"Nassarius mutabilis"
"Necora puber"
"Nematocarcinus africanus"
"Nephrops norvegicus"
"Nototodarus sloanii"
"Octopus cyanea"
"Octopus vulgaris"
"Oplegnathus fasciatus"
"Osmerus mordax mordax"
"Ostrea edulis"
"Pandalus borealis"
"Pandalus goniurus"
"Pandalus jordani"
"Panopea generosa"
"Panulirus argus"
"Panulirus cygnus"
"Panulirus homarus"
"Panulirus longipes"
"Paralithodes brevipes"
"Paralithodes camtschaticus"
"Paralithodes platypus"
"Paralomis granulosa"
"Parapenaeopsis hardwickii"
"Parapenaeopsis sculptilis"
"Parapenaeopsis stylifera"
"Parapenaeopsis uncta"
"Parapenaeus longirostris"
"Patinopecten caurinus"
"Pecten maximus"
"Pecten novaezelandiae"
"Penaeus kerathurus"
"Penaeus monodon"
"Penaeus penicillatus"
"Penaeus semisulcatus"
"Perna canaliculus"
"Perna viridis"
"Placopecten magellanicus"
"Pleoticus muelleri"
"Plesionika trispinus"
"Pleuroncodes monodon"
"Portunus pelagicus"
"Portunus trituberculatus"
"Portunus xantusii"
"Pyura chilensis"
"Rhinobatos percellens"
"Rhizostoma pulmo"
"Rhizostomeae"
"Ruditapes philippinarum"
"Salmo salar"
"Salvelinus alpinus alpinus"
"Sarda chiliensis lineolata"
"Scomber japonicus"
"Scylla serrata"
"Secutor insidiator"
"Semele solida"
"Sepia officinalis"
"Sepia pharaonis"
"Sepioteuthis lessoniana"
"Sicyonia brevirostris"
"Sicyonia disdorsalis"
"Solenocera florea"
"Spisula solidissima"
"Squilla biformis"
"Squilla mantis"
"Squilla panamensis"
"Squilla parva"
"Stomolophus meleagris"
"Strongylocentrotus droebachiensis"
"Tegillarca granosa"
"Thenus orientalis"
"Tivela mactroides"
"Todarodes pacificus"
"Todarodes sagittatus"
"Trachysalambria curvirostris"
"Turbo cornutus"
"Venus verrucosa"
"Xiphopenaeus kroyeri"
"Zygochlamys patagonica"
