"sciname","common","Resilience","SpecCode"
"Trachysalambria curvirostris","Southern rough shrimp",NA,NA
"Trichiurus lepturus","Largehead hairtail","Medium","1288"
"Trichopsetta caribbaea","Caribbean flounder","Medium","7530"
"Trisopterus esmarkii","Norway pout",NA,"1023"
"Trisopterus esmarkii","Norway pout","Medium","1023"
"Trisopterus luscus","Pouting","Medium","1367"
"Trisopterus minutus","Poor cod","Medium","481"
"Turbo cornutus","Horned turban",NA,NA
"Tylosurus crocodilus","Hound needlefish","Medium","977"
"Umbrina canariensis","Canary drum","Medium","4548"
"Umbrina canosai","Argentine croaker","Medium","413"
"Umbrina cirrosa","Shi drum","Medium","1306"
"Upeneus moluccensis","Goldband goatfish","Medium","4444"
"Upeneus sulphureus","Sulphur goatfish","Medium","4445"
"Upeneus vittatus","Yellowstriped goatfish","High","4821"
"Urophycis brasiliensis","Brazilian codling","Medium","311"
"Urophycis chuss","Red hake","Medium","312"
"Urophycis tenuis","White hake","Low","313"
"Venus verrucosa","Warty venus",NA,NA
"Xiphias gladius","Swordfish",NA,"226"
"Xiphias gladius","Swordfish","Medium","226"
"Xiphopenaeus kroyeri","Atlantic seabob",NA,NA
"Zeus faber","John dory","Medium","1370"
"Zoarces viviparus","Eelpout","Low","479"
"Zygochlamys patagonica","Patagonean scallop",NA,NA
