"rgn_id","fao_id","RAM_area_m2","stockid","stocklong","idtemp2"
182,27,NA,"ANCHIXa","Anchovy Portugese Waters -East",1
183,27,NA,"ANCHIXa","Anchovy Portugese Waters -East",2
163,67,NA,"BIGSKAPCOAST","Big skate Pacific Coast",3
29,51,NA,"BLSHARIO","Blue shark Indian Ocean",4
31,51,NA,"BLSHARIO","Blue shark Indian Ocean",5
37,51,NA,"BLSHARIO","Blue shark Indian Ocean",6
38,51,NA,"BLSHARIO","Blue shark Indian Ocean",7
39,51,NA,"BLSHARIO","Blue shark Indian Ocean",8
41,51,NA,"BLSHARIO","Blue shark Indian Ocean",9
42,51,NA,"BLSHARIO","Blue shark Indian Ocean",10
43,51,NA,"BLSHARIO","Blue shark Indian Ocean",11
44,51,NA,"BLSHARIO","Blue shark Indian Ocean",12
45,51,NA,"BLSHARIO","Blue shark Indian Ocean",13
46,51,NA,"BLSHARIO","Blue shark Indian Ocean",14
47,51,NA,"BLSHARIO","Blue shark Indian Ocean",15
48,51,NA,"BLSHARIO","Blue shark Indian Ocean",16
49,51,NA,"BLSHARIO","Blue shark Indian Ocean",17
50,51,NA,"BLSHARIO","Blue shark Indian Ocean",18
51,51,NA,"BLSHARIO","Blue shark Indian Ocean",19
52,51,NA,"BLSHARIO","Blue shark Indian Ocean",20
53,51,NA,"BLSHARIO","Blue shark Indian Ocean",21
79,51,NA,"BLSHARIO","Blue shark Indian Ocean",22
90,51,NA,"BLSHARIO","Blue shark Indian Ocean",23
102,51,NA,"BLSHARIO","Blue shark Indian Ocean",24
190,51,NA,"BLSHARIO","Blue shark Indian Ocean",25
191,51,NA,"BLSHARIO","Blue shark Indian Ocean",26
192,51,NA,"BLSHARIO","Blue shark Indian Ocean",27
202,51,NA,"BLSHARIO","Blue shark Indian Ocean",28
203,51,NA,"BLSHARIO","Blue shark Indian Ocean",29
214,51,NA,"BLSHARIO","Blue shark Indian Ocean",30
215,51,NA,"BLSHARIO","Blue shark Indian Ocean",31
1,57,NA,"BLSHARIO","Blue shark Indian Ocean",32
2,57,NA,"BLSHARIO","Blue shark Indian Ocean",33
16,57,NA,"BLSHARIO","Blue shark Indian Ocean",34
25,57,NA,"BLSHARIO","Blue shark Indian Ocean",35
26,57,NA,"BLSHARIO","Blue shark Indian Ocean",36
39,57,NA,"BLSHARIO","Blue shark Indian Ocean",37
40,57,NA,"BLSHARIO","Blue shark Indian Ocean",38
203,57,NA,"BLSHARIO","Blue shark Indian Ocean",39
204,57,NA,"BLSHARIO","Blue shark Indian Ocean",40
205,57,NA,"BLSHARIO","Blue shark Indian Ocean",41
216,57,NA,"BLSHARIO","Blue shark Indian Ocean",42
231,57,NA,"BLSHARIO","Blue shark Indian Ocean",43
182,27,NA,"BLSHARNATL","Blue shark Northern Atlantic",44
183,27,NA,"BLSHARNATL","Blue shark Northern Atlantic",45
164,31,NA,"BLSHARNATL","Blue shark Northern Atlantic",46
182,34,NA,"BLSHARNATL","Blue shark Northern Atlantic",47
183,34,NA,"BLSHARNATL","Blue shark Northern Atlantic",48
182,34,NA,"BLSHARSATL","Blue shark South Atlantic",49
183,34,NA,"BLSHARSATL","Blue shark South Atlantic",50
101,47,NA,"BLSHARSATL","Blue shark South Atlantic",51
163,31,NA,"CSLOBSTERPR","Caribbean spiny lobster Puerto Rico",52
163,31,NA,"CSLOBSTERSTC","Caribbean spiny lobster Saint Croix",53
163,31,NA,"CSLOBSTERSTT_STJ","Caribbean spiny lobster Saint Thomas / Saint John",54
102,47,NA,"DVANGSASC","Devil anglerfish South Africa South coast",55
102,47,NA,"DVANGSAWC","Devil anglerfish South Africa West coast",56
223,27,NA,"GSSMELTI-II-IIIa-IV","Greater silver smelt ICES 1-2-3a-4",57
143,27,NA,"GSSMELTVa-XIV","Greater silver smelt ICES 5a-14",58
141,27,NA,"GSSMELTVb-VIa","Greater silver smelt ICES 5b-6a",59
177,27,NA,"GSSMELTVb-VIa","Greater silver smelt ICES 5b-6a",60
163,77,NA,"GJOBMHI","Green jobfish Main Hawaiian Islands",61
29,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",62
31,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",63
37,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",64
38,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",65
39,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",66
41,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",67
42,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",68
43,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",69
44,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",70
45,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",71
46,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",72
47,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",73
48,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",74
49,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",75
50,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",76
51,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",77
52,51,NA,"IPSAILIO","Indo-Pacific sailfish Indian Ocean",78
