db,query,family
itis,Abalones,Haliotidae
itis,American bull frog,Ranidae
itis,American cupped oyster,Ostreidae
itis,Anadara clams,Arcidae
itis,Aquatic invertebrates,Invertabrates
itis,Aquatic plants,Algae
itis,Australian mussel,Hyriidae
itis,Babberlocks,Algae
itis,Banded carpet shell,Veneridae
itis,Barramundi,Latidae
itis,Bastard halibuts,Paralichthyidae
itis,Bear paw clam,Cardiidae
itis,Beluga,Monodontidae
itis,Big-scale sand smelt,Atherinidae
itis,Black ark,Arcidae
itis,Black catfishes,Ictaluridae
itis,Black seabass,Serranidae
itis,Blackhead seabream,Sparidae
itis,Blacklip abalone,Haliotidae
itis,Blacklip pearl oyster,Pteriidae
itis,Blackspot seabream,Sparidae
itis,Blood cockle,Arcidae
itis,Blue swimming crab,Portunidae
itis,Bluespotted seabream,Sparidae
itis,Bright green nori,Algae
itis,Brine shrimp,Artemiidae
itis,Broad geloina,Arcidae
itis,Brown meagre,Sciaenidae
itis,Brown seaweeds,Algae
itis,Butter clam,Arcidae
itis,Callinectes swimcrabs,Portunidae
itis,Carpet shells,Veneridae
itis,Caulerpa seaweeds,Algae
itis,Chilean flat oyster,Pteriidae
itis,Cholga mussel,Mytilidae
itis,Chondracanthus chamissoi,Gigartinaceae
itis,Choro mussel,Mytilidae
itis,"Clams, etc.",Veneridae
itis,Coarse seagrape,Polygonaceae
itis,Cockles,Cardiidae
itis,Common cuttlefish,Sepiidae
itis,Common dentex,Sparidae
itis,Common edible cockle,Cardiidae
itis,Common pandora,Sparidae
itis,Common sole,Soleidae
itis,Common two-banded seabream,Sparidae
itis,Constricted tagelus,Pharidae
itis,Cortez oyster,Ostreidae
itis,Crimson seabream,Sparidae
itis,"Croakers, drums",Sciaenidae
itis,Crocus giant clam,Veneridae
itis,Cupped oysters,Ostreidae
itis,Cyprinids,Cyprinidae
itis,Dark green nori,Algae
itis,Diphos sanguin,Veneridae
itis,Donax clams,Donacidae
itis,Dotted gizzard shad,Clupeidae
itis,Dulse,Algae
itis,Elkhorn sea moss,Algae
itis,Elongate giant clam,Cardiidae
itis,Emperor red snapper,Lutjanidae
itis,Eucheuma seaweeds,Algae
itis,European flat oyster,Ostreidae
itis,European whitefish,Salmonidae
itis,False abalone,Haliotidae
itis,"Filefishes, leatherjackets",Monacanthidae
itis,Flat and cupped oysters,Ostreidae
itis,Flat oysters,Ostreidae
itis,Flathead grey mullet,Mugilidae
itis,Fluted giant clam,Cardiidae
itis,Fourfinger threadfin,Polynemidae
itis,Fragile codium,Algae
itis,Freshwater fishes,Fish
itis,Freshwater siluroids,Siluridae
itis,Fusiform sargassum,Algae
itis,Gasar cupped oyster,Ostreidae
itis,Gastropods,Gastropoda
itis,Gazami crab,Portunidae
itis,Gelidium seaweeds,Algae
itis,Giant clam,Cardiidae
itis,Giant clams,Cardiidae
itis,Giant grouper,Serranidae
itis,Giant kelps,Algae
itis,Giant trevally,Carangidae
itis,Gilthead seabream,Sparidae
itis,Globose clam,Cardiidae
itis,Golden carpet shell,Veneridae
itis,Goldlined seabream,Sparidae
itis,Goldsilk seabream,Sparidae
itis,Gracilaria seaweeds,Algae
itis,Grand ark,Arcidae
itis,Great Atlantic scallop,Pectinidae
itis,Great blue spotted mudskipper,Gobiidae
itis,Great Mediterranean scallop,Pectinidae
itis,Green humphead parrotfish,Scaridae
itis,Green laver,Algae
itis,Green mud crab,Portunidae
itis,Green seaweeds,Algae
itis,Green turtle,Cheloniidae
itis,Grooved carpet shell,Veneridae
itis,Groundfishes,Fish
itis,"Groupers, seabasses",Serranidae
itis,"Gudgeons, sleepers",Ptereleotridae
itis,Half-crenated ark,Arcidae
itis,Harpoon seaweeds,Algae
itis,Hooded oyster,Ostreidae
itis,Horned turban,Turbinidae
itis,Horse mussels,Mytilidae
itis,Humpback grouper,Serranidae
itis,Indian backwater oyster,Ostreidae
itis,Indo-Pacific swamp crab,Portunidae
itis,Indonesian snakehead,Channidae
itis,Inflated ark,Arcidae
itis,Jack and horse mackerels,Carangidae
itis,"Jacks, crevalles",Carangidae
itis,Japanese abalone,Haliotidae
itis,Japanese amberjack,Carangidae
itis,Japanese carpet shell,Veneridae
itis,Japanese hard clam,Veneridae
itis,Japanese isinglass,Algae
itis,Japanese jack mackerel,Carangidae
itis,Japanese kelp,Algae
itis,Japanese meagre,Sciaenidae
itis,Japanese sea cucumber,Stichopodidae
itis,Japanese seabass,Lateolabracidae
itis,Japanese seabream,Sparidae
itis,Korean mussel,Mytilidae
