iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
155736,global,Increasing,NA,NA
170175,global,Increasing,NA,NA
170201,global,Increasing,NA,NA
170206,global,Increasing,NA,NA
170231,global,Increasing,NA,NA
170259,global,Increasing,NA,NA
194969,global,Increasing,NA,NA
201947,global,Increasing,NA,NA
245,global,Increasing,0.0125,lm
60206,global,Increasing,NA,NA
61416,global,Increasing,NA,NA
155123,global,Increasing,NA,NA
155980,europe,Increasing,NA,NA
155980,mediterranean,Increasing,NA,NA
169999,global,Increasing,NA,NA
170331,mediterranean,Increasing,NA,NA
170354,mediterranean,Increasing,NA,NA
173324,global,Increasing,NA,NA
173348,global,Increasing,NA,NA
173372,global,Increasing,NA,NA
183465,global,Increasing,NA,NA
187752,mediterranean,Increasing,NA,NA
187764,global,Increasing,NA,NA
198714,mediterranean,Increasing,NA,NA
198774,mediterranean,Increasing,NA,NA
198714,global,Increasing,NA,NA
190134,global,Increasing,NA,NA
170354,europe,Increasing,NA,NA
197086,global,Increasing,NA,NA
197087,global,Increasing,NA,NA
178023,europe,Increasing,NA,NA
18227168,global,Increasing,NA,NA
18227168,europe,Increasing,NA,NA
198626,europe,Increasing,NA,NA
18140328,europe,Increasing,NA,NA
198774,europe,Increasing,NA,NA
154807,europe,Increasing,NA,NA
190139,europe,Increasing,NA,NA
16507347,europe,Increasing,NA,NA
155123,europe,Increasing,NA,NA
8784,europe,Increasing,NA,NA
18125208,global,Increasing,NA,NA
18125208,europe,Increasing,NA,NA
2055,global,Increasing,0,lm
2060,global,Increasing,0,lm
2061,global,Increasing,-0.02058,lm
8239,global,Increasing,-0.02143,lm
9660,global,Increasing,-0,lm
13581,global,Increasing,0,lm
41664,global,Increasing,0,lm
41666,global,Increasing,0,lm
41671,global,Increasing,-0,lm
18214863,global,Increasing,NA,NA
18214863,europe,Increasing,NA,NA
198714,europe,Increasing,NA,NA
190346,europe,Increasing,NA,NA
18178550,global,Increasing,NA,NA
170322,global,Increasing,-0.03636,lm
41798,europe,Increasing,NA,NA
161717,europe,Increasing,NA,NA
2467,global,Increasing,-0.01931,lm
2478,global,Increasing,-0.00694,lm
13006,global,Increasing,-0.01868,lm
50148815,mediterranean,Increasing,NA,NA
2059,global,Increasing,-0.02058,lm
39351,global,Increasing,0,lm
161628,global,Increasing,0,lm
124553086,global,Increasing,NA,NA
60081,global,Increasing,-0.01538,lm
193266,gulf_of mexico,Increasing,NA,NA
190468,global,Increasing,NA,NA
193266,global,Increasing,0,lm
22679839,global,Increasing,-0,lm
22679872,global,Increasing,0,lm
22692146,global,Increasing,-0,lm
22693727,global,Increasing,-0,lm
22693983,global,Increasing,-0,lm
22680395,global,Increasing,-0,lm
22683442,global,Increasing,-0,lm
22692151,global,Increasing,0,lm
22695036,global,Increasing,-0,lm
22696974,global,Increasing,-0,lm
22697611,global,Increasing,-0,lm
22705986,global,Increasing,-0,lm
22705993,global,Increasing,-0,lm
22724311,global,Increasing,-0,lm
99167439,global,Increasing,NA,NA
183775,global,Increasing,0,lm
22721033,global,Increasing,-0,lm
116850766,global,Increasing,NA,NA
22712077,global,Increasing,-0,lm
22725846,global,Increasing,-0,lm
22697568,global,Increasing,-0.00747,lm
98821820,global,Increasing,NA,NA
39348,global,Increasing,-0.0103,lm
39382,global,Increasing,0,lm
39771,global,Increasing,-0.03529,lm
44609,global,Increasing,0,lm
60245,global,Increasing,0,lm
161345,global,Increasing,0,lm
161418,global,Increasing,-0.01818,lm
161419,global,Increasing,0,lm
161477,global,Increasing,-0.01818,lm
161491,global,Increasing,0,lm
161515,global,Increasing,NA,NA
161574,global,Increasing,0,lm
124569516,global,Increasing,NA,NA
161658,global,Increasing,0,lm
22693690,global,Increasing,-0,lm
2475,global,Increasing,-0,lm
22680203,global,Increasing,0.01953,lm
22698049,global,Increasing,-0,lm
22679943,global,Increasing,-0,lm
22716364,global,Increasing,-0,lm
22694847,global,Increasing,-0,lm
22698310,global,Increasing,-0.00255,lm
22680423,global,Increasing,0,lm
22694282,global,Increasing,-0,lm
22694317,global,Increasing,-0,lm
22694329,global,Increasing,-0,lm
22694334,global,Increasing,-0,lm
22694337,global,Increasing,0,lm
22694379,global,Increasing,-0,lm
22694393,global,Increasing,-0,lm
22694417,global,Increasing,-0,lm
22694432,global,Increasing,-0,lm
22694455,global,Increasing,-0,lm
22694462,global,Increasing,0,lm
22694469,global,Increasing,-0,lm
22694646,global,Increasing,-0,lm
22694841,global,Increasing,-0,lm
22696657,global,Increasing,-0,lm
22696675,global,Increasing,-0,lm
22697619,global,Increasing,0.01099,lm
22697839,global,Increasing,-0,lm
22697852,global,Increasing,-0.01185,lm
22697859,global,Increasing,-0.01074,lm
22697866,global,Increasing,0,lm
22697949,global,Increasing,-0.019,lm
22697957,global,Increasing,-0,lm
22697975,global,Increasing,-0.00283,lm
22697984,global,Increasing,-0,lm
22698088,global,Increasing,-0,lm
22698335,global,Increasing,-0.00457,lm
22698375,global,Increasing,-0.02316,lm
22728349,global,Increasing,-0,lm
22728437,global,Increasing,-0.025,lm
22733989,global,Increasing,-0,lm
22735929,global,Increasing,0,lm
62021891,global,Increasing,-0,lm
22696773,global,Increasing,-0,lm
22696776,global,Increasing,0,lm
224,global,Increasing,0.01614,lm
224,europe,Increasing,0,lm
14521,global,Increasing,NA,NA
14524,global,Increasing,NA,NA
135690,global,Increasing,-0,lm
188118,global,Increasing,NA,NA
22679859,global,Increasing,-0.00532,lm
22711374,global,Increasing,0,lm
22680229,global,Increasing,0,lm
22680367,global,Increasing,0,lm
22680462,global,Increasing,0,lm
22680472,global,Increasing,0,lm
22680364,global,Increasing,0,lm
22693379,global,Increasing,0,lm
22728393,global,Increasing,0,lm
22729706,global,Increasing,0,lm
198730,global,Increasing,NA,NA
198729,global,Increasing,NA,NA
22692913,global,Increasing,0,lm
