iucn_sid,sciname
114139495,Pelodytes atlanticus
58581,Pelophylax cretensis
58567,Pelophylax cerigensis
55270,Discoglossus pictus
2865,Bombina bombina
22212,Triturus cristatus
88316072,Bufo bufo
88316046,Bufo spinosus
182525327,Bufotes boulengeri
182530066,Bufotes viridis
173109790,Hyla meridionalis
88103927,Triturus ivanbureschi
211146190,Triturus karelinii
196236041,Pelobates vespertinus
58565,Aquarana catesbeianus
82494309,Hyla orientalis
58054,Pelobates varaldii
211757868,Lissotriton schmidtleri
172313717,Pelobates syriacus
55645,Hyla sarda
82496838,Hyla arborea
82493101,Hyla molleri
59472,Ichthyosaura alpestris
79077482,Lissotriton graecus
196236126,Pelobates fuscus
59476,Lissotriton italicus
78928690,Hyla savignyi
977,Alytes muletensis
6714,Discoglossus montalentii
55266,Alytes cisternasii
55271,Discoglossus sardus
173115779,Discoglossus galganoi
8371,Euproctus platycephalus
178592041,Alytes almogavarii
979,Alytes dickhilleni
178591974,Alytes obstetricans
77970289,Bombina variegata
153567,Bufotes balearicus
172962880,Bufotes cypriensis
4657,Chioglossa lusitanica
54598,Epidalea calamita
59449,Euproctus montanus
79079411,Lissotriton boscai
59475,Lissotriton helveticus
79079357,Lissotriton maltzani
59478,Lissotriton montandoni
61918,Lyciasalamandra helverseni
172312067,Pelobates balcanicus
58052,Pelobates cultripes
55517,Hyla intermedia
58892549,Pelophylax cypriensis
58637,Pelophylax kurtmuelleri
58605,Rana graeca
59448,Calotriton asper
79078647,Lissotriton vulgaris
58893474,Pelophylax bedriagae
19156,Rana latastei
173103952,Rana parvipalmata
19183,Rana pyrenaica
58592,Pelophylax epeiroticus
58715,Pelophylax shqipericus
58622,Rana iberica
58624,Rana italica
19843,Salamandra atra
59465,Salamandra corsica
59468,Salamandrina terdigitata
20455,Speleomantes flavus
20456,Speleomantes genei
20457,Speleomantes imperialis
58692,Pelophylax perezi
18377,Proteus anguinus
135825,Speleomantes sarrabusensis
22216,Triturus dobrogicus
59479,Triturus pygmaeus
58055,Pelodytes ibericus
20459,Speleomantes supramontis
88104000,Triturus macedonicus
58705,Pelophylax ridibundus
58707,Pelophylax saharicus
58548,Rana arvalis
58584,Rana dalmatina
173101508,Rana temporaria
59463,Pleurodeles waltl
59464,Salamandra algira
54703,Sclerophrys mauritanica
110466172,Xenopus laevis
136687833,Salamandrella keyserlingii
220668295,Tlalocohyla celeste
219709082,Theloderma corticale
59467,Salamandra salamandra
214696589,Triturus carnifex
59477,Triturus marmoratus
136162,Atelopus epikeisthos
54523,Atelopus lozanoi
54533,Atelopus nepiozomus
81646204,Atelopus marinkellei
135809,Pristimantis dendrobatoides
54480,Ansonia platysoma
54484,Ansonia tiomanica
54485,Ansonia torrentis
78903312,Feihyla inexpectata
57841,Kalophrynus nubicola
57552,Leptobrachium gunungense
57562,Leptobrachella arayai
57543,Leptobrachella brevicrus
114107161,Leptobrachella itiokai
57569,Leptobrachella maura
54466,Ansonia fuliginea
57833,Kalophrynus baluensis
57631,Megophrys baluensis
57636,Sarawakiphrys dringi
79096218,Meristogenys stenocephalus
79096248,Meristogenys stigmachilus
54865,Pelophryne api
136041,Leptomantis gadingensis
79681539,Leptomantis malkmusi
54863,Sabahphrynus maculatus
61862,Amolops aniqiaoensis
54566,Bufo ailaoanus
49546174,Boophis elenae
58317,Liurana alpina
54853,Oreophrynella quelchii
59155,Bolitoglossa diminuta
89022323,Tepuihyla luteolabris
54758,Duttaphrynus scorteccii
217017330,Micryletta lineata
175371,Phrynobatrachus intermedius
217017716,Rana sangzhiensis
217017930,Cornufer boulengeri
57541,Megophrys platyparietus
216796753,Limnonectes limborgi
74724049,Phrynobatrachus ogoensis
82465863,Cacosternum nanum
190997,Odorrana geminata
190989,Gastrophrynoides immaculatus
56194,Hyperolius raveni
59018,Rhacophorus rhyssocephalus
88329405,Hyperolius platyceps
113263541,Amietia delalandii
55180,Andinobates claudiae
18582,Pseudophryne corroboree
215691032,Bolitoglossa awajun
41050,Pseudophryne pengilleyi
59466,Salamandra infraimmaculata
213585900,Litoria balatus
213585924,Litoria quiritatus
79099268,Onychodactylus fischeri
79098997,Onychodactylus koreanus
215155811,Aubria subsigillata
58489,Ptychadena aequiplicata
79100326,Onychodactylus zhaoermii
179284569,Eupsophus roseus
12152,Litoria raniformis
13597,Mixophyes fleayi
41038,Litoria subglandulosa
61891,Kurixalus hainanus
55670,Dryophytes suweonensis
55512,Dryophytes immaculatus
13198,Mertensiella caucasica
184673273,Dryophytes flaviventris
88416883,Pelophylax lessonae
78499773,Epipedobates espinosai
135806,Pelophylax caralitanus
19304,Ranodon sibiricus
121387264,Ommatotriton ophryticus
121387164,Ommatotriton nesterovi
61916,Lyciasalamandra fazilae
207895755,Dendropsophus tapacurensis
59480,Ommatotriton vittatus
39424,Lissotriton lantzi
55718,Litoria daviesae
79115706,Proceratophrys cristiceps
121369786,Pseudopaludicola jaredi
57188,Odontophrynus carvalhoi
72766797,Euphlyctis adolfi
45505582,Pseudopaludicola ameghini
13595,Mixophyes balbus
211150139,Assa darlingtoni
79077589,Lissotriton kosswigi
211150007,Assa wollumbin
145409214,Scutiger nyingchiensis
57617,Scutiger nepalensis
58437,Nanorana rostandi
58816,Raorchestes annandalii
88428372,Polypedates teraiensis
58736,Pelophylax terentievi
58642,Hylarana leptoglossa
88127632,Microhyla nilphamariensis
57659,Megophrys zhangi
195402,Nanorana chayuensis
39421,Bufo verrucosissimus
41241,Lyciasalamandra luschani
39422,Pelodytes caucasicus
182523980,Bufotes perrini
161759,Tomopterna monticola
56077,Afrixalus septentrionalis
195582264,Adenomera amicorum
195582528,Adenomera aurantiaca
195582879,Adenomera gridipappi
195583073,Adenomera inopinata
195583215,Adenomera kayapo
195583308,Adenomera tapajonica
209667886,Sclerophrys togoensis
59557,Geotrypetes seraphini
211137592,Brachycephalus rotenbergae
211141221,Thoropa bryomantis
182522813,Bufotes baturae
54737,Rhinella proboscidea
152523448,Amolops formosus
206635758,Sphaerotheca maskeyi
59105,Hynobius turkestanicus
41052,Spicospina flammocaerulea
59405,Speleomantes strinatii
41046,Heleioporus australiacus
58388,Minervarya sahyadris
165414176,Minervarya goemchi
200998956,Hyalinobatrachium fleischmanni
201028107,Hyalinobatrachium tatayoi
57076,Eupsophus contulmoensis
154108472,Phyllomedusa chaparroi
55299,Trachycephalus venezolanus
57078,Eupsophus nahuelbutensis
100099590,Rhinella horribilis
179289183,Eupsophus septentrionalis
19845,Salamandra lanzai
136135,Salamandrina perspicillata
20454,Speleomantes ambrosii
202892,Minervarya agricola
54721,Firouzophrynus olivaceus
54768,Firouzophrynus stomaticus
57559,Leptobrachium smithi
47151057,Leptobrachium rakhinense
48886608,Minervarya sengupti
202887,Duttaphrynus wokhaensis
58787,Chirixalus doriae
58419,Nanorana blanfordii
58207,Amolops gerbillus
145402808,Kurixalus yangi
54593,Duttaphrynus brevirostris
57986,Uperodon montanus
58756,Sphaerotheca dobsonii
58788,Chirixalus dudhwaensis
58796,Chirixalus simus
47005914,Amolops afghanus
82490816,Amazophrynella amazonicola
201027973,Hyalinobatrachium viridissimum
209366118,Andinobates supata
48886659,Fejervarya limnocharis
73786986,Raorchestes aureus
41029,Litoria booroolongensis
41037,Litoria olongburensis
55065,Hyloxalus cevallosi
81645041,Atelopus barbotini
209086535,Elachistocleis nigrogularis
208598052,Amolops monticola
121370255,Minervarya cepfi
121371211,Minervarya rufescens
58645,Odorrana livida
174265377,Polypedates maculatus
54526,Atelopus mindoensis
208372349,Amolops adicola
78911234,Elachistocleis ovalis
154037601,Dendropsophus kubricki
72766291,Euphlyctis cyanophlyctis
57893,Microhyla sholigari
208597417,Firouzophrynus peninsularis
163971293,Uperodon variegatus
58023,Uperodon systoma
197661753,Uperodon anamalaiensis
57987,Uperodon mormoratus
57991,Uperodon triangularis
58022,Uperodon globulosus
58246,Ombrana sikimensis
58963,Polypedates pseudocruciger
59027,Ghatixalus variabilis
204428977,Euphlyctis kerala
202881,Rohanixalus senapatiensis
58385,Micrixalus silvaticus
58601,Hylarana garoensis
58795,Rohanixalus shyamrupus
79097757,Microhyla mymensinghensis
88369128,Micrixalus kottigeharensis
174591,Arthroleptis krokosua
208081337,Boana platanera
136113,Rana draytonii
13598,Mixophyes iteratus
3170,Anaxyrus houstonensis
54445,Bombina fortinuptialis
14872,Notophthalmus perstriatus
54355,Philoria sphagnicola
54353,Philoria kundagungan
54354,Philoria loveridgei
18583,Pseudophryne australis
57381,Philoria pughi
59266,Eurycea junaluska
154030207,Chiasmocleis bicegoi
57758,Chiasmocleis jimi
54446,Bombina lichuanensis
181161555,Dendropsophus bilobatus
73959282,Micrixalus candidus
12151,Litoria piperata
17627,Plethodon nettingi
17630,Plethodon caddoensis
17633,Plethodon ouachitae
59351,Plethodon punctatus
59019,Leptomantis robinsonii
17631,Plethodon fourchensis
19177,Rana muscosa
59284,Eurycea wallacei
59330,Plethodon amplus
59343,Plethodon jordani
59347,Plethodon meridianus
150088330,Rhinatrema gilbertogili
150088349,Rhinatrema uaiuai
178594655,Pristimantis pluvian
76508845,Acris crepitans
57637,Megophrys gigantica
59360,Plethodon virginia
204501027,Conraua sagyimase
78902111,Batrachoseps simatus
2648,Batrachoseps stebbinsi
59121,Batrachoseps diabolicus
59122,Batrachoseps gabrieli
59125,Batrachoseps incognitus
59129,Batrachoseps minor
59132,Batrachoseps regius
59133,Batrachoseps robustus
78901987,Batrachoseps altasierrae
78902103,Batrachoseps bramei
59361,Plethodon websteri
17629,Plethodon shenandoah
12154,Litoria spenceri
136131,Calotriton arnoldi
59278,Eurycea waterlooensis
78918853,Eurycea subfluvicola
59281,Gyrinophilus palleucus
195293333,Minervarya syhadrensis
206763352,Minervarya mysorensis
206766457,Minervarya nilagirica
121370882,Minervarya manoharani
206637450,Minervarya pentali
181113530,Nanohyla marmorata
54772,Bufotes surdus
82498283,Cornufer paepkei
172960203,Bufotes sitibundus
57779,Cophixalus montanus
16801,Phaeognathus hubrichti
59350,Plethodon petraeus
79079800,Lithobates pipiens
59250,Desmognathus imitator
59332,Plethodon aureolus
59257,Desmognathus santeetlah
59277,Eurycea tynerensis
113790215,Eleutherodactylus cattus
125172185,Plethodon glutinosus
125175187,Plethodon ocmulgee
125175492,Plethodon savannah
20458,Speleomantes italicus
59243,Desmognathus aeneus
196720463,Litoria littlejohni
203516776,Rana qianjiang
200070504,Boana riojana
58684,Aquarana okaloosae
59263,Eurycea chisholmensis
196720458,Litoria watsoni
200107048,Desmognathus marmoratus
125176099,Plethodon variolatus
200106818,Desmognathus aureatus
200107171,Desmognathus intermedius
88373036,Necturus punctatus
181503315,Necturus beyeri
181500830,Necturus moleri
78919360,Eurycea multiplicata
59077,Cryptobranchus alleganiensis
88373097,Necturus louisianensis
88373148,Necturus maculosus
200110450,Pseudotriton diastictus
181500910,Necturus mounti
152360401,Plethodon wehrlei
61902,Desmognathus abditus
152360128,Plethodon dixi
58549,Rana asiatica
125195737,Rana macrocnemis
10350,Dryophytes andersonii
59053,Ambystoma barbouri
59075,Amphiuma pholeter
59280,Gyrinophilus gulolineatus
59333,Plethodon cheoah
59355,Plethodon shermani
59248,Desmognathus folkertsi
59430,Necturus alabamensis
12143,Litoria aurea
8392,Eurycea sosorum
59272,Eurycea neotenes
136687743,Salamandrella tridactyla
39262,Eurycea rathbuni
200107426,Desmognathus auriculatus
78910212,Desmognathus wrighti
59432,Necturus lewisi
78904269,Desmognathus conanti
78910095,Desmognathus organi
82478904,Desmognathus planiceps
200107374,Desmognathus valentinei
78904880,Desmognathus fuscus
18581,Pseudophryne bibronii
113790586,Boana xerophylla
181496410,Hydromantes shastae
201034059,Hynobius notialis
201034106,Hynobius perplicatus
201035128,Hynobius leechii
41187,Pseudophryne dendyi
200099644,Ameerega imasmari
200103488,Ameerega panguana
48874333,Nyctibatrachus danieli
48874189,Nyctibatrachus pillaii
56041055,Raorchestes uthamani
73787557,Raorchestes flaviocularis
79128691,Raorchestes bombayensis
112690948,Nyctibatrachus athirappillyensis
112691304,Nyctibatrachus manalari
58395,Nyctibatrachus aliciae
58403,Nyctibatrachus sanctipalustris
58405,Nyctibatrachus vasanthi
58829,Raorchestes chalazodes
58909,Raorchestes graminirupes
61866,Nyctibatrachus petraeus
136045,Nyctibatrachus minimus
88378128,Nyctibatrachus anamallaiensis
54733,Bufotes pewzowi
54744,Strauchbufo raddei
58542,Rana amurensis
190987,Bufo eichwaldi
62073374,Rhaebo glaberrimus
79101476,Osteocephalus buckleyi
55167,Paruwrobates whymperi
56530,Pristimantis crenunguis
153630718,Gracixalus yunnanensis
48101220,Gracixalus quangi
57382,Philoria richmondensis
200108125,Eurycea arenicola
125165546,Limnonectes kong
58876,Philautus namdaphaensis
125165478,Limnonectes conspicillatus
125166021,Limnonectes mocquardi
46373761,Kalophrynus pleurostigma
56422,Strabomantis anomalus
200106367,Aneides aeneus
59283,Gyrinophilus subterraneus
200106196,Aneides caryaensis
200109960,Eurycea latitans
59273,Eurycea pterophila
59276,Eurycea troglodytes
43340047,Limnonectes taylori
16997,Philoria frosti
39263,Eurycea robusta
41057,Uperoleia martini
58546,Lithobates areolatus
58564,Lithobates capito
58714,Lithobates sevosus
58379,Micrixalus gadgili
45477436,Eupsophus altor
41063,Uperoleia tyleri
8376,Eupsophus migueli
112693185,Lyciasalamandra billae
1099,Ambystoma cingulatum
520,Adelotus brevis
41161,Limnodynastes interioris
57247,Engystomops coloradorum
41047,Notaden weigeli
41165,Platyplectrum spenceri
41162,Platyplectrum ornatum
41182,Notaden bennettii
41183,Notaden melanoscaphus
41184,Notaden nichollsi
202162704,Kalophrynus kiewi
78400407,Neobatrachus sudelli
41176,Neobatrachus kunapalari
41181,Neobatrachus wilsmorei
41177,Neobatrachus pelobatoides
41178,Neobatrachus pictus
41180,Neobatrachus sutor
59262,Eurycea chamberlaini
200108102,Eurycea quadridigitata
125171689,Plethodon chattahoochee
125172021,Plethodon chlorobryonis
152360261,Plethodon jacksoni
152360383,Plethodon pauleyi
200107959,Eurycea paludicola
200107830,Eurycea hillisi
200108062,Eurycea sphagnicola
88373273,Neurergus derjugini
41166,Limnodynastes tasmaniensis
41167,Limnodynastes terraereginae
41173,Neobatrachus aquilonius
41175,Neobatrachus fulvus
41172,Neobatrachus albipes
17626,Plethodon neomexicanus
149686633,Neurergus barani
149686691,Neurergus strauchii
54356,Limnodynastes lignarius
41158,Limnodynastes dorsalis
41160,Limnodynastes fletcheri
41159,Limnodynastes dumerilii
41164,Limnodynastes salmini
41163,Limnodynastes peronii
11381,Platyplectrum fletcheri
41151,Heleioporus inornatus
41152,Heleioporus psammophilus
41157,Limnodynastes depressus
41156,Limnodynastes convexiusculus
14734,Neurergus crocatus
55698,Dendropsophus xapuriensis
9763,Heleioporus albopunctatus
41149,Heleioporus barycragus
41150,Heleioporus eyrei
79079709,Lithobates kauffeldi
150088275,Siren reticulata
59025,Rhacophorus tuberculatus
41188,Pseudophryne guentheri
41189,Pseudophryne major
58050,Pseudophryne raveni
41051,Pseudophryne semimarmorata
136128,Ambystoma bishopi
121387091,Theloderma asperum
13596,Mixophyes fasciolatus
41186,Pseudophryne coriacea
136037,Mixophyes coggeri
41049,Pseudophryne douglasi
41170,Mixophyes schevilli
78546592,Pristimantis marcoreyesi
56538,Pristimantis cryophilius
56565,Pristimantis dissimulatus
56892,Pristimantis pyrrhomerus
78424958,Uperoleia rugosa
41199,Uperoleia mimula
41185,Paracrinia haswelli
135761,Mixophyes carbinensis
41171,Myobatrachus gouldii
41060,Uperoleia mjobergii
41059,Uperoleia minima
17632,Plethodon hubrichti
61905,Plethodon sherando
185664,Urspelerpes brucei
41193,Uperoleia fusca
41195,Uperoleia inundata
41196,Uperoleia laevigata
41198,Uperoleia littlejohni
41053,Uperoleia arenicola
41054,Uperoleia aspera
41056,Uperoleia crassa
41055,Uperoleia borealis
41147,Anstisia rosea
41146,Anstisia lutea
41169,Metacrinia nichollsi
41144,Geocrinia laevis
41148,Geocrinia victoriana
41145,Geocrinia leai
56524,Strabomantis cornutus
158475,Rulyrana mcdiarmidi
55095,Hyloxalus infraguttatus
56778,Pristimantis muricatus
41044,Crinia sloanei
184667209,Atelopus pulcher
41033,Litoria freycineti
41045,Crinia tinnula
41143,Crinia tasmaniensis
41141,Crinia signifera
197794510,Litoria watjulumensis
197794385,Litoria spaldingi
41139,Crinia remota
41137,Crinia parinsignifera
78918774,Eurycea bislineata
12144,Litoria brevipalmata
12155,Litoria verreauxii
41104,Litoria paraewingi
41108,Litoria revelata
78918210,Eurycea cirrigera
56534,Pristimantis crucifer
78917433,Eurycea aquatica
41113,Litoria tyleri
201033770,Hynobius geojeensis
136185,Litoria nudidigita
88340835,Litoria phyllochroa
78399177,Litoria barringtonensis
79681924,Chalcorana labialis
197274922,Oreobates chiquitanus
57853,Kaloula mediolineata
89021611,Sphaerotheca breviceps
200996217,Litoria pearsoniana
213585560,Litoria dentata
41084,Litoria citropa
41105,Litoria peronii
222289521,Lithobates chiricahuensis
41035,Litoria jervisiensis
41086,Litoria cyclorhyncha
41090,Litoria ewingii
41091,Litoria fallax
41032,Litoria cooloolensis
41103,Litoria pallida
41109,Litoria rothii
41110,Litoria rubella
41116,Litoria xanthomera
165553417,Raorchestes sanctisilvaticus
41089,Litoria eucnemis
41102,Litoria nigrofrenata
41101,Litoria nasuta
200107734,Eurycea spelaea
200107550,Eurycea braggi
200107639,Eurycea nerea
8391,Eurycea nana
200157658,Pseudacris brachyphona
59345,Plethodon kiamichi
59353,Plethodon sequoyah
200150349,Pseudacris collinsorum
200151525,Pseudacris illinoensis
73787369,Raorchestes echinatus
78399066,Litoria meiriana
41088,Litoria electrica
41092,Litoria gilleni
41094,Litoria inermis
41096,Litoria latopalmata
41095,Litoria infrafrenata
41097,Litoria longirostris
41099,Litoria microbelos
41080,Litoria bicolor
41082,Litoria caerulea
202903,Raorchestes manipurensis
73787038,Raorchestes blandus
41075,Cyclorana novaehollandiae
41073,Cyclorana maini
41077,Cyclorana vagitus
41078,Cyclorana verrucosa
78535891,Pristimantis almendariz
78550321,Pristimantis punzan
78550348,Pristimantis puruscafeum
99395112,Pristimantis llanganati
222337463,Limnonectes blythii
58354,Limnonectes malesianus
58847,Raorchestes glandulosus
58917,Raorchestes bobingeri
58927,Raorchestes travancoricus
61885,Raorchestes nerostagona
186160,Raorchestes chotta
186161,Raorchestes coonoorensis
187830,Raorchestes chromasynchysi
79128538,Raorchestes ghatei
61874,Rana pseudodalmatina
19181,Lithobates yavapaiensis
19148,Lithobates fisheri
41068,Cyclorana brevipes
41067,Cyclorana australis
41066,Cyclorana alboguttata
41072,Cyclorana maculosa
41071,Cyclorana longipes
41070,Cyclorana cultripes
41069,Cyclorana cryptotis
41087,Litoria dahlii
41085,Litoria coplandi
41112,Litoria tornieri
55100,Allobates kingsburyi
19175,Rana boylii
41028,Litoria andiirrmalin
135760,Litoria staccato
41081,Litoria burrowsi
41111,Litoria splendida
59509,Caecilia crassisquama
59539,Chthonerpeton onorei
59435,Rhyacotriton cascadae
59437,Rhyacotriton olympicus
58951,Zhangixalus hungfuensis
186874168,Kurixalus absconditus
178599024,Kurixalus chaseni
12153,Litoria rheocola
41079,Litoria adelaidensis
41100,Litoria moorei
41106,Litoria personata
19179,Rana pretiosa
55604,Boana picturata
41031,Litoria cavernicola
41074,Cyclorana manya
1098,Ambystoma californiense
200068919,Nanorana phrynoides
56713,Pristimantis leoni
56812,Pristimantis orcesi
158542,Pristimantis kichwarum
62073384,Rhaebo ecuadorensis
56706,Pristimantis latidiscus
56830,Pristimantis parvillus
54856,Osornophryne bufoniformis
56981,Pristimantis subsigillatus
200235663,Scinax quinquefasciatus
55999,Scinax sugillatus
78538632,Pristimantis bellae
78968318,Hyloxalus yasuni
78548439,Pristimantis mazar
78550281,Pristimantis mindo
18434723,Pristimantis minimus
78554333,Pristimantis roni
78554351,Pristimantis rufoviridis
56717,Pristimantis librarius
54568,Rhinella amabilis
54597,Rhaebo caeruleostictus
54946,Nymphargus anomalus
55080,Hyloxalus fallax
55138,Hyloxalus pumilus
55357,Gastrotheca riobambae
56453,Pristimantis baryecuus
56649,Strabomantis helonotus
56791,Pristimantis nigrogriseus
56804,Pristimantis ocreatus
56854,Pristimantis philipi
56884,Pristimantis pteridophilus
56890,Pristimantis pycnodermis
56927,Pristimantis rubicundus
57108,Lynchius simmonsi
59529,Caecilia subterminalis
99395322,Pristimantis pinchaque
99395659,Pristimantis sacharuna
99395797,Pristimantis pichincha
99397349,Pristimantis kuri
99399621,Pristimantis hampatusami
19178,Lithobates onca
146962764,Trachycephalus vermiculatus
146963287,Trachycephalus quadrangulum
146963251,Trachycephalus macrotis
150088116,Scinax tsachila
154017586,Amazophrynella siona
184675833,Boana appendiculata
185789,Hyalinobatrachium carlesvilai
191002,Pristimantis reichlei
192947,Pristimantis academicus
100099625,Rhinella marina
125196721,Hyalinobatrachium mondolfii
55023,Hyalinobatrachium munozorum
55059,Allobates brunneus
55407,Boana benitezi
55419,Dendropsophus bokermanni
87739676,Dendropsophus brevifrons
55500,Dendropsophus haraldschultzi
55526,Dendropsophus koechlini
55904,Pseudis paradoxa
56299,Adelophryne adiastola
85854608,Leptodactylus bolivianus
57121,Leptodactylus didymus
88340686,Leptodactylus validus
57373,Leptodactylus discodactylus
58021,Chiasmocleis tridactyla
81660396,Bolitoglossa altamazonica
45467741,Allophryne resplendens
45472495,Rhinatrema ron
45473178,Brasilotyphlus guarantanus
45473232,Microcaecilia rochai
45473248,Microcaecilia trombetas
45509203,Pseudopaludicola hyleaustralis
45727627,Atelopus hoogmoedi
45727746,Hyalinobatrachium cappellei
46080288,Leptodactylus guianensis
48086028,Proceratophrys strussmannae
150087058,Rhinella margaritifera
55994,Scinax ruber
57283,Pleurodema brachyops
54971,Teratohyla midas
57432950,Elachistocleis muiraquitan
58850505,Amazophrynella manaos
58850556,Amazophrynella vote
29408,Osteocephalus oophagus
200091062,Rhinella dapsilis
54749,Rhinella roqueana
54805,Amazophrynella bokermanni
62073288,Amazophrynella minuta
55191,Dendrobates leucomelas
55204,Dendrobates tinctorius
77187961,Ameerega hahneli
154212265,Ameerega petersi
55373,Dendropsophus acreanus
55378,Boana albopunctata
55426,Boana calcarata
55467,Boana dentei
91950241,Boana geographica
55494,Boana cinerascens
55504,Boana hobbsi
55530,Boana lanciformis
55533,Dendropsophus leali
55548,Dendropsophus marmoratus
55551,Dendropsophus melanargyreus
55559,Boana microderma
55569,Dendropsophus miyatai
55575,Dendropsophus nanus
55581,Boana ornatissima
154037856,Dendropsophus parviceps
55620,Boana punctata
55625,Dendropsophus rhodopeplus
55633,Dendropsophus rossalleni
55644,Dendropsophus sarayacuensis
55650,Dendropsophus schubarti
78125294,Dendropsophus timbeba
88382872,Dendropsophus triangulum
55690,Dendropsophus walfordi
55693,Boana wavrini
55790,Osteocephalus cabrerai
55798,Osteocephalus leprieurii
55802,Osteocephalus subtilis
88383035,Osteocephalus taurinus
146964915,Trachycephalus coriaceus
79680060,Trachycephalus resinifictrix
55838,Callimedusa atelopoides
55841,Phyllomedusa bicolor
125197791,Pithecopus hypochondrialis
55859,Pithecopus palliatus
55864,Phyllomedusa tarsius
55866,Callimedusa tomopterna
55868,Phyllomedusa vaillantii
55936,Scinax boesemani
55946,Scinax chiquitanus
55948,Scinax cruentomma
55956,Scinax funereus
79680397,Scinax fuscomarginatus
55959,Scinax garbei
55965,Scinax ictericus
55970,Scinax lindsayi
55986,Scinax pedromedinae
130326501,Pristimantis altamazonicus
56480,Pristimantis buccinator
56496,Pristimantis carvalhoi
56509,Pristimantis chiastonotus
56521,Pristimantis conspicillatus
56558,Pristimantis diadematus
56594,Pristimantis eurydactylus
56599,Pristimantis fenestratus
56644,Pristimantis gutturalis
56695,Pristimantis lacrimosus
56700,Pristimantis lanthanites
56739,Pristimantis malkini
88432762,Pristimantis marmoratus
56746,Pristimantis martiae
154112542,Pristimantis ockendeni
56848,Pristimantis peruvianus
88433404,Pristimantis skydmainos
57010,Pristimantis toftae
57029,Pristimantis variabilis
57044,Pristimantis vilarsi
57064,Pristimantis zeuctotylus
58164,Pipa snethlageae
59514,Caecilia gracilis
247636199,Caecilia tentaculata
89094522,Typhlonectes compressicauda
136071,Rhinella magnussoni
171812,Boana tepuiana
190998,Osteocephalus castaneicola
191001,Pristimantis orcus
77185474,Adenomera simonstuarti
77653716,Allobates femoralis
77736376,Allobates sumtuosus
12156,Litoria lorica
78458222,Chiasmocleis ventrimaculata
79097297,Microcaecilia taylori
79115377,Pristimantis luscombei
56385,Edalorhina perezi
56337,Ceratophrys cornuta
88990965,Rhaebo guttatus
54565,Rhinella acutirostris
56983,Strabomantis sulcatus
58689,Lithobates palmipes
57122,Leptodactylus diedrus
57135,Leptodactylus knudseni
57142,Leptodactylus longirostris
57140,Leptodactylus leptodactyloides
55207,Ranitomeya variabilis
179010704,Leptodactylus mystaceus
57160,Leptodactylus rhodomystax
57154,Leptodactylus pentadactylus
211139302,Leptodactylus petersii
57168,Leptodactylus stenodema
57161,Leptodactylus rhodonotus
57163,Leptodactylus riveroi
57175,Leptodactylus wagneri
190492,Allobates paleovarzensis
57066,Pristimantis zimmermanae
55160,Allobates trilineatus
57084,Hydrolaetare schmidti
57105,Oreobates quixensis
