iucn_sid,sciname,year,old_cat,cat,cat_score,iucn_version
222,Acipenser brevirostrum,2022,VU,VU,0.4,2025-1
224,Acipenser naccarii,2022,CR,CR,0.8,2025-1
225,Acipenser nudiventris,2024,CR,CR,0.8,2025-1
229,Acipenser stellatus,2024,CR,CR,0.8,2025-1
230,Acipenser sturio,2024,CR,CR,0.8,2025-1
231,Acipenser dabryanus,2022,EW,EX,1,2025-1
232,Acipenser gueldenstaedtii,2024,CR,CR,0.8,2025-1
233,Acipenser medirostris,2022,EN,EN,0.6,2025-1
234,Acipenser transmontanus,2022,VU,VU,0.4,2025-1
235,Acipenser persicus,2024,CR,CR,0.8,2025-1
241,Acipenser mikadoi,2022,CR,CR,0.8,2025-1
244,Acipenser baerii,2022,CR,CR,0.8,2025-1
245,Acipenser oxyrinchus,2024,CR,CR,0.8,2025-1
903,Alosa alosa,2024,CR,CR,0.8,2025-1
904,Alosa fallax,2024,LC,LC,0,2025-1
906,Alosa maeotica,2024,LC,LC,0,2025-1
907,Alosa immaculata,2024,LC,LC,0,2025-1
908,Alosa alabamae,2021,NT,NT,0.2,2025-1
1086,Amblyrhynchus cristatus,2020,VU,VU,0.4,2025-1
1118,Pholidoscelis polops,2017,EN,EN,0.6,2025-1
1308,Anisotremus moricandi,2015,LC,LC,0,2025-1
1615,Choranthias salmopunctatus,2015,LC,LC,0,2025-1
1793,Aonyx capensis,2021,NT,NT,0.2,2025-1
1866,Aplochiton marinus,2022,VU,VU,0.4,2025-1
2055,Arctocephalus australis,2016,LC,LC,0,2025-1
2057,Arctocephalus galapagoensis,2015,EN,EN,0.6,2025-1
2058,Arctocephalus gazella,2016,LC,LC,0,2025-1
2059,Arctocephalus philippii,2015,LC,LC,0,2025-1
2060,Arctocephalus pusillus,2015,LC,LC,0,2025-1
2061,Arctocephalus townsendi,2015,LC,LC,0,2025-1
2062,Arctocephalus tropicalis,2015,LC,LC,0,2025-1
2113,Arius madagascariensis,2016,LC,LC,0,2025-1
2174,Nilssonia leithii,2021,CR,CR,0.8,2025-1
2467,Balaena mysticetus,2023,VU,VU,0.4,2025-1
2474,Balaenoptera acutorostrata,2023,LC,LC,0,2025-1
2475,Balaenoptera borealis,2023,LC,LC,0,2025-1
2476,Balaenoptera edeni,2023,VU,VU,0.4,2025-1
2477,Balaenoptera musculus,2023,NT,NT,0.2,2025-1
2478,Balaenoptera physalus,2023,LC,LC,0,2025-1
2480,Balaenoptera bonaerensis,2018,NT,NT,0.2,2025-1
2539,Balistes vetula,2015,DD,DD,NA,2025-1
2621,Bathygobius burtoni,2015,EN,EN,0.6,2025-1
2636,Bathyraja abyssicola,2024,LC,LC,0,2025-1
2644,Batrachoides manglae,2020,LC,LC,0,2025-1
2761,Benthophiloides brauneri,2024,LC,LC,0,2025-1
2762,Berardius arnuxii,2021,LC,LC,0,2025-1
2763,Berardius bairdii,2020,LC,LC,0,2025-1
2895,Bostrychus zonatus,2019,LC,LC,0,2025-1
2958,Brachionichthys hirsutus,2020,CR,CR,0.8,2025-1
3381,Butis butis,2017,LC,LC,0,2025-1
3590,Callorhinus ursinus,2015,VU,VU,0.4,2025-1
3755,Lupulella mesomelas,2014,LC,LC,0,2025-1
3764,Canthigaster rapaensis,2014,EN,EN,0.6,2025-1
