iucn_sid,habs,max_depth
222,"9_10, 10_1, 12_5",200 m +
224,"9_4, 9_5, 9_6, 9_10",< 200 m
225,9_10,< 200 m
229,"9_4, 9_5, 9_6, 9_10",< 200 m
230,"9_3, 9_4, 9_5, 9_6, 9_10",< 200 m
231,9_10,< 200 m
232,"9_4, 9_5, 9_6, 9_10",< 200 m
233,"9_1, 9_4, 9_5, 9_10, 12_2",< 200 m
234,"9_10, 10_1",200 m +
235,"9_4, 9_5, 9_6, 9_10",< 200 m
241,"9_4, 9_5, 9_6, 9_10",< 200 m
244,9_10,< 200 m
245,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_9, 9_10, 10_1, 10_2, 12_1, 12_2, 12_3, 12_4, 12_5",200 m +
903,"9_1, 9_10, 10_1",200 m +
904,"9_1, 9_10, 10_1",200 m +
906,"9_1, 9_10",< 200 m
907,"9_1, 9_10",< 200 m
908,"9_1, 9_3, 9_4, 9_5, 9_10, 12_2",< 200 m
1086,"9_2, 12_1, 12_2, 12_3, 12_4",< 200 m
1118,12_2,< 20 m
1308,"9_2, 9_8, 9_10, 12_6, 15_11",< 200 m
1615,"9_2, 9_3, 9_4, 9_5, 9_6",< 200 m
1793,"9_10, 12_5",< 200 m
1866,9_10,< 200 m
2055,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
2057,"9_1, 10_1, 12_1, 13_1",200 m +
2058,"9_1, 10_1, 12_1, 13_1",200 m +
2059,"9_1, 9_2, 10_1, 12_1, 13_1",200 m +
2060,"9_1, 10_1, 12_1, 13_1",200 m +
2061,"9_1, 9_2, 10_1, 12_1, 13_1",200 m +
2062,"9_1, 10_1, 12_1, 13_1",200 m +
2113,9_10,< 200 m
2174,9_10,< 200 m
2467,"9_1, 10_1, 10_2",200 m +
2474,"9_1, 10_1",200 m +
2475,"9_1, 10_1, 10_2",200 m +
2476,"9_1, 10_1, 10_2, 10_3",deep oceanic
2477,"9_1, 10_1, 10_2",200 m +
2478,"9_1, 10_1, 10_2",200 m +
2480,"9_1, 10_1",200 m +
2539,"9_2, 9_4, 9_7, 9_8_3, 9_8, 9_9",< 200 m
2621,"12_1, 12_6",< 20 m
2636,"11_1_1, 11_1_2, 11_5",200 m +
2644,"9_6, 12_7",< 200 m
2761,9_10,< 200 m
2762,"10_1, 10_2, 10_3",deep oceanic
2763,"10_1, 10_2, 10_3",deep oceanic
2811,13_1,unknown
2895,"9_10, 12_6, 12_7",< 200 m
2958,"9_3, 9_10",< 200 m
3381,"9_10, 12_6, 12_7",< 200 m
3590,"9_1, 10_1, 12_1, 13_1",200 m +
3755,12_3,< 20 m
3764,"9_8_2, 9_8_3, 9_8_4, 9_8_6, 9_8",< 200 m
3778,"9_1, 10_1",200 m +
3851,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_4, 9_8, 9_10, 10_1, 12_2",200 m +
3852,"9_1, 9_10, 10_1, 10_2, 11_1_1, 11_1_2",200 m +
