iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
222,Acipenser brevirostrum,Shortnose Sturgeon,2004,VU,A2ce; B1ab(iii),VU,0.4,2020-3
224,Acipenser naccarii,Adriatic sturgeon,2011,CR,"A2bcde; B2ab(i,ii,iii,iv,v)",CR,0.8,2020-3
225,Acipenser nudiventris,Ship sturgeon,2010,CR,A2cde,CR,0.8,2020-3
229,Acipenser stellatus,Stellate sturgeon,2010,CR,A2cde,CR,0.8,2020-3
230,Acipenser sturio,Atlantic sturgeon,2010,CR,"A2cde; B2ab(ii,iii,v)",CR,0.8,2020-3
232,Acipenser gueldenstaedtii,Russian sturgeon,2010,CR,A2bcde,CR,0.8,2020-3
233,Acipenser medirostris,Green Sturgeon,2006,NT,NA,NT,0.2,2020-3
234,Acipenser transmontanus,White Sturgeon,2004,LC,NA,LC,0,2020-3
235,Acipenser persicus,Persian Sturgeon,2010,CR,A2cde,CR,0.8,2020-3
236,Acipenser sinensis,Chinese Sturgeon,2010,CR,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",CR,0.8,2020-3
241,Acipenser mikadoi,Sakhalin Sturgeon,2010,CR,A2cde,CR,0.8,2020-3
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,2006,VU,A2cde,VU,0.4,2020-3
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,2006,NT,NA,NT,0.2,2020-3
245,Acipenser oxyrinchus,Gulf Sturgeon,2006,NT,NA,NT,0.2,2020-3
678,Agathothoma finalis,NA,1996,DD,NA,DD,NA,2020-3
907,Alosa immaculata,NA,2008,VU,B2ab(v),VU,0.4,2020-3
908,Alosa alabamae,Alabama Shad,2010,DD,NA,DD,NA,2020-3
1086,Amblyrhynchus cristatus,Marine Iguana,2020,VU,A2abce+4abce,VU,0.4,2020-3
1308,Anisotremus moricandi,Brownstriped Grunt,2015,LC,NA,LC,0,2020-3
1615,Choranthias salmopunctatus,NA,2015,LC,NA,LC,0,2020-3
1793,Aonyx capensis,African Clawless Otter,2015,NT,NA,NT,0.2,2020-3
1866,Aplochiton marinus,NA,1996,DD,NA,DD,NA,2020-3
2055,Arctocephalus australis,South American Fur Seal,2016,LC,NA,LC,0,2020-3
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,2015,EN,A2ab,EN,0.6,2020-3
2058,Arctocephalus gazella,Antarctic Fur Seal,2016,LC,NA,LC,0,2020-3
2059,Arctocephalus philippii,Juan Fernández Fur Seal,2015,LC,NA,LC,0,2020-3
2060,Arctocephalus pusillus,Afro-Australian Fur Seal,2015,LC,NA,LC,0,2020-3
2061,Arctocephalus townsendi,Guadalupe Fur Seal,2015,LC,NA,LC,0,2020-3
2062,Arctocephalus tropicalis,Subantarctic Fur Seal,2015,LC,NA,LC,0,2020-3
2064,Arctocephalus australis ssp. australis,South American Fur Seal,2016,LC,NA,LC,0,2020-3
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,2015,LC,NA,LC,0,2020-3
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,2015,LC,NA,LC,0,2020-3
2113,Arius madagascariensis,Madagascar Sea Catfish,2016,LC,NA,LC,0,2020-3
2179,Assiminea infirma,Badwater Snail,1996,VU,B1+2c,VU,0.4,2020-3
2181,Assiminea palauensis,NA,1996,DD,NA,DD,NA,2020-3
2182,Assiminea pecos,Pecos Assiminea,1996,EN,B1+2c,EN,0.6,2020-3
2218,Astraea heliotropium,NA,2000,LR/lc,NA,LC,0,2020-3
2352,Atherina boyeri,Black Sea Silverside,2008,LC,NA,LC,0,2020-3
2467,Balaena mysticetus,Bowhead Whale,2018,LC,NA,LC,0,2020-3
2468,Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation,Bowhead Whale Bering-Chukchi-Beaufort Seas subpopulation,1996,LR/cd,NA,VU,0.4,2020-3
2469,Balaena mysticetus Okhotsk Sea subpopulation,Okhotsk Sea Bowhead Whale,2018,EN,D,EN,0.6,2020-3
2472,Balaena mysticetus East Greenland-Svalbard-Barents Sea subpopulation,Bowhead Whale,2018,EN,D,EN,0.6,2020-3
2474,Balaenoptera acutorostrata,Common Minke Whale,2018,LC,NA,LC,0,2020-3
2475,Balaenoptera borealis,Sei Whale,2018,EN,A1abd,EN,0.6,2020-3
2476,Balaenoptera edeni,Bryde's Whale,2018,LC,NA,LC,0,2020-3
2477,Balaenoptera musculus,Blue Whale,2018,EN,A1abd,EN,0.6,2020-3
2478,Balaenoptera physalus,Fin Whale,2018,VU,A1d,VU,0.4,2020-3
2480,Balaenoptera bonaerensis,Antarctic Minke Whale,2018,NT,NA,NT,0.2,2020-3
2539,Balistes vetula,Queen Triggerfish,2015,NT,NA,NT,0.2,2020-3
2621,Bathygobius burtoni,NA,2015,EN,B2ab(iii),EN,0.6,2020-3
2636,Bathyraja abyssicola,Deepsea Skate,2015,DD,NA,DD,NA,2020-3
2637,Batillaria mutata,NA,1996,DD,NA,DD,NA,2020-3
2644,Batrachoides manglae,Cotuero Toadfish,2020,LC,NA,LC,0,2020-3
2762,Berardius arnuxii,Arnoux's Beaked Whale,2020,LC,NA,LC,0,2020-3
2763,Berardius bairdii,Baird's Beaked Whale,2020,LC,NA,LC,0,2020-3
2811,Birgus latro,Coconut Crab,2020,VU,A2cd+4cd,VU,0.4,2020-3
2895,Bostrychus zonatus,Sunset Gudgeon,2019,LC,NA,LC,0,2020-3
2958,Brachionichthys hirsutus,Spotted Handfish,2020,CR,"B1ab(iii,v)",CR,0.8,2020-3
3381,Butis butis,Crimson-tipped Gudgeon,2017,LC,NA,LC,0,2020-3
3565,Callionymus sanctaehelenae,St Helena Dragonet,1996,CR,D,CR,0.8,2020-3
3590,Callorhinus ursinus,Northern Fur Seal,2015,VU,A2b,VU,0.4,2020-3
3764,Canthigaster rapaensis,NA,2014,EN,B2ab(iii),EN,0.6,2020-3
3778,Caperea marginata,Pygmy Right Whale,2018,LC,NA,LC,0,2020-3
