iucn_sid,range_km2,sciname,dbf_file
224,18411.24999809265,Acipenser naccarii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
225,0,Acipenser nudiventris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
230,911532.7500362396,Acipenser sturio,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
233,459308.24991321564,Acipenser medirostris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
234,175008.99996852875,Acipenser transmontanus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
235,0,Acipenser persicus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
241,203449.00000286102,Acipenser mikadoi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
244,21704.99999809265,Acipenser baerii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
245,1312337.750066042,Acipenser oxyrinchus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
903,907068.2500374317,Alosa alosa,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART9.dbf
904,572181.2500081062,Alosa fallax,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART5.dbf
906,165841.00004386902,Alosa maeotica,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART6.dbf
907,162423.750041008,Alosa immaculata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART2.dbf
908,153040.49999570847,Alosa alabamae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART7.dbf
1086,1298.2500052452087,Amblyrhynchus cristatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/REPTILES_PART1.dbf
1308,254731.0000076294,Anisotremus moricandi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SEABREAMS_SNAPPERS_GRUNTS.dbf
1615,0,Choranthias salmopunctatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
1866,123.49999618530273,Aplochiton marinus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
2055,1557346.2500562668,Arctocephalus australis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
2057,105672.75001525879,Arctocephalus galapagoensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
2058,17528675.50000763,Arctocephalus gazella,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
2059,3801781.249977112,Arctocephalus philippii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
