"year","nutrient","nutrient_sum","type"
"2005","N",190397192.10003,"manure"
"2005","P",40600526.3206446,"manure"
"2006","N",190400215.197638,"manure"
"2006","P",40601257.7297547,"manure"
"2007","N",190399273.901667,"manure"
"2007","P",40601031.720752,"manure"
"2008","N",190399278.828471,"manure"
"2008","P",40601032.898639,"manure"
"2009","N",190398704.614005,"manure"
"2009","P",40600895.0391643,"manure"
"2010","N",190398685.68684,"manure"
"2010","P",40600890.4952972,"manure"
"2011","N",190401496.627121,"manure"
"2011","P",40601565.3740138,"manure"
"2012","N",191428324.073026,"manure"
"2012","P",40786171.9034142,"manure"
"2013","N",191436742.544561,"manure"
"2013","P",40787799.5220208,"manure"
"2014","N",191436381.556906,"manure"
"2014","P",40787712.8336921,"manure"
"2015","N",191427021.469861,"manure"
"2015","P",40785864.4312329,"manure"
"2016","N",191427110.767804,"manure"
"2016","P",40785885.8744413,"manure"
"2017","N",191426523.406013,"manure"
"2017","P",40785743.7804148,"manure"
"2018","N",191294794.479586,"manure"
"2018","P",40757827.5193391,"manure"
"2019","N",191294522.035516,"manure"
"2019","P",40757762.1294326,"manure"
