"year","nutrient","nutrient_sum"
"2019","P",17860515.5603993
"2019","N",101479521.791048
"2018","P",18013002.1883139
"2018","N",101389633.754793
"2017","P",18253754.4186603
"2017","N",102706978.512582
"2016","P",17726101.7020362
"2016","N",100790546.838879
"2015","P",17769066.026421
"2015","N",99608443.8831236
"2014","P",18038473.165635
"2014","N",100580677.598025
"2013","P",18052467.1116397
"2013","N",100338169.288697
"2012","P",17799249.2825965
"2012","N",98591239.0744955
"2011","P",18263417.4139344
"2011","N",98279705.8432672
"2010","P",17946675.332639
"2010","N",95144626.9085406
"2009","P",15748060.4544947
"2009","N",91420288.2908151
"2008","P",14337750.1373408
"2008","N",88975978.4497159
"2007","P",15972765.9742962
"2007","N",90189100.8665278
"2006","P",16127504.6091384
"2006","N",87132797.8963818
"2005","P",15534192.1179828
"2005","N",84410324.1844695
