"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum"
"N",2005,"leached","crop_manure",53140991.4761417,17697478.8728729
"N",2005,"leached","crop",17000634.2005406,5729260.73303512
"N",2005,"leached","manure",36140357.2756011,11968218.1398378
"N",2006,"leached","crop_manure",53680531.7969402,17872240.6248773
"N",2006,"leached","crop",17508246.0857605,5896175.51325735
"N",2006,"leached","manure",36172285.7111797,11976065.11162
"N",2007,"leached","crop_manure",54217527.2960933,18049343.7282514
"N",2007,"leached","crop",18021948.1206784,6065764.3417336
"N",2007,"leached","manure",36195579.1754149,11983579.3865178
"N",2008,"leached","crop_manure",53892355.1175902,17953398.6771399
"N",2008,"leached","crop",17761481.132907,5988615.94604335
"N",2008,"leached","manure",36130873.9846832,11964782.7310966
"N",2009,"leached","crop_manure",54134082.4481473,18029775.2472743
"N",2009,"leached","crop",18017878.1647598,6070242.86821815
"N",2009,"leached","manure",36116204.2833875,11959532.3790562
"N",2010,"leached","crop_manure",54909840.0872522,18281654.4916483
"N",2010,"leached","crop",18720181.3428663,6298509.62177935
"N",2010,"leached","manure",36189658.7443859,11983144.869869
"N",2011,"leached","crop_manure",55554405.389129,18499876.2980048
"N",2011,"leached","crop",19333174.3271686,6506157.81149811
"N",2011,"leached","manure",36221231.0619604,11993718.4865067
"N",2012,"leached","crop_manure",55751534.012122,18558929.4157258
"N",2012,"leached","crop",19394909.9498715,6528252.2264256
"N",2012,"leached","manure",36356624.0622505,12030677.1893002
"N",2013,"leached","crop_manure",55946596.1965935,18621865.9910198
"N",2013,"leached","crop",19577754.8125764,6587137.86115041
"N",2013,"leached","manure",36368841.384017,12034728.1298694
"N",2014,"leached","crop_manure",56050387.2649922,18658794.9966281
"N",2014,"leached","crop",19667181.5320543,6618443.41089769
"N",2014,"leached","manure",36383205.7329379,12040351.5857304
"N",2015,"leached","crop_manure",55949955.1390738,18622692.7328967
"N",2015,"leached","crop",19562416.1371776,6580198.48361641
"N",2015,"leached","manure",36387539.0018962,12042494.2492803
"N",2016,"leached","crop_manure",55885624.6680143,18597348.318933
"N",2016,"leached","crop",19505821.1217729,6557476.41568353
"N",2016,"leached","manure",36379803.5462414,12039871.9032495
"N",2017,"leached","crop_manure",55895452.9800486,18595575.8128666
"N",2017,"leached","crop",19514446.4919459,6555307.81982673
"N",2017,"leached","manure",36381006.4881027,12040267.9930399
"N",2018,"leached","crop_manure",55511021.110551,18464797.9459414
"N",2018,"leached","crop",19168857.6096839,6435281.44591295
"N",2018,"leached","manure",36342163.5008671,12029516.5000284
"N",2019,"leached","crop_manure",55317410.6628718,18386208.7159394
"N",2019,"leached","crop",18991769.5379968,6362471.07893419
"N",2019,"leached","manure",36325641.124875,12023737.6370052
"N",2005,"volt","crop_manure",82234087.8971575,475113.60946315
"N",2005,"volt","crop",13206524.1626124,79986.5489798275
"N",2005,"volt","manure",69027563.7345452,395127.060483322
"N",2006,"volt","crop_manure",82689069.3949473,476390.579825127
"N",2006,"volt","crop",13662497.8014737,81340.8177496178
"N",2006,"volt","manure",69026571.5934736,395049.762075509
"N",2007,"volt","crop_manure",83174087.8366948,479253.191216504
"N",2007,"volt","crop",14140426.6644297,84153.7175049772
"N",2007,"volt","manure",69033661.1722652,395099.473711526
"N",2008,"volt","crop_manure",83147068.1374339,479033.702605839
"N",2008,"volt","crop",14117524.3411478,83904.1869594889
"N",2008,"volt","manure",69029543.7962861,395129.51564635
"N",2009,"volt","crop_manure",83616664.5598806,481992.492596966
"N",2009,"volt","crop",14601404.6643205,87000.7633212912
"N",2009,"volt","manure",69015259.8955601,394991.729275675
"N",2010,"volt","crop_manure",84172530.0438143,485014.329492513
"N",2010,"volt","crop",15142271.9333303,89889.9397778958
"N",2010,"volt","manure",69030258.110484,395124.389714617
"N",2011,"volt","crop_manure",84666108.50963,487470.242699623
"N",2011,"volt","crop",15633325.6995141,92378.968560112
"N",2011,"volt","manure",69032782.8101159,395091.274139511
"N",2012,"volt","crop_manure",84865172.3745399,487239.935142777
"N",2012,"volt","crop",15583765.9446151,91637.8191603825
"N",2012,"volt","manure",69281406.4299248,395602.115982394
"N",2013,"volt","crop_manure",85188488.9449777,489140.892603754
"N",2013,"volt","crop",15899420.2885939,93505.8536162426
"N",2013,"volt","manure",69289068.6563839,395635.038987512
"N",2014,"volt","crop_manure",85275596.174586,490236.237640425
"N",2014,"volt","crop",15977840.2351739,94528.1755501843
"N",2014,"volt","manure",69297755.9394121,395708.062090241
"N",2015,"volt","crop_manure",85103391.5891456,489348.722162084
"N",2015,"volt","crop",15807363.2380568,93628.6344604335
"N",2015,"volt","manure",69296028.3510887,395720.08770165
"N",2016,"volt","crop_manure",85251226.9004982,489997.523726454
"N",2016,"volt","crop",15951913.4053767,94280.4838644901
"N",2016,"volt","manure",69299313.4951215,395717.039861964
"N",2017,"volt","crop_manure",85594753.2106884,492343.653804465
"N",2017,"volt","crop",16290550.2723175,96599.6632048766
"N",2017,"volt","manure",69304202.9383709,395743.990599589
"N",2018,"volt","crop_manure",85335356.8818597,491072.415940863
"N",2018,"volt","crop",16091848.4157853,95584.1071228821
"N",2018,"volt","manure",69243508.4660745,395488.308817981
"N",2019,"volt","crop_manure",85408994.041005,491014.702494591
"N",2019,"volt","crop",16165675.1863587,95527.808756621
"N",2019,"volt","manure",69243318.8546463,395486.89373797
