"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum","total_nutrient_applied","percent_excluded_before","percent_excluded_after"
"N",2005,"leached","crop_manure",53140991.4761417,17697478.8728729,274807516.2845,0.193375320277363,0.0643995444962694
"N",2005,"leached","crop",17000634.2005406,5729260.73303512,84410324.1844695,0.20140467845364,0.067873933531098
"N",2005,"leached","manure",36140357.2756011,11968218.1398378,190397192.10003,0.189815600098839,0.0628592155579164
"N",2006,"leached","crop_manure",53680531.7969402,17872240.6248773,277533013.09402,0.19342034736154,0.0643968096826835
"N",2006,"leached","crop",17508246.0857605,5896175.51325735,87132797.8963818,0.200937494358683,0.0676688417634548
"N",2006,"leached","manure",36172285.7111797,11976065.11162,190400215.197638,0.189980277457315,0.0628994305452264
"N",2007,"leached","crop_manure",54217527.2960933,18049343.7282514,280588374.768195,0.193227988653787,0.0643267695718423
"N",2007,"leached","crop",18021948.1206784,6065764.3417336,90189100.8665278,0.199824013628314,0.067256068454551
"N",2007,"leached","manure",36195579.1754149,11983579.3865178,190399273.901667,0.190103556771484,0.0629392073874546
"N",2008,"leached","crop_manure",53892355.1175902,17953398.6771399,279375257.278187,0.192903106891557,0.064262665391527
"N",2008,"leached","crop",17761481.132907,5988615.94604335,88975978.4497159,0.199621082480647,0.0673059858445701
"N",2008,"leached","manure",36130873.9846832,11964782.7310966,190399278.828471,0.189763712378518,0.0628404834551688
"N",2009,"leached","crop_manure",54134082.4481473,18029775.2472743,281818992.90482,0.192088126815605,0.0639764377178211
"N",2009,"leached","crop",18017878.1647598,6070242.86821815,91420288.2908151,0.197088398009023,0.0663992969362362
"N",2009,"leached","manure",36116204.2833875,11959532.3790562,190398704.614005,0.189687237403247,0.0628130974068429
"N",2010,"leached","crop_manure",54909840.0872522,18281654.4916483,285543312.595381,0.192299513471921,0.0640241031228551
"N",2010,"leached","crop",18720181.3428663,6298509.62177935,95144626.9085406,0.196755002895344,0.0661993201973864
"N",2010,"leached","manure",36189658.7443859,11983144.869869,190398685.68684,0.190073049159116,0.0629371196898827
"N",2011,"leached","crop_manure",55554405.389129,18499876.2980048,288681202.470388,0.192442060354891,0.0640841043327109
"N",2011,"leached","crop",19333174.3271686,6506157.81149811,98279705.8432672,0.196715834274071,0.0662004200732335
"N",2011,"leached","manure",36221231.0619604,11993718.4865067,190401496.627121,0.190236062760029,0.0629917237992881
"N",2012,"leached","crop_manure",55751534.012122,18558929.4157258,290019563.147521,0.192233701089203,0.0639919914860557
"N",2012,"leached","crop",19394909.9498715,6528252.2264256,98591239.0744955,0.196720419906851,0.0662153380737294
