scientificname,rgn_id,fao_id,RAM_area_m2,stockid,stocklong
Ammodytes spp,59,27,3453427228,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,59,27,3453427228,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,59,27,3453427228,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,141,27,2330112693,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,141,27,2330112693,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,141,27,2330112693,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,175,27,48335089509,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,175,27,48335089509,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,175,27,48335089509,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,176,27,40743508379,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,176,27,40743508379,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,176,27,40743508379,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,177,27,63404122231,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,177,27,63404122231,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,177,27,63404122231,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,179,27,1875053389,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,179,27,1875053389,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,179,27,1875053389,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,180,27,306922000000,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,180,27,306922000000,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,180,27,306922000000,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,223,27,137277000000,SEELNSSA1,Sand eel Sandeel Area 1
Ammodytes spp,223,27,137277000000,SEELNSSA2,Sand eel Sandeel Area 2
Ammodytes spp,223,27,137277000000,SEELNSSA3,Sand eel Sandeel Area 3
Ammodytes spp,223,27,NA,SEELNSSA4,Sand eel Sandeel Area 4
Bathyraja parmifera,73,67,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
Bathyraja parmifera,73,61,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
Bathyraja parmifera,163,67,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
Bathyraja parmifera,163,61,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
Caulolatilus microps,163,31,NA,BLTILESATLC,Blueline tilefish Southern Atlantic coast
Caulolatilus microps,163,21,NA,BLTILESATLC,Blueline tilefish Southern Atlantic coast
Centroberyx gerrardi,16,57,511884000000,BIGHTREDSE,Bight redfish Southeast Australia
Centroberyx gerrardi,16,81,9554514306,BIGHTREDSE,Bight redfish Southeast Australia
Chionoecetes bairdi,163,61,27569734262,TANNERCRABBSAI,Tanner crab Bering Sea and Aleutian Islands
Chionoecetes bairdi,163,67,262305000000,TANNERCRABBSAI,Tanner crab Bering Sea and Aleutian Islands
Chrysophrys auratus,3,81,144076461,NZSNAPNZ8,New Zealand snapper New Zealand Area 8 (Auckland and Central West)
Chrysophrys auratus,162,81,44383445710,NZSNAPNZ1BOP-HAGU,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf
Chrysophrys auratus,162,81,195795000000,NZSNAPNZ1ENLD,New Zealand snapper New Zealand SNA 1 east Northland
Chrysophrys auratus,162,81,335150000000,NZSNAPNZ7,New Zealand snapper New Zealand SNA 7
Chrysophrys auratus,162,81,382948000000,NZSNAPNZ8,New Zealand snapper New Zealand Area 8 (Auckland and Central West)
Chrysophrys auratus,276,81,28081993.52,NZSNAPNZ7,New Zealand snapper New Zealand SNA 7
Chrysophrys auratus,276,81,27959424.77,NZSNAPNZ8,New Zealand snapper New Zealand Area 8 (Auckland and Central West)
Cleisthenes herzensteini,210,61,NA,PHFLOUNSOJ,Pointhead flounder Sea of Japan
Eopsetta grigorjewi,210,61,NA,RSFLOUNSOJ,Round nose flounder Sea of Japan
Etrumeus teres,20,61,NA,RHERRTSST,Round herring Tsushima Strait
Etrumeus teres,209,61,NA,RHERRTSST,Round herring Tsushima Strait
Etrumeus teres,210,61,NA,RHERRTSST,Round herring Tsushima Strait
Haliotis iris,162,81,3232547955,PAUANPAU5A,Paua NZ Area North PAUA 5A
Haliotis iris,162,81,10920769848,PAUAPAU7,Paua New Zealand Area PAU 7 (Marlborough)
Haliotis iris,162,81,4055324832,PAUASPAU5A,Paua NZ Area South PAUA 5A
Haliotis iris,162,81,4679310466,PAUAPAU5B,Paua New Zealand Area PAU 5B (Stewart Island)
Haliotis iris,162,81,7600357527,PAUAPAU5D,Paua New Zealand Area PAU 5D (Otago)
Hexagrammos decagrammus,163,67,180771000000,KELPGREENLINGORECOAST,Kelp greenling Oregon Coast
Hexagrammos decagrammus,273,67,12419579.78,KELPGREENLINGORECOAST,Kelp greenling Oregon Coast
Istiompax indica,1,57,467246000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,2,57,328011000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,16,57,2986740000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,25,57,119029000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,26,57,660044000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,28,51,164528000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,29,51,62931711919,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,30,51,43410343144,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,31,51,1332330000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,32,51,314873000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,33,51,62210846312,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,34,51,121568000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,35,51,125064000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,36,51,270501000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,37,51,1272730000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,38,51,638542000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,39,51,914973000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,39,57,1343085812,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,40,57,530775000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,41,51,571965000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,42,51,1198440000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,43,51,111798000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,44,51,779164000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,46,51,5298695620,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,47,51,506967000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,48,51,533679000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,53,51,221421000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,54,51,4343757184,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,92,51,318760000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,92,57,67813595445,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,102,47,373392000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,102,51,317901000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,191,51,64395837804,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,202,51,241257000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,203,51,1007480000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,203,57,622574000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,204,57,85408160236,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,205,57,514844000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,206,57,61958457416,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,206,71,2263.235493,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,216,57,1442980000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,216,71,677530.6313,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,255,51,51291261274,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,255,57,3244749705,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,267,47,249562000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,269,47,4.084240562,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,269,51,15605600000000,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,269,57,32.50872765,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,270,51,8.941224277,BLKMARLINIO,Black marlin Indian Ocean
Istiompax indica,270,57,15108100000000,BLKMARLINIO,Black marlin Indian Ocean
Kajikia audax,1,57,467246000000,STMARLINIO,Striped marlin Indian Ocean
Kajikia audax,2,57,328011000000,STMARLINIO,Striped marlin Indian Ocean
Kajikia audax,3,81,431062000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,5,71,1275670000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,5,81,93728142960,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,6,71,618924000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,7,71,1600530000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,8,71,604366000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,9,71,2883030000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,9,71,23425528811,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,10,71,85100155951,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,10,71,126914000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,11,71,1992340000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,12,61,158382000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,12,71,248835000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,13,61,230288000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,13,71,740702000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,14,61,182140000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,14,71,1577124071,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,15,61,101513000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,15,71,1497480000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,16,57,2986740000000,STMARLINIO,Striped marlin Indian Ocean
Kajikia audax,16,57,88675011235,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,16,71,1633690000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,16,81,1092860000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,17,71,172935000000,STMARLINWCNPAC,Striped marlin Western and Central North Pacific
Kajikia audax,17,71,2080590000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
Kajikia audax,18,71,1281860000000,STMARLINSWPO,Striped marlin Western Pacific Ocean
