"rgn_id","fao_id","RAM_area_m2","stockid","stocklong","idtemp2"
145,21,NA,"COD1f-XIV","Atlantic cod NAFO 1f and ICES 14",1
145,27,NA,"COD1f-XIV","Atlantic cod NAFO 1f and ICES 14",2
16,57,NA,"BTSHRIMPNAUST","Brown tiger shrimp Northern Australia",3
16,71,NA,"BTSHRIMPNAUST","Brown tiger shrimp Northern Australia",4
16,57,NA,"GTPRAWNNAUST","Grooved tiger prawn Northern Australia",5
16,71,NA,"GTPRAWNNAUST","Grooved tiger prawn Northern Australia",6
80,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",7
82,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",8
184,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",9
186,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",10
187,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",11
232,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",12
223,27,NA,"SEELNSSA4","Sand eel Sandeel Area 4",13
16,57,NA,"SARDWSE","Sardine Western half of Southeast Australia",14
163,21,NA,"SPURDNEATL","Spurdog Northeast Atlantic",15
218,21,NA,"SPURDNEATL","Spurdog Northeast Atlantic",16
