"rgn_id","fao_id","RAM_area_m2","stockid","stocklong"
1,57,22190928463,"SBT","Southern bluefin tuna Southern Oceans"
1,57,4.67246e+11,"ALBAIO","Albacore tuna Indian Ocean"
1,57,4.67246e+11,"BIGEYEIO","Bigeye tuna Indian Ocean"
1,57,4.67246e+11,"BLKMARLINIO","Black marlin Indian Ocean"
1,57,4.67246e+11,"BMARLINIO","Indo-Pacific blue marlin Indian Ocean"
1,57,4.67246e+11,"SKJCIO","Skipjack tuna Indian Ocean"
1,57,4.67246e+11,"STMARLINIO","Striped marlin Indian Ocean"
1,57,4.67246e+11,"SWORDIO","Swordfish Indian Ocean"
1,57,4.67246e+11,"YFINEIO","Yellowfin tuna Indian Ocean"
2,57,3.28011e+11,"SBT","Southern bluefin tuna Southern Oceans"
2,57,3.28011e+11,"ALBAIO","Albacore tuna Indian Ocean"
2,57,3.28011e+11,"BIGEYEIO","Bigeye tuna Indian Ocean"
2,57,3.28011e+11,"BLKMARLINIO","Black marlin Indian Ocean"
2,57,3.28011e+11,"BMARLINIO","Indo-Pacific blue marlin Indian Ocean"
2,57,3.28011e+11,"SKJCIO","Skipjack tuna Indian Ocean"
2,57,3.28011e+11,"STMARLINIO","Striped marlin Indian Ocean"
2,57,3.28011e+11,"SWORDIO","Swordfish Indian Ocean"
2,57,3.28011e+11,"YFINEIO","Yellowfin tuna Indian Ocean"
3,81,2.81681e+11,"SBT","Southern bluefin tuna Southern Oceans"
3,81,4.31062e+11,"BMARLINPAC","Blue marlin Pacific Ocean"
3,81,4.31062e+11,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
3,81,144076461,"HOKIWNZ","Hoki Western New Zealand"
3,81,144076860.9,"BNSNZ","Bluenose New Zealand"
3,81,144076461,"NZSNAPNZ8","New Zealand snapper New Zealand Area 8"
3,81,144076461,"GEMFISHNZ","common gemfish New Zealand"
3,81,4.31062e+11,"ALBASPAC","Albacore tuna South Pacific Ocean"
3,81,4.31062e+11,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
3,81,4.31062e+11,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
3,81,4.31062e+11,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
4,81,31989999752,"SBT","Southern bluefin tuna Southern Oceans"
4,81,4.75572e+11,"PTOOTHFISHMI","Patagonian toothfish Macquarie Island"
5,71,1.27567e+12,"BMARLINPAC","Blue marlin Pacific Ocean"
5,71,1.27567e+12,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
5,71,1.27567e+12,"ALBASPAC","Albacore tuna South Pacific Ocean"
5,71,1.27567e+12,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
5,71,5.62826e+11,"SKJCWPAC","Skipjack tuna Central Western Pacific"
5,71,1.27567e+12,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
5,71,1.27567e+12,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
5,81,93728142960,"BMARLINPAC","Blue marlin Pacific Ocean"
5,81,93728142960,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
5,81,93728142960,"ALBASPAC","Albacore tuna South Pacific Ocean"
5,81,93728142960,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
5,81,93728142960,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
5,81,93728142960,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
6,71,6.18924e+11,"BMARLINPAC","Blue marlin Pacific Ocean"
6,71,6.18924e+11,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
6,71,6.18924e+11,"ALBASPAC","Albacore tuna South Pacific Ocean"
6,71,6.18924e+11,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
6,71,6.06814e+11,"SKJCWPAC","Skipjack tuna Central Western Pacific"
6,71,6.18924e+11,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
6,71,6.18924e+11,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
7,71,1.60053e+12,"BMARLINPAC","Blue marlin Pacific Ocean"
7,71,1.60053e+12,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
7,71,1.60053e+12,"ALBASPAC","Albacore tuna South Pacific Ocean"
7,71,1.60053e+12,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
7,71,1.60053e+12,"SKJCWPAC","Skipjack tuna Central Western Pacific"
7,71,1.60053e+12,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
7,71,1.60053e+12,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
8,71,6.04366e+11,"ALBANPAC","Albacore tuna North Pacific"
8,71,6.04366e+11,"BMARLINPAC","Blue marlin Pacific Ocean"
8,71,6.04366e+11,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
8,71,6.04366e+11,"STMARLINWCNPAC","Striped marlin Western and Central North Pacific"
8,71,6.04366e+11,"SWORDNPAC","Swordfish North Pacific"
8,71,6.04366e+11,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
8,71,6.04366e+11,"SKJCWPAC","Skipjack tuna Central Western Pacific"
8,71,6.04366e+11,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
9,71,2.97638e+12,"ALBANPAC","Albacore tuna North Pacific"
9,71,2.99274e+12,"BMARLINPAC","Blue marlin Pacific Ocean"
9,71,2.99274e+12,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
9,71,2.88303e+12,"STMARLINWCNPAC","Striped marlin Western and Central North Pacific"
9,71,2.93239e+12,"SWORDNPAC","Swordfish North Pacific"
9,71,1.56772e+11,"ALBASPAC","Albacore tuna South Pacific Ocean"
9,71,2.99274e+12,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
9,71,2.99274e+12,"SKJCWPAC","Skipjack tuna Central Western Pacific"
9,71,23425528811,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
9,71,2.99274e+12,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
10,71,1.66506e+11,"ALBANPAC","Albacore tuna North Pacific"
10,71,3.08501e+11,"BMARLINPAC","Blue marlin Pacific Ocean"
10,71,3.08501e+11,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
10,71,85100155951,"STMARLINWCNPAC","Striped marlin Western and Central North Pacific"
10,71,1.26918e+11,"SWORDNPAC","Swordfish North Pacific"
10,71,2.59155e+11,"ALBASPAC","Albacore tuna South Pacific Ocean"
10,71,3.08501e+11,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
10,71,3.08501e+11,"SKJCWPAC","Skipjack tuna Central Western Pacific"
10,71,1.26914e+11,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
10,71,3.08501e+11,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
11,71,1.99234e+12,"ALBANPAC","Albacore tuna North Pacific"
11,71,1.99234e+12,"BMARLINPAC","Blue marlin Pacific Ocean"
11,71,1.99234e+12,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
11,71,1.99234e+12,"STMARLINWCNPAC","Striped marlin Western and Central North Pacific"
11,71,1.99234e+12,"SWORDNPAC","Swordfish North Pacific"
11,71,1.99234e+12,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
11,71,1.99234e+12,"SKJCWPAC","Skipjack tuna Central Western Pacific"
11,71,1.99234e+12,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
12,61,1.58382e+11,"ALBANPAC","Albacore tuna North Pacific"
12,61,1.58382e+11,"BMARLINPAC","Blue marlin Pacific Ocean"
12,61,1.58382e+11,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
12,61,1.58382e+11,"STMARLINWCNPAC","Striped marlin Western and Central North Pacific"
12,61,1.58382e+11,"SWORDNPAC","Swordfish North Pacific"
12,61,1.58382e+11,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
12,61,1.58382e+11,"SKJCWPAC","Skipjack tuna Central Western Pacific"
12,61,1.58382e+11,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
12,71,2.48835e+11,"ALBANPAC","Albacore tuna North Pacific"
12,71,2.48835e+11,"BMARLINPAC","Blue marlin Pacific Ocean"
12,71,2.48835e+11,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
12,71,2.48835e+11,"STMARLINWCNPAC","Striped marlin Western and Central North Pacific"
