country,year,value,unit,sector,data_source
Algeria,1988,0,USD (1),aqf,FAO global trade
Algeria,1989,0,USD (1),aqf,FAO global trade
Algeria,1990,0,USD (1),aqf,FAO global trade
Algeria,1991,0,USD (1),aqf,FAO global trade
Algeria,1992,0,USD (1),aqf,FAO global trade
Algeria,1993,0,USD (1),aqf,FAO global trade
Algeria,1994,0,USD (1),aqf,FAO global trade
Algeria,1995,0,USD (1),aqf,FAO global trade
Algeria,1996,0,USD (1),aqf,FAO global trade
Algeria,1997,0,USD (1),aqf,FAO global trade
Algeria,1998,0,USD (1),aqf,FAO global trade
Algeria,1999,0,USD (1),aqf,FAO global trade
Algeria,2000,0,USD (1),aqf,FAO global trade
Algeria,2001,3000,USD (1),aqf,FAO global trade
Algeria,2002,2000,USD (1),aqf,FAO global trade
Algeria,2003,12000,USD (1),aqf,FAO global trade
Algeria,2004,8000,USD (1),aqf,FAO global trade
Algeria,2005,5000,USD (1),aqf,FAO global trade
Algeria,2006,100,USD (1),aqf,FAO global trade
Algeria,2007,4000,USD (1),aqf,FAO global trade
Algeria,2008,0,USD (1),aqf,FAO global trade
Algeria,2009,0,USD (1),aqf,FAO global trade
Algeria,2010,0,USD (1),aqf,FAO global trade
Algeria,2011,0,USD (1),aqf,FAO global trade
Algeria,2012,0,USD (1),aqf,FAO global trade
Algeria,2013,0,USD (1),aqf,FAO global trade
Algeria,2014,0,USD (1),aqf,FAO global trade
Algeria,2015,0,USD (1),aqf,FAO global trade
Algeria,2016,0,USD (1),aqf,FAO global trade
Algeria,2017,0,USD (1),aqf,FAO global trade
Algeria,2018,0,USD (1),aqf,FAO global trade
Algeria,2019,0,USD (1),aqf,FAO global trade
Algeria,2020,0,USD (1),aqf,FAO global trade
Algeria,2021,0,USD (1),aqf,FAO global trade
Angola,1976,0,USD (1),aqf,FAO global trade
Angola,1977,0,USD (1),aqf,FAO global trade
Angola,1978,0,USD (1),aqf,FAO global trade
Angola,1979,0,USD (1),aqf,FAO global trade
Angola,1980,0,USD (1),aqf,FAO global trade
Angola,1981,0,USD (1),aqf,FAO global trade
Angola,1982,0,USD (1),aqf,FAO global trade
Angola,1983,0,USD (1),aqf,FAO global trade
Angola,1984,0,USD (1),aqf,FAO global trade
Angola,1985,0,USD (1),aqf,FAO global trade
