"rgn_id","year","gapfilled","method"
82,"2018",0,NA
82,"2020",0,NA
120,"2018",0,NA
120,"2020",0,NA
59,"2018",0,NA
59,"2020",0,NA
164,"2018",0,NA
164,"2020",0,NA
71,"2018",0,NA
71,"2020",0,NA
56,"2018",0,NA
56,"2020",0,NA
224,"2018",0,NA
224,"2020",0,NA
195,"2018",0,NA
195,"2020",0,NA
187,"2018",0,NA
187,"2020",0,NA
112,"2018",0,NA
112,"2020",0,NA
81,"2018",0,NA
81,"2020",0,NA
175,"2018",0,NA
175,"2020",0,NA
45,"2018",0,NA
45,"2020",0,NA
70,"2018",0,NA
70,"2020",0,NA
179,"2018",0,NA
179,"2020",0,NA
176,"2018",0,NA
176,"2020",0,NA
80,"2018",0,NA
80,"2020",0,NA
136,"2018",0,NA
136,"2020",0,NA
167,"2018",0,NA
167,"2020",0,NA
133,"2018",0,NA
133,"2020",0,NA
181,"2018",0,NA
181,"2020",0,NA
166,"2018",0,NA
166,"2020",0,NA
210,"2018",0,NA
210,"2020",0,NA
69,"2018",0,NA
69,"2020",0,NA
78,"2018",0,NA
78,"2020",0,NA
189,"2018",0,NA
189,"2020",0,NA
42,"2018",0,NA
42,"2020",0,NA
39,"2018",0,NA
39,"2020",0,NA
68,"2018",0,NA
68,"2020",0,NA
135,"2018",0,NA
135,"2020",0,NA
9,"2018",0,NA
9,"2020",0,NA
62,"2018",0,NA
62,"2020",0,NA
205,"2018",0,NA
205,"2020",0,NA
177,"2018",0,NA
177,"2020",0,NA
162,"2018",0,NA
162,"2020",0,NA
48,"2018",0,NA
48,"2020",0,NA
53,"2018",0,NA
53,"2020",0,NA
8,"2018",0,NA
8,"2020",0,NA
138,"2018",0,NA
138,"2020",0,NA
15,"2018",0,NA
15,"2020",0,NA
178,"2018",0,NA
178,"2020",0,NA
183,"2018",0,NA
183,"2020",0,NA
72,"2018",0,NA
72,"2020",0,NA
119,"2018",0,NA
119,"2020",0,NA
127,"2018",0,NA
127,"2020",0,NA
152,"2018",0,NA
152,"2020",0,NA
188,"2018",0,NA
188,"2020",0,NA
7,"2018",0,NA
7,"2020",0,NA
182,"2018",0,NA
182,"2020",0,NA
168,"2018",0,NA
168,"2020",0,NA
222,"2018",0,NA
222,"2020",0,NA
25,"2018",0,NA
25,"2020",0,NA
155,"2018",0,NA
155,"2020",0,NA
126,"2018",0,NA
126,"2020",0,NA
76,"2018",0,NA
76,"2020",0,NA
173,"2018",0,NA
173,"2020",0,NA
139,"2018",0,NA
139,"2020",0,NA
207,"2018",0,NA
207,"2020",0,NA
12,"2018",1,"Used continental score"
12,"2020",1,"Used continental score"
149,"2018",1,"Used continental score"
149,"2020",1,"Used continental score"
150,"2018",1,"Used continental score"
150,"2020",1,"Used continental score"
158,"2018",1,"Used continental score"
158,"2020",1,"Used continental score"
159,"2018",1,"Used continental score"
159,"2020",1,"Used continental score"
88,"2018",1,"Used developing small island score"
88,"2020",1,"Used developing small island score"
84,"2018",1,"Used sub-regions score"
84,"2020",1,"Used sub-regions score"
151,"2018",1,"Used developing small island score"
151,"2020",1,"Used developing small island score"
16,"2018",1,"Used sub-regions score"
16,"2020",1,"Used sub-regions score"
52,"2018",1,"Used sub-regions score"
52,"2020",1,"Used sub-regions score"
108,"2018",1,"Used sub-regions score"
108,"2020",1,"Used sub-regions score"
232,"2018",1,"Used sub-regions score"
232,"2020",1,"Used sub-regions score"
247,"2018",1,"Used sub-regions score"
247,"2020",1,"Used sub-regions score"
2,"2018",1,"Used sub-regions score"
2,"2020",1,"Used sub-regions score"
1,"2018",1,"Used sub-regions score"
1,"2020",1,"Used sub-regions score"
153,"2018",1,"Used developing small island score"
153,"2020",1,"Used developing small island score"
21,"2018",1,"Used sub-regions score"
21,"2020",1,"Used sub-regions score"
214,"2018",1,"Used sub-regions score"
214,"2020",1,"Used sub-regions score"
147,"2018",1,"Used developing small island score"
147,"2020",1,"Used developing small island score"
60,"2018",1,"Used sub-regions score"
60,"2020",1,"Used sub-regions score"
145,"2018",1,"Used sub-regions score"
145,"2020",1,"Used sub-regions score"
13,"2018",1,"Used developing small island score"
13,"2020",1,"Used developing small island score"
228,"2018",1,"Used sub-regions score"
228,"2020",1,"Used sub-regions score"
94,"2018",1,"Used sub-regions score"
94,"2020",1,"Used sub-regions score"
192,"2018",1,"Used sub-regions score"
192,"2020",1,"Used sub-regions score"
79,"2018",1,"Used sub-regions score"
79,"2020",1,"Used sub-regions score"
227,"2018",1,"Used sub-regions score"
227,"2020",1,"Used sub-regions score"
215,"2018",1,"Used sub-regions score"
215,"2020",1,"Used sub-regions score"
51,"2018",1,"Used sub-regions score"
51,"2020",1,"Used sub-regions score"
11,"2018",1,"Used developing small island score"
11,"2020",1,"Used developing small island score"
185,"2018",1,"Used sub-regions score"
185,"2020",1,"Used sub-regions score"
5,"2018",1,"Used developing small island score"
5,"2020",1,"Used developing small island score"
154,"2018",1,"Used developing small island score"
154,"2020",1,"Used developing small island score"
3,"2018",1,"Used sub-regions score"
3,"2020",1,"Used sub-regions score"
223,"2018",1,"Used sub-regions score"
223,"2020",1,"Used sub-regions score"
17,"2018",1,"Used developing small island score"
17,"2020",1,"Used developing small island score"
146,"2018",1,"Used sub-regions score"
146,"2020",1,"Used sub-regions score"
190,"2018",1,"Used sub-regions score"
190,"2020",1,"Used sub-regions score"
219,"2018",1,"Used sub-regions score"
219,"2020",1,"Used sub-regions score"
208,"2018",1,"Used developing small island score"
208,"2020",1,"Used developing small island score"
144,"2018",1,"Used sub-regions score"
144,"2020",1,"Used sub-regions score"
77,"2018",1,"Used sub-regions score"
77,"2020",1,"Used sub-regions score"
231,"2018",1,"Used developing small island score"
231,"2020",1,"Used developing small island score"
156,"2018",1,"Used sub-regions score"
156,"2020",1,"Used sub-regions score"
61,"2018",1,"Used sub-regions score"
61,"2020",1,"Used sub-regions score"
19,"2018",1,"Used developing small island score"
19,"2020",1,"Used developing small island score"
54,"2018",1,"Used sub-regions score"
54,"2020",1,"Used sub-regions score"
163,"2018",1,"Used sub-regions score"
163,"2020",1,"Used sub-regions score"
161,"2018",1,"Used sub-regions score"
161,"2020",1,"Used sub-regions score"
63,"2018",1,"Used sub-regions score"
63,"2020",1,"Used sub-regions score"
47,"2018",1,"Used sub-regions score"
47,"2020",1,"Used sub-regions score"
26,"2018",1,"Used developing small island score"
26,"2020",1,"Used developing small island score"
55,"2018",1,"Used sub-regions score"
