animal,system,product,year,total_N_volt
buffaloes,grassland,milk,2005,29080.234434806192
buffaloes,grassland,milk,2006,29076.86363078729
buffaloes,grassland,milk,2007,29083.426955436684
buffaloes,grassland,milk,2008,29058.741738175024
buffaloes,grassland,milk,2009,29035.004750653818
buffaloes,grassland,milk,2010,29030.810692714822
buffaloes,grassland,milk,2011,29042.93647832982
buffaloes,grassland,milk,2012,29043.69860390812
buffaloes,grassland,milk,2013,29050.386343018832
buffaloes,grassland,milk,2014,29046.286634709082
buffaloes,grassland,milk,2015,29054.7430715988
buffaloes,grassland,milk,2016,29058.23941561424
buffaloes,grassland,milk,2017,29056.025197199135
buffaloes,grassland,milk,2018,29053.89853189346
buffaloes,grassland,milk,2019,29056.077840994374
buffaloes,mixed,milk,2005,743969.6697304053
buffaloes,mixed,milk,2006,743969.6697304053
buffaloes,mixed,milk,2007,743969.6697304053
buffaloes,mixed,milk,2008,743969.6697304053
buffaloes,mixed,milk,2009,743969.6697304053
buffaloes,mixed,milk,2010,743969.6697304053
buffaloes,mixed,milk,2011,743969.6697304053
buffaloes,mixed,milk,2012,743969.6697304053
buffaloes,mixed,milk,2013,743969.6697304053
buffaloes,mixed,milk,2014,743969.6697304053
buffaloes,mixed,milk,2015,743969.6697304053
buffaloes,mixed,milk,2016,743969.6697304053
buffaloes,mixed,milk,2017,743969.6697304053
buffaloes,mixed,milk,2018,743969.6697304053
buffaloes,mixed,milk,2019,743969.6697304053
chickens,backyard,eggs&meat,2005,500787.60660684033
chickens,backyard,eggs&meat,2006,500787.60660684033
chickens,backyard,eggs&meat,2007,500787.60660684033
chickens,backyard,eggs&meat,2008,500787.60660684033
chickens,backyard,eggs&meat,2009,500787.60660684033
chickens,backyard,eggs&meat,2010,500787.60660684033
chickens,backyard,eggs&meat,2011,500787.60660684033
chickens,backyard,eggs&meat,2012,501637.96024938626
chickens,backyard,eggs&meat,2013,504021.7273183952
chickens,backyard,eggs&meat,2014,504021.79952917685
chickens,backyard,eggs&meat,2015,501615.416059317
chickens,backyard,eggs&meat,2016,501615.416059317
chickens,backyard,eggs&meat,2017,501621.907204452
chickens,backyard,eggs&meat,2018,501454.3397336667
chickens,backyard,eggs&meat,2019,501454.25949974597
chickens,industrial,eggs,2005,1376370.6178334388
chickens,industrial,eggs,2006,1376370.6178334388
chickens,industrial,eggs,2007,1376370.6178334388
chickens,industrial,eggs,2008,1376370.6178334388
chickens,industrial,eggs,2009,1376370.6178334388
chickens,industrial,eggs,2010,1376370.6178334388
chickens,industrial,eggs,2011,1376370.6178334388
chickens,industrial,eggs,2012,1376551.5130598536
chickens,industrial,eggs,2013,1376551.5130598536
chickens,industrial,eggs,2014,1376551.5130598536
chickens,industrial,eggs,2015,1376551.5130598536
chickens,industrial,eggs,2016,1376551.5130598536
chickens,industrial,eggs,2017,1376551.5130598536
chickens,industrial,eggs,2018,1339255.539416804
chickens,industrial,eggs,2019,1339255.539416804
chickens,industrial,meat,2005,996550.9890161089
chickens,industrial,meat,2006,996550.9890161089
chickens,industrial,meat,2007,996550.9890161089
chickens,industrial,meat,2008,996550.9890161089
chickens,industrial,meat,2009,996550.9890161089
chickens,industrial,meat,2010,996550.9890161089
chickens,industrial,meat,2011,996550.9890161089
chickens,industrial,meat,2012,996671.6859338919
chickens,industrial,meat,2013,996671.6859338919
chickens,industrial,meat,2014,996671.6859338919
chickens,industrial,meat,2015,996671.6859338919
chickens,industrial,meat,2016,996671.6859338919
chickens,industrial,meat,2017,996671.6859338919
chickens,industrial,meat,2018,975007.0650904442
chickens,industrial,meat,2019,975007.0650904442
cows,feedlot,meat,2005,373316.9366160258
cows,feedlot,meat,2006,373316.9366154614
cows,feedlot,meat,2007,373316.9366160258
cows,feedlot,meat,2008,373316.9366160249
cows,feedlot,meat,2009,373316.9366160258
cows,feedlot,meat,2010,373316.9366159513
cows,feedlot,meat,2011,373316.9366160249
cows,feedlot,meat,2012,373316.93661625235
cows,feedlot,meat,2013,373316.9366160258
cows,feedlot,meat,2014,373316.9366160258
cows,feedlot,meat,2015,373316.9366163157
cows,feedlot,meat,2016,373316.9366160249
cows,feedlot,meat,2017,373316.9366160258
cows,feedlot,meat,2018,373316.9366159513
cows,feedlot,meat,2019,373316.9366155322
cows,grassland,meat,2005,3769004.8056486566
cows,grassland,meat,2006,3768296.3170280205
cows,grassland,meat,2007,3774565.931887609
cows,grassland,meat,2008,3769933.453842919
cows,grassland,meat,2009,3761940.960734018
cows,grassland,meat,2010,3771261.182471119
cows,grassland,meat,2011,3772145.95796784
cows,grassland,meat,2012,3790897.3061069115
cows,grassland,meat,2013,3794533.0746319364
cows,grassland,meat,2014,3799503.65564005
cows,grassland,meat,2015,3798762.2598369787
cows,grassland,meat,2016,3800905.922951365
cows,grassland,meat,2017,3804083.708007278
cows,grassland,meat,2018,3802357.98680949
cows,grassland,meat,2019,3802228.2348372363
cows,grassland,milk,2005,1177184.6967128953
cows,grassland,milk,2006,1175521.1703170852
cows,grassland,milk,2007,1177353.1625968744
cows,grassland,milk,2008,1177196.3955307936
cows,grassland,milk,2009,1174016.1167969636
cows,grassland,milk,2010,1177579.312361886
cows,grassland,milk,2011,1178313.3001949245
cows,grassland,milk,2012,1224808.4410222576
cows,grassland,milk,2013,1225614.7785551199
cows,grassland,milk,2014,1227579.7857130487
cows,grassland,milk,2015,1229021.3316437926
cows,grassland,milk,2016,1229613.2098166316
cows,grassland,milk,2017,1230437.8129297276
cows,grassland,milk,2018,1230048.3231969022
cows,grassland,milk,2019,1230109.7909216736
cows,mixed,meat,2005,11141828.20495865
cows,mixed,meat,2006,11141828.204950152
cows,mixed,meat,2007,11141828.204958828
cows,mixed,meat,2008,11141828.20495844
cows,mixed,meat,2009,11141828.204961719
cows,mixed,meat,2010,11141828.204961503
cows,mixed,meat,2011,11141828.20495844
cows,mixed,meat,2012,11161570.831109326
cows,mixed,meat,2013,11161570.83111025
cows,mixed,meat,2014,11161570.831111144
cows,mixed,meat,2015,11161570.83111174
cows,mixed,meat,2016,11161570.831110481
cows,mixed,meat,2017,11161570.831109744
cows,mixed,meat,2018,11161570.831110451
cows,mixed,meat,2019,11161570.831104644
cows,mixed,milk,2005,4465975.951328567
cows,mixed,milk,2006,4465975.951322659
cows,mixed,milk,2007,4465975.9513178095
cows,mixed,milk,2008,4465975.95132249
cows,mixed,milk,2009,4465975.951330652
cows,mixed,milk,2010,4465975.951329238
cows,mixed,milk,2011,4465975.9513245765
cows,mixed,milk,2012,4521498.169406126
cows,mixed,milk,2013,4521498.169401987
cows,mixed,milk,2014,4521498.16940412
cows,mixed,milk,2015,4521498.169409403
cows,mixed,milk,2016,4521498.169390363
cows,mixed,milk,2017,4521498.169402304
cows,mixed,milk,2018,4521498.169406323
cows,mixed,milk,2019,4521498.169408009
goats,grassland,meat,2005,793169.2585324232
goats,grassland,meat,2006,793368.3538427267
goats,grassland,meat,2007,793227.1846062355
goats,grassland,meat,2008,793268.0498268342
goats,grassland,meat,2009,793040.7262998626
goats,grassland,meat,2010,793095.0318335152
goats,grassland,meat,2011,792853.6156177758
goats,grassland,meat,2012,803500.5724953959
goats,grassland,meat,2013,803544.029756551
goats,grassland,meat,2014,803613.6240529411
goats,grassland,meat,2015,803516.3974548666
goats,grassland,meat,2016,803538.0760527687
goats,grassland,meat,2017,803624.8862886871
goats,grassland,meat,2018,803657.7628265239
goats,grassland,meat,2019,803673.6158502048
goats,grassland,milk,2005,163822.8752220411
goats,grassland,milk,2006,163904.88883784032
goats,grassland,milk,2007,163801.30296847422
goats,grassland,milk,2008,163864.0992279084
goats,grassland,milk,2009,163691.42153686337
goats,grassland,milk,2010,163783.28279772375
goats,grassland,milk,2011,163755.56398952217
goats,grassland,milk,2012,174782.02688886234
goats,grassland,milk,2013,174816.98217245936
goats,grassland,milk,2014,174848.9688588247
goats,grassland,milk,2015,174807.78491322394
goats,grassland,milk,2016,174813.68468501695
goats,grassland,milk,2017,174830.55006995818
goats,grassland,milk,2018,174811.61318532916
goats,grassland,milk,2019,174844.56855183045
goats,mixed,meat,2005,2597535.676490433
goats,mixed,meat,2006,2597427.5573528814
goats,mixed,meat,2007,2597427.5573528926
goats,mixed,meat,2008,2597427.5573528926
goats,mixed,meat,2009,2597427.557352654
goats,mixed,meat,2010,2597427.5573528926
goats,mixed,meat,2011,2597427.557352863
goats,mixed,meat,2012,2613649.512173626
goats,mixed,meat,2013,2613649.512173615
goats,mixed,meat,2014,2613649.512173615
goats,mixed,meat,2015,2613649.512173626
goats,mixed,meat,2016,2613649.512173585
goats,mixed,meat,2017,2613649.5121736187
goats,mixed,meat,2018,2613649.512173507
goats,mixed,meat,2019,2613649.512173626
goats,mixed,milk,2005,705166.0688922156
goats,mixed,milk,2006,705166.0688922147
goats,mixed,milk,2007,705166.0688922156
goats,mixed,milk,2008,705166.0688922156
goats,mixed,milk,2009,705166.0688922156
goats,mixed,milk,2010,705166.0688922156
goats,mixed,milk,2011,705166.0688922156
goats,mixed,milk,2012,722082.2053946678
goats,mixed,milk,2013,722082.2053946669
goats,mixed,milk,2014,722082.2053946669
goats,mixed,milk,2015,722082.2053946678
goats,mixed,milk,2016,722082.205394665
goats,mixed,milk,2017,722082.2053946673
goats,mixed,milk,2018,722082.2053946529
goats,mixed,milk,2019,722082.2053946678
pigs,backyard,meat,2005,11368107.495557752
pigs,backyard,meat,2006,11368619.138560276
pigs,backyard,meat,2007,11368483.670950824
pigs,backyard,meat,2008,11368484.388856644
pigs,backyard,meat,2009,11368402.179375345
pigs,backyard,meat,2010,11368399.4736375
pigs,backyard,meat,2011,11368803.78199256
pigs,backyard,meat,2012,11368766.721843746
pigs,backyard,meat,2013,11368715.9203773
pigs,backyard,meat,2014,11368663.143040866
pigs,backyard,meat,2015,11368596.631123047
pigs,backyard,meat,2016,11368609.40136833
pigs,backyard,meat,2017,11368521.805802023
pigs,backyard,meat,2018,11368529.712977124
pigs,backyard,meat,2019,11368491.910283668
pigs,industrial,meat,2005,12295318.64065411
pigs,industrial,meat,2006,12295853.122588363
pigs,industrial,meat,2007,12295711.599707847
pigs,industrial,meat,2008,12295712.29960759
pigs,industrial,meat,2009,12295626.321696118
pigs,industrial,meat,2010,12295623.606502831
pigs,industrial,meat,2011,12296045.896925546
pigs,industrial,meat,2012,12296007.289527794
pigs,industrial,meat,2013,12295954.203962717
pigs,industrial,meat,2014,12295899.08710373
pigs,industrial,meat,2015,12295829.79160276
pigs,industrial,meat,2016,12295842.905741453
pigs,industrial,meat,2017,12295751.715225685
pigs,industrial,meat,2018,12295759.798534255
pigs,industrial,meat,2019,12295719.738008458
pigs,intermediate,meat,2005,12268204.789229276
pigs,intermediate,meat,2006,12268739.315137977
pigs,intermediate,meat,2007,12268597.77678529
pigs,intermediate,meat,2008,12268598.459833575
pigs,intermediate,meat,2009,12268512.51802451
pigs,intermediate,meat,2010,12268509.810276613
pigs,intermediate,meat,2011,12268932.116425497
pigs,intermediate,meat,2012,12268893.434053916
pigs,intermediate,meat,2013,12268840.42797797
pigs,intermediate,meat,2014,12268785.252373373
pigs,intermediate,meat,2015,12268715.756257826
pigs,intermediate,meat,2016,12268729.114065498
pigs,intermediate,meat,2017,12268637.47679381
pigs,intermediate,meat,2018,12268645.772429587
pigs,intermediate,meat,2019,12268606.220388079
sheep,grassland,meat,2005,1177628.501049804
sheep,grassland,meat,2006,1177176.469534894
sheep,grassland,meat,2007,1177050.5855903514
sheep,grassland,meat,2008,1177515.220427762
sheep,grassland,meat,2009,1175515.6462024716
sheep,grassland,meat,2010,1177352.8223316425
sheep,grassland,meat,2011,1177273.61818036
sheep,grassland,meat,2012,1189501.8956481493
sheep,grassland,meat,2013,1190098.566225211
sheep,grassland,meat,2014,1191954.6226147364
sheep,grassland,meat,2015,1192192.458940292
sheep,grassland,meat,2016,1192590.846605401
sheep,grassland,meat,2017,1193460.11937742
sheep,grassland,meat,2018,1193702.6921959277
sheep,grassland,meat,2019,1193596.087969879
sheep,grassland,milk,2005,259238.49724215662
sheep,grassland,milk,2006,259320.1292876342
sheep,grassland,milk,2007,259090.70537134132
sheep,grassland,milk,2008,259216.8650203084
sheep,grassland,milk,2009,258783.17377961395
sheep,grassland,milk,2010,258926.9624011403
sheep,grassland,milk,2011,258920.2038051667
sheep,grassland,milk,2012,267485.35108778556
sheep,grassland,milk,2013,267796.82903331716
sheep,grassland,milk,2014,267757.9811696659
sheep,grassland,milk,2015,267834.0613724909
sheep,grassland,milk,2016,267914.9555971002
sheep,grassland,milk,2017,268095.20517950517
