"zone","uv_2005_2009.2005_2009_mol_1km","uv_2006_2010.2005_2009_mol_1km","uv_2007_2011.2005_2009_mol_1km","uv_2008_2012.2005_2009_mol_1km","uv_2009_2013.2005_2009_mol_1km","uv_2010_2014.2005_2009_mol_1km","uv_2011_2015.2005_2009_mol_1km","uv_2012_2016.2005_2009_mol_1km","uv_2013_2017.2005_2009_mol_1km","uv_2014_2018.2005_2009_mol_1km","uv_2015_2019.2005_2009_mol_1km","uv_2016_2020.2005_2009_mol_1km","uv_2017_2021.2005_2009_mol_1km","uv_2018_2022.2005_2009_mol_1km"
1,0,0.0257056536742789,0.00190018572293916,0.00331528527918373,0.000424222483160309,0,0.000712058789011596,0.0144499100395787,0.00667336436250373,0.00126679048195944,0.0640696203778865,0.0467448945516027,0.0199324791195595,0.0336866773127062
2,0,0.0187162563191092,0,0,0,0,0.000603143341236582,0.00721722439099956,0.000603143341236582,0.00223378588238057,0.00586313448094853,0.00117010578006331,0.00232269854306404,0.00958976768468993
3,0,0.022779348104924,0,0,0.00138644838289121,0.000506812037050743,0.00403064209264047,0.0802700011048197,0.138238179936573,0.0675309624405594,0.151644661635829,0.20760214429473,0.0761116461082146,0.0754505886715784
4,0,0.0591882986178999,0.118970893388463,0.136062913185737,0.181349974058895,0.109233268126362,0.160900456431232,0.155316320612739,0.144107623245043,0.106222131555817,0.197490612652007,0.251621683492603,0.318771937397011,0.517256159609163
5,0,0.0308413469365649,0.000235464507841257,0.000266773321236357,0.00241356911528661,0.00267556047102301,0.0143743118780783,0.202358338296495,0.247029648579813,0.145719835816443,0.244375113994285,0.171978922676911,0.00765986813928405,0.0104770013974149
6,0,0.0469205321973744,0.00216706257266883,5.97355749240704e-05,0.00529285815058288,0.008872419453849,0.0319281544879466,0.327992134414681,0.308002841612521,0.300147766605275,0.411149961349385,0.292973416456913,0.0241084659971754,0.0892924734088833
7,0,0.0579291869801021,0.109223095836024,0.124452180680493,0.114674909078218,0.0843169693745923,0.0530750967154032,0.159465015422003,0.12061886196622,0.133649674115666,0.207603599414385,0.184254192798671,0.0663418615042188,0.188758385157385
8,0,0.0485428316847343,0.0360230447535474,0.0107518141217302,0.00921526258096482,0.00689015988343918,0.0117273456565303,0.0782048040138278,0.0865830002891472,0.247463848969591,0.292309577012933,0.224048690000454,0.134538936732652,0.0748547147308763
9,0,0.0632990485166091,0.0676412954930887,0.0569013080469429,0.0547769292978356,0.0506900722535258,0.0332906389289341,0.116268698556604,0.111388194942309,0.222793567287989,0.229890572808081,0.219150960705803,0.132516602103919,0.0971889789393061
10,0,0.0388405464603653,0.0974427478594574,0.026975057177548,0.0128852104365886,0.0110558886007185,0.00179164336102036,5.6236483888811e-05,0.00398200332540143,0.0463446913401078,0.0274800094825938,0.0654974590575116,0.219651788660399,0.295349575179535
11,0,0.0141097089201741,0.0183596037122542,0.025860107386887,0.0245759103820664,0.0120401739339151,0.0103545287643705,0.0457036813789625,0.0393432794356682,0.0651631116954152,0.125705529007504,0.113704503813235,0.047289040081972,0.0333093543172991
12,0,0.00260816799827468,0.0246629494084712,0.0160772642666826,0.00651995461610881,0.00346937390830846,0.00247509898454383,0.0443649576912254,0.07868846160343,0.0571000221276559,0.356420540044511,0.369870359323896,0.129692014277783,0.0591036985798635
13,0,0.0142365754177947,0.0081171416113061,0.00213488601034962,0.00606698337955528,0.00111169406290541,0.000579607575346289,0.0234088118706907,0.0375732031454683,0.0415819262824107,0.226983662987127,0.244153303399376,0.0748954272889388,0.0391041598812245
14,0,0.0343045833599123,0.0382108847176265,0.0153210523234607,0.0135085098241249,0.0092570485344504,0.00769069114627716,0.048142267378359,0.111842134544763,0.135559953096221,0.214994193145324,0.265530109804072,0.180600596778946,0.122683565984269
15,0,0.0743925056719882,0.0653889821345128,0.0401654566504277,0.024010545452053,0.0115461567276588,0.00247988233753609,0.0340932080211463,0.0342879642542872,0.084521350849461,0.206222057783114,0.202333794696847,0.0755561383834265,0.0367427812747716
16,0,0.0289149195067202,0.00665445488833194,0.013508187168071,0.0302140968672106,0.0255137918257135,0.0417803902866265,0.132491378555286,0.14713914994171,0.0752816745687598,0.128387074365975,0.0932434520915014,0.0322832386528269,0.0454053031603454
17,0,0.0938266085798799,0.144398398080167,0.139764988397454,0.0895310679497835,0.0626929420616823,0.04490907244902,0.0905860123001133,0.065643995285574,0.112583234857256,0.119389091502616,0.07739122420459,0.113200078509474,0.220571692335244
