"rgn_id","pcgdp_cia"
5,31100
6,2700
7,2200
8,16200
9,3400
10,12200
11,3400
13,32866.4293784806
14,50300
15,8300
16,50300
17,3700
18,9800
19,3800
20,39400
21,1700
24,4000
25,17900
28,1600
31,28900
37,21600
39,19100
40,12800
41,1200
42,1600
43,3500
45,1600
46,3600
47,1300
48,45200
49,4600
50,54800
51,66200
52,48500
53,5400
54,67700
56,6900
59,46600
60,61700
61,11800
62,8600
63,2500
64,4400
65,1700
66,2700
67,10000
68,42000
69,27600
70,31800
71,21700
72,24500
73,27800
74,10700
75,8700
76,26900
77,2900
78,19400
79,36300
80,27700
81,37000
82,12500
84,15200
85,7800
86,7800
88,7800
95,70800
96,1600
97,1400
98,1700
99,2300
100,6600
101,11300
102,13500
103,3200
104,36000
106,4700
108,99400
110,31200
111,29100
112,12300
113,43800
114,1800
115,16900
116,37289.4353721744
117,34200
118,12200
119,26800
120,26300
121,34000
122,14400
123,11100
124,18700
125,14900
126,31400
127,11500
129,25400
130,16900
131,5800
132,14500
133,5600
134,8900
135,19900
136,8100
137,11500
138,13300
139,12100
141,40000
143,51800
145,41800
147,17000
151,11200
152,5700
153,16700
154,5800
155,5600
156,1000
161,3800
162,38900
163,59500
164,8300
166,9200
167,8200
168,14600
171,15600
172,20900
173,22400
174,44300
175,49900
176,50400
177,53600
178,29500
179,43800
180,44100
181,75500
182,38300
183,30400
184,38100
185,115700
186,17700
187,24400
188,34400
189,32300
190,124500
191,20200
192,17000
193,1800
194,2000
195,3900
196,5900
197,3700
198,19200
199,800
200,6800
202,3200
203,7200
204,4200
205,6200
206,29000
207,6900
208,93900
209,16974.090579352
210,42800
212,2000
214,12700
215,12500
216,12400
218,48300
219,46200
220,66800
221,19300
222,51500
223,71800
224,24500
227,56600
228,52500
231,5400
232,12700
244,15000
247,78200
250,25300
