"zone","uv_2005_2009.2005_2009_mol_1km","uv_2006_2010.2005_2009_mol_1km","uv_2007_2011.2005_2009_mol_1km","uv_2008_2012.2005_2009_mol_1km","uv_2009_2013.2005_2009_mol_1km","uv_2010_2014.2005_2009_mol_1km","uv_2011_2015.2005_2009_mol_1km","uv_2012_2016.2005_2009_mol_1km","uv_2013_2017.2005_2009_mol_1km","uv_2014_2018.2005_2009_mol_1km","uv_2015_2019.2005_2009_mol_1km","uv_2016_2020.2005_2009_mol_1km"
1,0,0.0316151177937635,0.00383702097671888,0.00528963381993802,0.000545559801062785,0,0,0.010775705509675,0.00533275531047,0.00446597790172912,0.0852353905057402,0.0632592865978653
2,0,0.0158310898612762,0.000708001828576679,3.18108177451947e-05,0,0,0.00117401623296071,0.00457253779881076,0.000293504058240177,0.00109474254909304,0.0203735624889143,0.01083611599042
3,0,0.0258296386650414,0,0,0.00942293878999359,0.0044558575995043,0.0109639536079291,0.109797406608172,0.167400004745296,0.0853046629224191,0.172809039025089,0.231746255145138
4,0,0.0820462428771429,0.15238246849282,0.17436855170098,0.235255253964906,0.144931373876843,0.207845788378904,0.203515749651234,0.187107203688238,0.134090321737887,0.256741681207304,0.324850452104495
5,0,0.0355827619889414,0.0007322174805876,0.000173041255451226,0.00862515348747547,0.00869787396299792,0.0244075708400797,0.260260044421404,0.293240236149778,0.183524489694518,0.284813962871988,0.204784474610115
6,0,0.0695947784314834,0.00566656506457788,0.000699750894142675,0.00503662786202853,0.0114943145378959,0.0390043262069858,0.401358634828488,0.372860769177983,0.367396348018088,0.484192257637018,0.342982356553574
7,0,0.0661102393765828,0.139499297446861,0.161906470252331,0.140870520814054,0.103907273534344,0.0686326915282242,0.178997604347863,0.129569678074325,0.147932579371434,0.218737102032315,0.202759647857734
8,0,0.0515753689871779,0.0439181607644161,0.0174061457686249,0.015755086002126,0.0146895286915263,0.0167176414635812,0.0897585605625424,0.0984552939169591,0.261519658682595,0.314212438815012,0.253523041750928
9,0,0.0731433860345201,0.0812416556726355,0.0738216230524508,0.0685489256616074,0.0600009599981433,0.0362400427026543,0.128324800023067,0.116718915364325,0.241229805679268,0.257936773396716,0.247208257049916
10,0,0.0537205012370503,0.131840516234371,0.0475316165002149,0.0190446054541835,0.0106423360698842,0.00315558475080709,0.00105186155290753,0.00764917928733725,0.0582149919199563,0.0331191622380456,0.093015624824631
