iucn_sid,sciname,year,category,code
136680,Myotis alcathoe,2016,DD,2
155501,Tudorella ferruginea,2017,LC,2
155503,Assiminea eliae,2017,LC,2
155539,Pomatias canariensis,2017,DD,2
155604,Pomatias rivularis,2017,LC,2
155630,Paludinella globularis,2018,LC,2
155663,Pomatias palmensis,2017,DD,2
155672,Pomatias lanzarotensis,2017,DD,2
155761,Sphaerium nitidum,2024,LC,2
155901,Pomatias elegans,2017,LC,2
155922,Leonia mamillaris,2017,LC,2
155943,Pomatias laevigatus,2017,DD,2
156067,Tarraconia rolani,2012,EN,2
156146,Pomatias glaucus,2017,DD,2
156558,Norelona pyrenaica,2017,LC,2
156560,Pholeoteras euthrix,2018,LC,2
156939,Zebrina detrita,2017,LC,2
157079,Mastus unius,2023,DD,2
157118,Theba macandrewiana,2017,NT,2
157129,Candidula verticillata,2024,DD,2
157159,Monacha syriaca,2017,LC,2
157707,Trichoferus georgioui,2025,LC,2
157757,Trichoferus berberidis,2025,LC,2
157884,Trichoferus antonioui,2025,LC,2
157889,Trichoferus magnanii,2025,LC,2
158469,Emys trinacris,2024,DD,2
160493,Erebia aethiopellus,2025,LC,2
211112204,Erebia cassioides,2025,LC,2
160595,Pseudochazara cingovskii,2025,CR,2
161033,Erebia neoridas,2025,LC,2
161036,Euphydryas cynthia,2025,LC,2
161145,Erebia palarica,2025,NT,2
161189,Erebia gorge,2025,LC,2
162015,Ophioglossum polyphyllum,2017,DD,2
162048,Iris aphylla,2013,NT,2
162160,Artemisia campestris,2012,LC,2
162229,Ophrys melitensis,2018,LC,2
164069,Teucrium aristatum,2025,EN,2
164226,Rumex crispus,2012,LC,2
164308,Verbena officinalis,2012,LC,2
164379,Gentiana pneumonanthe,2012,LC,2
165121,Lycopodium madeirense,2017,VU,2
165123,Crocus robertianus,2024,LC,2
165140,Verbascum cylleneum,2025,EN,2
165178,Origanum scabrum,2025,NT,2
165231,Asplenium azoricum,2017,LC,2
165238,Erodium chrysanthum,2024,LC,2
165363,Hydrocena gutta,2017,LC,2
165413,Eryngium maritimum,2014,LC,2
165436,Glaucium flavum,2012,LC,2
168798,Drosera rotundifolia,2012,LC,2
168960,Plantago major,2012,LC,2
170829,Micridyla pinteri,2017,LC,2
170831,Delima blanda,2017,LC,2
170832,Delima piceata,2017,LC,2
170835,Oxychilus miguelinus,2017,LC,2
170837,Cryptella alegranzae,2017,CR,2
170839,Limax polipunctatus,2017,DD,2
170841,Charpentieria spezialensis,2017,CR,2
170842,Ferussacia valida,2017,NT,2
170845,Macedonica martae,2017,CR,2
170846,Montenegrina apfelbecki,2017,NT,2
170850,Charpentieria calcarae,2017,LC,2
170851,Strigillaria fritillaria,2017,LC,2
170852,Arion atripunctatus,2017,DD,2
170853,Nesovitrea petronella,2017,LC,2
170854,Macrogastra mellae,2017,LC,2
170855,Carpathica cretica,2017,LC,2
170856,Atlantica textilis,2018,DD,2
170857,Limax canapicianus,2017,DD,2
170858,Carpathica boettgeri,2017,LC,2
170859,Virpazaria backhuysi,2017,NT,2
170864,Dilataria marcki,2017,LC,2
170865,Macrogastra densestriata,2017,LC,2
170866,Carpathica denticulata,2017,DD,2
170868,Lehmannia brunneri,2017,LC,2
170871,Amphorella hypselia,2017,VU,2
170873,Punctum pygmaeum,2017,LC,2
170874,Retinella pseudoaegopinella,2017,LC,2
170875,Spelaeodiscus hauffeni,2017,LC,2
170876,Retinella osoriensis,2017,EN,2
170877,Aegopis compressus,2017,LC,2
170879,Punctum azoricum,2017,LC,2
170880,Limax aeolianus,2017,NT,2
170881,Delima subcylindrica,2017,LC,2
170884,Carpathica elisabethae,2017,VU,2
170885,Tandonia robici,2017,LC,2
170886,Arion ater,2017,LC,2
170888,Lehmannia requienii,2017,NT,2
170889,Oxychilus juvenostriatus,2017,DD,2
170891,Oxychilus fuscosus,2017,EN,2
170894,Boettgeria depauperata,2017,LC,2
170895,Pyramidula cephalonica,2017,LC,2
170896,Gyralina circumlineata,2017,LC,2
170898,Mediterranea planospiroides,2017,NT,2
170901,Vitrea cyprina,2017,LC,2
170902,Gyralina rempei,2017,LC,2
170903,Vitrea pygmaea,2017,LC,2
170904,Balcanodiscus frivaldskyanus,2017,LC,2
170905,Alopia livida,2017,LC,2
170906,Alopia subcosticollis,2017,NT,2
170907,Vitrea subrimata,2017,LC,2
170908,Lucilla singleyana,2017,NA,2
170909,Oxychilus altimirai,2017,DD,2
170910,Tandonia jablanacensis,2017,DD,2
170911,Vitrea trolli,2017,DD,2
170912,Spelaeodiscus obodensis,2017,LC,2
170920,Lehmannia macroflagellata,2017,LC,2
170921,Limax lachensis,2017,NT,2
170923,Vestia turgida,2017,LC,2
170926,Delima pfeifferi,2017,NT,2
170927,Discus rotundatus,2017,LC,2
170929,Pseudofusulus varians,2017,LC,2
170931,Limax subalpinus,2017,LC,2
170933,Alopia nixa,2017,LC,2
170934,Vitrea subaii,2017,LC,2
170936,Hypnophila cylindrica,2017,DD,2
170938,Ruthenica filograna,2017,LC,2
170940,Vitrea crystallina,2017,LC,2
170941,Herilla pavlovici,2017,LC,2
170944,Cochlodina cerata,2017,LC,2
170945,Vitrea diaphana,2017,LC,2
170946,Hypnophila dohrni,2017,LC,2
170947,Spelaeodiscus albanicus,2017,LC,2
170948,Arion hortensis,2017,LC,2
170949,Alopia plumbea,2017,LC,2
170950,Limax dacampi,2017,LC,2
170951,Aegopis gemonensis,2017,LC,2
170952,Arion wiktori,2017,DD,2
170956,Albinaria schuchii,2017,LC,2
170959,Oxychilus miceui,2017,NT,2
170961,Retinella circumsessa,2017,LC,2
170962,Arion owenii,2017,LC,2
170968,Charpentieria stenzii,2017,LC,2
170969,Mediterranea planorbis,2017,LC,2
170970,Oxychilus volutella,2017,LC,2
170971,Carpathica langi,2017,LC,2
170972,Medora armata,2017,NT,2
170974,Montenegrina fuchsi,2017,LC,2
170975,Tandonia piriniana,2017,NT,2
170976,Aegopis verticillus,2017,LC,2
170977,Coilostele acus,2017,DD,2
170980,Delima montenegrina,2017,LC,2
170981,Virpazaria adrianae,2017,LC,2
170982,Cochlodina comensis,2017,LC,2
170983,Lehmannia medioflagellata,2017,VU,2
170984,Muticaria neuteboomi,2017,LC,2
170985,Delima albocincta,2017,LC,2
170986,Strigillaria varnensis,2017,LC,2
170988,Gibbulinella dealbata,2017,LC,2
170990,Medora stenostoma,2017,NT,2
170991,Montenegrina laxa,2017,LC,2
170993,Carinigera octava,2017,VU,2
170994,Lehmannia szigethyae,2017,LC,2
170995,Eopolita protensa,2017,LC,2
170996,Carinigera pharsalica,2017,EN,2
170997,Mediterranea adamii,2017,LC,2
170998,Limax pironae,2017,DD,2
170999,Limax redii,2017,LC,2
171000,Montenegrina stankovici,2017,VU,2
171001,Herilla durmitoris,2017,LC,2
171002,Tandonia budapestensis,2017,LC,2
171006,Albinaria freytagi,2017,LC,2
171007,Graciliaria inserta,2017,LC,2
171008,Mediterranea hydatina,2017,LC,2
171009,Arion fagophilus,2017,LC,2
171010,Vermetum festinans,2017,CR,2
171011,Oxychilus cyprius,2017,LC,2
171013,Triloba thaumasia,2017,LC,2
171014,Inchoatia regina,2017,LC,2
171015,Cibinia nana,2017,VU,2
171016,Arion rufus,2017,LC,2
171019,Retinella olivetorum,2017,LC,2
171020,Carpathica wirthi,2017,DD,2
171021,Medora hiltrudae,2017,NT,2
171022,Arion magnus,2017,DD,2
171026,Stigmatica stigmatica,2017,LC,2
171027,Tandonia reuleauxi,2017,LC,2
171028,Malacolimax tenellus,2017,LC,2
171029,Albinaria avia,2017,LC,2
171031,Retinella giustii,2017,LC,2
171032,Charpentieria septemplicata,2017,NT,2
171033,Charpentieria grohmanniana,2017,EN,2
171038,Stigmatica lamellata,2017,LC,2
171041,Oxychilus translucidus,2017,NA,2
171042,Vestia ranojevici,2017,LC,2
171043,Vitrea kutschigi,2017,LC,2
171051,Mediterranea wiktori,2017,LC,2
171052,Virpazaria ripkeni,2017,LC,2
171053,Daudebardia brevipes,2017,LC,2
171055,Macedonica frauenfeldi,2017,LC,2
171056,Oxychilus gardinii,2017,LC,2
171058,Geomalacus oliveirae,2018,NT,2
171059,Oxychilus uziellii,2017,LC,2
171062,Oxychilus canini,2017,NT,2
171065,Macrogastra badia,2017,LC,2
171066,Cecilioides actoniana,2017,DD,2
171067,Janulus pompylius,2017,CR,2
171068,Limax wolterstorffi,2017,LC,2
171072,Lehmannia horezia,2017,LC,2
171073,Ambigolimax nyctelius,2017,LC,2
171074,Strigillaria urbanskii,2017,NT,2
171076,Stigmatica pantocratoris,2017,LC,2
171077,Leucostigma candidescens,2017,LC,2
171078,Carinigera pellucida,2017,EN,2
171079,Testacella haliotidea,2017,LC,2
171080,Tandonia dalmatina,2017,DD,2
171082,Cecilioides stephaniana,2017,DD,2
171083,Carinigera schuetti,2017,LC,2
171084,Macedonica pirotana,2017,LC,2
171085,Cecilioides veneta,2017,LC,2
171086,Oxychilus navarricus,2017,LC,2
171087,Oxychilus lathyri,2017,NT,2
171088,Schistophallus oscari,2017,NT,2
171089,Delima vidovichii,2017,LC,2
171090,Bulgarica moellendorffi,2017,VU,2
171091,Daudebardia wiktori,2017,LC,2
171092,Laciniaria bajula,2017,LC,2
171094,Retinella rochebruni,2017,LC,2
171095,Limax dobrogicus,2017,VU,2
171096,Cochlodina dubiosa,2017,LC,2
171097,Mentissa canalifera,2017,LC,2
171098,Ferussacia tumidula,2017,DD,2
171103,Balea nitida,2017,NT,2
171104,Oxychilus spectabilis,2017,LC,2
171105,Retinella incerta,2017,LC,2
171107,Dilataria succineata,2017,LC,2
171109,Bulgarica pavlovici,2017,NT,2
171110,Carinigera lophauchena,2017,EN,2
171112,Atlantica retexta,2017,DD,2
171113,Cibinia transsilvanica,2017,DD,2
171114,Ferussacia attenuata,2017,LC,2
171116,Arion euthymeanus,2017,DD,2
171118,Milax verrucosus,2017,LC,2
171119,Oxyloma dunkeri,2017,DD,2
171122,Tandonia pageti,2017,VU,2
171125,Arion gilvus,2018,LC,2
171126,Delima edmibrani,2017,NT,2
171128,Tandonia cavicola,2017,LC,2
171129,Vitrea etrusca,2017,LC,2
171130,Montenegrina helvola,2017,LC,2
171132,Paraegopis albanicus,2017,LC,2
171133,Vitrea sturanyi,2017,LC,2
171134,Oxychilus blauneri,2017,LC,2
171135,Idyla bicristata,2017,LC,2
171139,Atlantica gomerensis,2017,CR,2
171140,Vitrea botterii,2017,LC,2
171142,Ferussacia vitrea,2017,LC,2
171143,Macedonica slavica,2017,VU,2
171144,Delima pellucida,2017,NT,2
171145,Arion iratii,2017,VU,2
171147,Vitrea narbonensis,2018,LC,2
171148,Aegopis spelaeus,2017,NT,2
171149,Vitrea zilchi,2017,EN,2
171150,Cochlodina orthostoma,2017,LC,2
171151,Cecilioides poupillieri,2017,DD,2
171154,Charpentieria tiberii,2017,NT,2
171156,Alopia glauca,2017,LC,2
171158,Gyralina tarabosensis,2017,VU,2
171159,Macedonica pirinensis,2017,LC,2
171160,Aegopinella epipedostoma,2017,LC,2
171161,Mediterranea polygyra,2017,LC,2
171163,Alopia meschendorferi,2017,VU,2
171164,Charpentieria itala,2017,LC,2
171165,Graecophaedusa sperrlei,2017,VU,2
171166,Strigillaria vetusta,2017,LC,2
171168,Pyrgella leacociana,2017,LC,2
171171,Oxychilus majori,2017,LC,2
171173,Arion fuscus,2017,LC,2
171177,Cochlodina costata,2017,LC,2
171180,Cochlodina marisi,2017,LC,2
171181,Delima helenae,2017,NT,2
171183,Oxychilus mortilleti,2017,LC,2
171184,Limacus maculatus,2017,LC,2
171185,Limax granosus,2017,DD,2
171186,Macrogastra attenuata,2017,LC,2
171187,Carpathica stussineri,2017,LC,2
171190,Hohenwartiana hohenwarti,2017,LC,2
171191,Oxychilus courquini,2017,LC,2
171192,Daudebardia rufa,2017,LC,2
171193,Albinaria haessleini,2017,VU,2
171199,Arion paularensis,2018,DD,2
171201,Aegopinella ressmanni,2017,LC,2
171202,Laciniaria macilenta,2017,LC,2
171203,Amphorella tuberculata,2017,EN,2
171204,Oxychilus camelinus,2017,LC,2
171206,Herilla bosniensis,2017,LC,2
171208,Albinaria senilis,2017,LC,2
171209,Arion urbiae,2017,LC,2
171210,Medora proxima,2017,LC,2
171213,Delima hiltrudis,2017,NT,2
171214,Macedonica zilchi,2017,VU,2
171218,Arion baeticus,2018,NT,2
171219,Charpentieria ornata,2017,LC,2
171222,Mediterranea inopinata,2017,LC,2
171224,Alopia nefasta,2017,LC,2
171225,Oxychilus cellarius,2017,LC,2
171226,Limax veronensis,2017,LC,2
171230,Arion franciscoloi,2017,LC,2
171231,Mediterranea juliae,2017,LC,2
171232,Medora italiana,2017,LC,2
171233,Aegopinella graziadei,2017,LC,2
171234,Tandonia serbica,2017,LC,2
4033,Quickella arenaria,2017,LC,2
171237,Macedonica brabeneci,2017,VU,2
171243,Delima laevissima,2017,LC,2
171244,Clausilia cruciata,2017,LC,2
171245,Gyralina gjirokastrana,2017,NT,2
171248,Hypnophila polita,2017,LC,2
171249,Clausilia rugosa,2017,LC,2
171251,Drusia deshayesii,2017,DD,2
171253,Paraegopis mauritii,2017,LC,2
171256,Arion molinae,2018,DD,2
171258,Oxychilus alliarius,2017,LC,2
171259,Delima pachystoma,2017,LC,2
171261,Janulus bifrons,2017,LC,2
171262,Cochlodina meisneriana,2017,LC,2
171264,Protoherilla mirabilis,2017,VU,2
171266,Cochlodina triloba,2017,LC,2
171267,Balea kaeufeli,2017,LC,2
171269,Klemmia sinistrorsa,2017,NT,2
171270,Morlina urbanskii,2017,LC,2
171271,Oxychilus tropidophorus,2017,LC,2
171272,Sphincterochila cariosula,2017,LC,2
171273,Lehmannia janetscheki,2017,DD,2
171274,Charpentieria ernae,2017,DD,2
171276,Oxychilus denatale,2017,NT,2
171277,Ferussacia submajor,2017,NT,2
171279,Oxychilus brincki,2017,LC,2
171282,Strigillaria fraudigera,2017,LC,2
171283,Retinella hiulca,2017,LC,2
171284,Arion silvaticus,2017,LC,2
171285,Oxychilus absoloni,2017,DD,2
171286,Alopia pomatias,2017,LC,2
171287,Hypnophila pupaeformis,2017,LC,2
171288,Arion flagellus,2017,LC,2
171290,Sciocochlea nordsiecki,2017,NT,2
171291,Oxychilus obscuratus,2017,NT,2
171292,Agathylla biloba,2017,LC,2
171293,Tandonia rara,2017,LC,2
171294,Montenegrina dofleini,2017,LC,2
171301,Montenegrina cattaroensis,2017,LC,2
171305,Paraegopis bizonus,2017,LC,2
171306,Herilla ziegleri,2017,LC,2
171307,Virpazaria pageti,2017,LC,2
171309,Cochlicopa lubricella,2017,LC,2
171311,Fusulus interruptus,2017,LC,2
171313,Agathylla sulcosa,2017,LC,2
171314,Malacolimax mrazeki,2017,LC,2
171315,Alopia canescens,2017,LC,2
171316,Aegopis septentrionalis,2017,LC,2
171317,Strigillaria denticulata,2017,LC,2
171318,Ferussacia fritschi,2017,LC,2
171322,Daudebardia dacica,2017,LC,2
171325,Amphorella intermedia,2017,DD,2
171326,Arion hispanicus,2018,DD,2
171327,Letourneuxia moreleti,2017,DD,2
171328,Charpentieria gibbula,2017,LC,2
171329,Oxychilus lagrecai,2017,NT,2
171330,Klemmia magnicosta,2017,NT,2
171331,Gyralina candida,2017,LC,2
171332,Medora macascarensis,2017,LC,2
171334,Janulus stephanophorus,2017,VU,2
