iucn_sid,kingdom,phylum,class,order,family
10030,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE
10056,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE
10072,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE
1086,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE
11060,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,KUHLIIDAE
11150,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE
11200,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE
12137,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE
12416,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE
12417,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE
12695,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE
1308,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE
13145,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE
13520,ANIMALIA,ARTHROPODA,MALACOSTRACA,MICTACEA,MICTOCARIDIDAE
135567,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE
153535,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,CYMODOCEACEAE
153538,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ZOSTERACEAE
154656,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MICRODESMIDAE
154708,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE
154767,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE
154855,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE
154863,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MICRODESMIDAE
