year,latest,possibly_extinct,possibly_extinct_in_the_wild,iucn_sid,url,sciname,category,assessment_id,code,code_type,scopes
2016,FALSE,FALSE,FALSE,11481,https://www.iucnredlist.org/species/11481/503146,Lemmus lemmus,LC,503146,2,scope,NA
2019,FALSE,FALSE,FALSE,11797,https://www.iucnredlist.org/species/11797/503908,Lepus castroviejoi,VU,503908,2,scope,NA
2016,FALSE,FALSE,FALSE,12835,https://www.iucnredlist.org/species/12835/510082,Marmota marmota,LC,510082,2,scope,NA
2019,FALSE,FALSE,FALSE,13462,https://www.iucnredlist.org/species/13462/513175,Microtus felteni,LC,513175,2,scope,NA
2016,FALSE,FALSE,FALSE,13486,https://www.iucnredlist.org/species/13486/513559,Microtus thomasi,LC,513559,2,scope,NA
2016,FALSE,FALSE,FALSE,13490,https://www.iucnredlist.org/species/13490/513663,Microtus multiplex,LC,513663,2,scope,NA
2016,FALSE,FALSE,FALSE,13491,https://www.iucnredlist.org/species/13491/513760,Microtus savii,LC,513760,2,scope,NA
2016,FALSE,FALSE,FALSE,13493,https://www.iucnredlist.org/species/13493/513875,Microtus duodecimcostatus,LC,513875,2,scope,NA
2016,FALSE,FALSE,FALSE,13494,https://www.iucnredlist.org/species/13494/513980,Microtus lusitanicus,LC,513980,2,scope,NA
2016,FALSE,FALSE,FALSE,136498,https://www.iucnredlist.org/species/136498/518440,Microtus liechtensteini,LC,518440,2,scope,NA
2016,FALSE,FALSE,FALSE,136503,https://www.iucnredlist.org/species/136503/518549,Plecotus sardus,VU,518549,2,scope,NA
2016,FALSE,FALSE,FALSE,136536,https://www.iucnredlist.org/species/136536/518646,Microtus brachycercus,LC,518646,2,scope,NA
2016,TRUE,FALSE,FALSE,136680,https://www.iucnredlist.org/species/136680/518740,Myotis alcathoe,DD,518740,2,scope,NA
2019,FALSE,FALSE,FALSE,136814,https://www.iucnredlist.org/species/136814/519144,Sorex antinorii,LC,519144,2,scope,NA
2016,FALSE,FALSE,FALSE,136816,https://www.iucnredlist.org/species/136816/519247,Apodemus epimelas,LC,519247,2,scope,NA
2016,FALSE,FALSE,FALSE,13984,https://www.iucnredlist.org/species/13984/544549,Mus spicilegus,LC,544549,2,scope,NA
2012,FALSE,FALSE,FALSE,14018,https://www.iucnredlist.org/species/14018/544742,Mustela lutreola,CR,544742,2,scope,NA
2016,FALSE,FALSE,FALSE,14922,https://www.iucnredlist.org/species/14922/546843,Nyctalus azoreum,VU,546843,2,scope,NA
2017,TRUE,FALSE,FALSE,155501,https://www.iucnredlist.org/species/155501/731349,Tudorella ferruginea,LC,731349,2,scope,NA
2017,TRUE,FALSE,FALSE,155503,https://www.iucnredlist.org/species/155503/731382,Assiminea eliae,LC,731382,2,scope,NA
2017,TRUE,FALSE,FALSE,155539,https://www.iucnredlist.org/species/155539/733138,Pomatias canariensis,DD,733138,2,scope,NA
2017,TRUE,FALSE,FALSE,155604,https://www.iucnredlist.org/species/155604/733902,Pomatias rivularis,LC,733902,2,scope,NA
2018,TRUE,FALSE,FALSE,155630,https://www.iucnredlist.org/species/155630/734030,Paludinella globularis,LC,734030,2,scope,NA
2017,TRUE,FALSE,FALSE,155663,https://www.iucnredlist.org/species/155663/734201,Pomatias palmensis,DD,734201,2,scope,NA
2017,TRUE,FALSE,FALSE,155672,https://www.iucnredlist.org/species/155672/734228,Pomatias lanzarotensis,DD,734228,2,scope,NA
2024,TRUE,FALSE,FALSE,155761,https://www.iucnredlist.org/species/155761/736279,Sphaerium nitidum,LC,736279,2,scope,NA
2017,FALSE,FALSE,FALSE,155784,https://www.iucnredlist.org/species/155784/736363,Onchidella celtica,LC,736363,2,scope,NA
2017,TRUE,FALSE,FALSE,155901,https://www.iucnredlist.org/species/155901/737435,Pomatias elegans,LC,737435,2,scope,NA
2017,TRUE,FALSE,FALSE,155922,https://www.iucnredlist.org/species/155922/738003,Leonia mamillaris,LC,738003,2,scope,NA
2017,TRUE,FALSE,FALSE,155943,https://www.iucnredlist.org/species/155943/738029,Pomatias laevigatus,DD,738029,2,scope,NA
2012,TRUE,FALSE,FALSE,156067,https://www.iucnredlist.org/species/156067/740729,Tarraconia rolani,EN,740729,2,scope,NA
2017,TRUE,FALSE,FALSE,156146,https://www.iucnredlist.org/species/156146/741439,Pomatias glaucus,DD,741439,2,scope,NA
2017,TRUE,FALSE,FALSE,156558,https://www.iucnredlist.org/species/156558/742146,Norelona pyrenaica,LC,742146,2,scope,NA
2018,TRUE,FALSE,FALSE,156560,https://www.iucnredlist.org/species/156560/742193,Pholeoteras euthrix,LC,742193,2,scope,NA
2017,TRUE,FALSE,FALSE,156939,https://www.iucnredlist.org/species/156939/742571,Zebrina detrita,LC,742571,2,scope,NA
2023,TRUE,FALSE,FALSE,157079,https://www.iucnredlist.org/species/157079/742738,Mastus unius,DD,742738,2,scope,NA
2017,TRUE,FALSE,FALSE,157118,https://www.iucnredlist.org/species/157118/742776,Theba macandrewiana,NT,742776,2,scope,NA
2024,TRUE,FALSE,FALSE,157129,https://www.iucnredlist.org/species/157129/742886,Candidula verticillata,DD,742886,2,scope,NA
2017,TRUE,FALSE,FALSE,157159,https://www.iucnredlist.org/species/157159/742902,Monacha syriaca,LC,742902,2,scope,NA
2025,TRUE,FALSE,FALSE,157707,https://www.iucnredlist.org/species/157707/751776,Trichoferus georgioui,LC,751776,2,scope,NA
2025,TRUE,FALSE,FALSE,157757,https://www.iucnredlist.org/species/157757/751962,Trichoferus berberidis,LC,751962,2,scope,NA
2025,TRUE,FALSE,FALSE,157884,https://www.iucnredlist.org/species/157884/753644,Trichoferus antonioui,LC,753644,2,scope,NA
2025,TRUE,FALSE,FALSE,157889,https://www.iucnredlist.org/species/157889/753730,Trichoferus magnanii,LC,753730,2,scope,NA
2024,TRUE,FALSE,FALSE,158469,https://www.iucnredlist.org/species/158469/778721,Emys trinacris,DD,778721,2,scope,NA
2025,TRUE,FALSE,FALSE,160493,https://www.iucnredlist.org/species/160493/836255,Erebia aethiopellus,LC,836255,2,scope,NA
2025,TRUE,FALSE,FALSE,211112204,https://www.iucnredlist.org/species/211112204/841416,Erebia cassioides,LC,841416,2,scope,NA
2025,TRUE,FALSE,FALSE,160595,https://www.iucnredlist.org/species/160595/841785,Pseudochazara cingovskii,CR,841785,2,scope,NA
2025,TRUE,FALSE,FALSE,161033,https://www.iucnredlist.org/species/161033/869304,Erebia neoridas,LC,869304,2,scope,NA
2025,TRUE,FALSE,FALSE,161036,https://www.iucnredlist.org/species/161036/869577,Euphydryas cynthia,LC,869577,2,scope,NA
2025,TRUE,FALSE,FALSE,161145,https://www.iucnredlist.org/species/161145/876509,Erebia palarica,NT,876509,2,scope,NA
2025,TRUE,FALSE,FALSE,161189,https://www.iucnredlist.org/species/161189/878656,Erebia gorge,LC,878656,2,scope,NA
2022,FALSE,FALSE,FALSE,161932,https://www.iucnredlist.org/species/161932/898499,Nepeta sphaciotica,VU,898499,2,scope,NA
2014,FALSE,FALSE,FALSE,162001,https://www.iucnredlist.org/species/162001/898770,Paeonia officinalis,LC,898770,2,scope,NA
2017,TRUE,FALSE,FALSE,162015,https://www.iucnredlist.org/species/162015/898776,Ophioglossum polyphyllum,DD,898776,2,scope,NA
2013,TRUE,FALSE,FALSE,162048,https://www.iucnredlist.org/species/162048/899426,Iris aphylla,NT,899426,2,scope,NA
2017,FALSE,FALSE,FALSE,162144,https://www.iucnredlist.org/species/162144/899963,Anthyllis hystrix,LC,899963,2,scope,NA
2022,FALSE,FALSE,FALSE,162145,https://www.iucnredlist.org/species/162145/900079,Hypericum aciferum,VU,900079,2,scope,NA
2012,TRUE,FALSE,FALSE,162160,https://www.iucnredlist.org/species/162160/900228,Artemisia campestris,LC,900228,2,scope,NA
2018,TRUE,FALSE,FALSE,162229,https://www.iucnredlist.org/species/162229/900380,Ophrys melitensis,LC,900380,2,scope,NA
2025,TRUE,FALSE,FALSE,164069,https://www.iucnredlist.org/species/164069/1022268,Teucrium aristatum,EN,1022268,2,scope,NA
2012,TRUE,FALSE,FALSE,164226,https://www.iucnredlist.org/species/164226/1032245,Rumex crispus,LC,1032245,2,scope,NA
2012,TRUE,FALSE,FALSE,164308,https://www.iucnredlist.org/species/164308/1040163,Verbena officinalis,LC,1040163,2,scope,NA
2012,FALSE,FALSE,FALSE,164368,https://www.iucnredlist.org/species/164368/1046226,Osmunda regalis,LC,1046226,2,scope,NA
2012,TRUE,FALSE,FALSE,164379,https://www.iucnredlist.org/species/164379/1047003,Gentiana pneumonanthe,LC,1047003,2,scope,NA
2017,TRUE,FALSE,FALSE,165121,https://www.iucnredlist.org/species/165121/1077672,Lycopodium madeirense,VU,1077672,2,scope,NA
2024,TRUE,FALSE,FALSE,165123,https://www.iucnredlist.org/species/165123/1077735,Crocus robertianus,LC,1077735,2,scope,NA
2025,TRUE,FALSE,FALSE,165140,https://www.iucnredlist.org/species/165140/1078492,Verbascum cylleneum,EN,1078492,2,scope,NA
2025,TRUE,FALSE,FALSE,165178,https://www.iucnredlist.org/species/165178/1078646,Origanum scabrum,NT,1078646,2,scope,NA
2017,TRUE,FALSE,FALSE,165231,https://www.iucnredlist.org/species/165231/1079182,Asplenium azoricum,LC,1079182,2,scope,NA
2024,TRUE,FALSE,FALSE,165238,https://www.iucnredlist.org/species/165238/1079310,Erodium chrysanthum,LC,1079310,2,scope,NA
2018,FALSE,FALSE,FALSE,165362,https://www.iucnredlist.org/species/165362/1081629,Hydrocena cattaroensis,LC,1081629,2,scope,NA
2017,TRUE,FALSE,FALSE,165363,https://www.iucnredlist.org/species/165363/1081635,Hydrocena gutta,LC,1081635,2,scope,NA
2014,TRUE,FALSE,FALSE,165413,https://www.iucnredlist.org/species/165413/1081897,Eryngium maritimum,LC,1081897,2,scope,NA
