year,latest,possibly_extinct,possibly_extinct_in_the_wild,iucn_sid,url,sciname,category,assessment_id,code,code_type,scopes_description,scopes_code
2020,TRUE,FALSE,FALSE,10030,https://www.iucnredlist.org/species/10030/495630,Hexanchus griseus,NT,495630,2,system,Global,1
2012,FALSE,FALSE,FALSE,10056,https://www.iucnredlist.org/species/10056/495994,Hippocampus capensis,EN,495994,2,system,Global,1
2012,FALSE,FALSE,FALSE,10072,https://www.iucnredlist.org/species/10072/497017,Hippocampus ingens,VU,497017,2,system,Global,1
2020,FALSE,FALSE,FALSE,1086,https://www.iucnredlist.org/species/1086/499235,Amblyrhynchus cristatus,VU,499235,2,system,Global,1
2012,FALSE,FALSE,FALSE,11060,https://www.iucnredlist.org/species/11060/500601,Kuhlia marginata,LC,500601,2,system,Global,1
2014,TRUE,FALSE,FALSE,11150,https://www.iucnredlist.org/species/11150/500780,Lagocephalus gloveri,DD,500780,2,system,Global,1
2019,TRUE,FALSE,FALSE,11200,https://www.iucnredlist.org/species/11200/500969,Lamna nasus,VU,500969,2,system,Global,1
2014,TRUE,FALSE,FALSE,12137,https://www.iucnredlist.org/species/12137/505458,Lithognathus lithognathus,EN,505458,2,system,Global,1
2016,FALSE,FALSE,FALSE,12416,https://www.iucnredlist.org/species/12416/506350,Lutjanus analis,NT,506350,2,system,Global,1
2016,TRUE,FALSE,FALSE,12417,https://www.iucnredlist.org/species/12417/506633,Lutjanus cyanopterus,VU,506633,2,system,Global,1
2019,TRUE,FALSE,FALSE,12695,https://www.iucnredlist.org/species/12695/507698,Malaclemys terrapin,VU,507698,2,system,Global,1
2015,FALSE,FALSE,FALSE,1308,https://www.iucnredlist.org/species/1308/512141,Anisotremus moricandi,LC,512141,2,system,Global,1
2015,TRUE,FALSE,FALSE,13145,https://www.iucnredlist.org/species/13145/512306,Menidia conchorum,EN,512306,2,system,Global,1
2015,TRUE,FALSE,FALSE,13145,https://www.iucnredlist.org/species/13145/512306,Menidia conchorum,EN,512306,2,system,Caribbean,45433063
2015,TRUE,FALSE,FALSE,13145,https://www.iucnredlist.org/species/13145/512306,Menidia conchorum,EN,512306,2,system,Gulf of Mexico,45433062
2014,TRUE,FALSE,FALSE,13520,https://www.iucnredlist.org/species/13520/514996,Mictocaris halope,CR,514996,2,system,Global,1
2012,FALSE,FALSE,FALSE,135567,https://www.iucnredlist.org/species/135567/515308,Mugil cephalus,LC,515308,2,system,Global,1
2015,TRUE,FALSE,FALSE,153535,https://www.iucnredlist.org/species/153535/712011,Cymodocea nodosa,LC,712011,2,system,Mediterranean,4
